statvar,dcid
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentBachelorsDegreeOrHigher+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years,Count+AF8-Person+AF8-25To34Years+AF8-BachelorsDegreeOrHigher+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentBachelorsDegreeOrHigher+AF8-Female+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Female,Count+AF8-Person+AF8-25To34Years+AF8-BachelorsDegreeOrHigher+AF8-Female+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Female
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentBachelorsDegreeOrHigher+AF8-Male+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Male,Count+AF8-Person+AF8-25To34Years+AF8-BachelorsDegreeOrHigher+AF8-Male+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Male
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentDoctorateDegree+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years,Count+AF8-Person+AF8-25To34Years+AF8-DoctorateDegree+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentDoctorateDegree+AF8-Female+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Female,Count+AF8-Person+AF8-25To34Years+AF8-DoctorateDegree+AF8-Female+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Female
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentDoctorateDegree+AF8-Male+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Male,Count+AF8-Person+AF8-25To34Years+AF8-DoctorateDegree+AF8-Male+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Male
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentLowerSecondaryEducation+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years,Count+AF8-Person+AF8-25To34Years+AF8-LowerSecondaryEducation+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentLowerSecondaryEducation+AF8-Female+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Female,Count+AF8-Person+AF8-25To34Years+AF8-LowerSecondaryEducation+AF8-Female+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Female
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentLowerSecondaryEducation+AF8-Male+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Male,Count+AF8-Person+AF8-25To34Years+AF8-LowerSecondaryEducation+AF8-Male+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years+AF8-Male
Count+AF8-Person+AF8-25To34Years+AF8-EducationalAttainmentMastersDegreeOrHigher+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years,Count+AF8-Person+AF8-25To34Years+AF8-MastersDegreeOrHigher+AF8-AsAFractionOf+AF8-Count+AF8-Person+AF8-25To34Years
