"ScalingFactors","MinDate","MeasurementMethods","observationPeriods","StatVar","Units","NumPlaces"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCPhysicalScientistsOccupation_WhiteAlone","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_HispanicOrLatino_SOCSocialScientistsRelatedWorkersOccupation","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCPhysicalScientistsOccupation_AmericanIndianOrAlaskaNative","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCLifeScientistsOccupation_AmericanIndianOrAlaskaNative","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCPhysicalScientistsOccupation_OtherPacificIslander","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_HispanicOrLatino_SOCPhysicalScientistsOccupation","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_HispanicOrLatino","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_Male_SOCEngineersOccupation","[]","1"
"[]","2015","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCLifeScientistsOccupation_Asian","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCSocialScientistsRelatedWorkersOccupation_WhiteAlone","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCLifeScientistsOccupation_OtherPacificIslander","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCLifeScientistsOccupation_WhiteAlone","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_Female_SOCEngineersOccupation","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_HispanicOrLatino_SOCLifeScientistsOccupation","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCComputerMathematicalOccupation_AmericanIndianOrAlaskaNative","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCSocialScientistsRelatedWorkersOccupation_OtherPacificIslander","[]","1"
"[]","2013","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCSocialScientistsRelatedWorkersOccupation_AmericanIndianOrAlaskaNative","[]","1"
"[]","2003","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_HispanicOrLatino_SOCComputerMathematicalOccupation","[]","1"
"[]","2019","[]","[]","Count_Person_EducationalAttainmentBachelorsDegreeOrHigher_Employed_SOCComputerMathematicalOccupation_OtherPacificIslander","[]","1"
