observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
country/NGA,2011,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,57511041770000,NGN,,,
country/NGA,2012,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,59929893040000,NGN,,,
country/NGA,2013,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,63218721730000,NGN,,,
country/NGA,2014,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,67152785840000,NGN,,,
country/NGA,2015,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,69144885840000,NGN,,,
country/NGA,2016,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,71758121290000,NGN,,,
country/NGA,2017,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,75369068740000,NGN,,,
country/NGA,2018,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,79596971230000,NGN,,,
country/NGA,2019,dcid:RealValue_Amount_ExpenditureActivity_GrossDomesticProduction,84064363500000,NGN,,,
country/NGA,2011,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,62980397220000,NGN,,,
country/NGA,2012,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,71713935060000,NGN,,,
country/NGA,2013,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,80092563380000,NGN,,,
country/NGA,2014,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,89043615260000,NGN,,,
country/NGA,2015,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,94268428580000,NGN,,,
country/NGA,2016,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,104203951100000,NGN,,,
country/NGA,2017,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,114054967700000,NGN,,,
country/NGA,2018,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,124332323600000,NGN,,,
country/NGA,2019,dcid:Nominal_Amount_ExpenditureActivity_GrossDomesticProduction,134950445900000,NGN,,,
