observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
country/NGA,2010,dcid:Count_Person_BachelorOfAccountancy_Graduate_Male,2861000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAccountancy_Graduate_Male,2436000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAccountancy_Graduate_Female,1927000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAccountancy_Graduate_Female,1725000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAccountancy_Graduate,4788000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAccountancy_Graduate,4161000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_Graduate_Male,354000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_Graduate_Male,150000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_Graduate_Female,57000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_Graduate_Female,44000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_Graduate,411000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_Graduate,194000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_FarmPowerMachine_Graduate_Male,107000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_FarmPowerMachine_Graduate_Male,72000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_FarmPowerMachine_Graduate_Female,4000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_FarmPowerMachine_Graduate_Female,2000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_FarmPowerMachine_Graduate,111000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_FarmPowerMachine_Graduate,74000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_PostHarvest_Graduate_Male,5000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_PostHarvest_Graduate_Male,6000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_PostHarvest_Graduate_Female,6000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_PostHarvest_Graduate_Female,3000,,,P1Y,
country/NGA,2010,dcid:Count_Person_BachelorOfAgriculturalEngineering_PostHarvest_Graduate,11000,,,P1Y,
country/NGA,2011,dcid:Count_Person_BachelorOfAgriculturalEngineering_PostHarvest_Graduate,9000,,,P1Y,
