observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
country/NGA,2007,dcid:Count_Person_Nigerian_Male_VeterinaryCouncilOccupation,207,,,P1Y,
country/NGA,2008,dcid:Count_Person_Nigerian_Male_VeterinaryCouncilOccupation,195,,,P1Y,
country/NGA,2009,dcid:Count_Person_Nigerian_Male_VeterinaryCouncilOccupation,79,,,P1Y,
country/NGA,2010,dcid:Count_Person_Nigerian_Male_VeterinaryCouncilOccupation,343,,,P1Y,
country/NGA,2011,dcid:Count_Person_Nigerian_Male_VeterinaryCouncilOccupation,231,,,P1Y,
country/NGA,2007,dcid:Count_Person_NonNigerian_Male_VeterinaryCouncilOccupation,1,,,P1Y,
country/NGA,2009,dcid:Count_Person_NonNigerian_Male_VeterinaryCouncilOccupation,1,,,P1Y,
country/NGA,2010,dcid:Count_Person_NonNigerian_Male_VeterinaryCouncilOccupation,1,,,P1Y,
country/NGA,2011,dcid:Count_Person_NonNigerian_Male_VeterinaryCouncilOccupation,1,,,P1Y,
country/NGA,2007,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,9350,,,P1Y,
country/NGA,2008,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,9875,,,P1Y,
country/NGA,2009,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,11789,,,P1Y,
country/NGA,2010,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,15632,,,P1Y,
country/NGA,2011,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,18536,,,P1Y,
country/NGA,2012,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,13254,,,P1Y,
country/NGA,2007,dcid:Count_Person_Nigerian_Male_DentistOccupation,624,,,P1Y,
country/NGA,2008,dcid:Count_Person_Nigerian_Male_DentistOccupation,816,,,P1Y,
country/NGA,2009,dcid:Count_Person_Nigerian_Male_DentistOccupation,859,,,P1Y,
country/NGA,2010,dcid:Count_Person_Nigerian_Male_DentistOccupation,1153,,,P1Y,
country/NGA,2011,dcid:Count_Person_Nigerian_Male_DentistOccupation,1367,,,P1Y,
country/NGA,2012,dcid:Count_Person_Nigerian_Male_DentistOccupation,978,,,P1Y,
