key,property,value,property2,value2,property3,value3,,,,
Control of institution and enrollment status,observationAbout,country/USA,statType,measuredValue,populationType,Person,observationDate,2023,,
Public,collegeOrGraduateSchoolEnrollment,EnrolledInPublicCollegeOrGraduateSchool,establishmentOwnership ,Public,#Header,establishmentOwnership ,,,,
Private nonprofit,collegeOrGraduateSchoolEnrollment,EnrolledInPrivateCollegeOrGraduateSchool,establishmentOwnership ,PrivatelyOwnedNotForProfit,#Header,establishmentOwnership ,,,,
Private for-profit,collegeOrGraduateSchoolEnrollment,EnrolledInPrivateCollegeOrGraduateSchool,establishmentOwnership ,PrivatelyOwnedForProfit,#Header,establishmentOwnership ,,,,
All institutions,establishmentOwnership ,"""""",#Header,establishmentOwnership ,collegeOrGraduateSchoolEnrollment,EnrolledInCollegeOrGraduateSchool,,,,
Applications,enrollmentLevel,Applied,,,,,,,,
Admissions,enrollmentLevel,Admitted,,,,,,,,
Enrollments,enrollmentStatus,FirstTimeEnrolled,,,,,,,,
Full-time,enrollmentLevel,EnrolledFullTime,,,,,,,,
Part-time,enrollmentLevel,EnrolledPartTime,,,,,,,,
4-year,populationType,Student,measuredProperty,count,value,{Number},collegeOrUniversityLevel,FourYear,,
2-year,populationType,Student,measuredProperty,count,value,{Number},collegeOrUniversityLevel,TwoYear,,
Less-than-2-year,populationType,Student,measuredProperty,count,value,{Number},educationalAttainment,LessThan2Year,collegeOrUniversityLevel,TwoYear
Total1 ,measuredProperty,count,value,{Number},,,,,,
Men,gender,Male,measuredProperty,count,value,{Number},,,,
Women,gender,Female,measuredProperty,count,value,{Number},,,,
Another gender2,gender,GenderUnknownOrNotStated,measuredProperty,count,value,{Number},,,,
Another gender,gender,GenderUnknownOrNotStated,measuredProperty,count,value,{Number},,,,
