key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,employmentStatus,Employed,economicSector,SocialSecurityInstitutions,,,,,YEAR,,MONTH,,#End,#value
Trimestre																																																															,value,{Number},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência,name,"""Percentage of people contributing to social security institutions in any job in the population aged 14 or over employed in the reference week""",alternateName,"""Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência@pt""",unit,Percent,scalingFactor,100,,,measurementDenominator,"-economicSector,-name,-alternateName",observationDate,{YEAR}-{MONTH},,,,,,,,
Coeficiente de variação - Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência,name,"""Coefficient of variation - Percentage of people contributing to social security institutions in any job in the population aged 14 or over employed in the reference week""",alternateName,"""Coeficiente de variação - Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência@pt""",unit,Percent,scalingFactor,100,statType,coefficientOfVariationValue,measurementDenominator,"-economicSector,-statType,-name,-alternateName",observationDate,{YEAR}-{MONTH},,,,,,,,
"Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",name,"""Variation in relation to the previous quarter - Percentage of people contributing to social security institutions in the population aged 14 or over employed in the reference week""",alternateName,"""Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência na população de 14 anos ou mais de idade ocupada na semana de referência@pt""",measurementQualifier,Quarterly,statType,growthRate,,,measurementDenominator,"-economicSector,-statType,-name,-alternateName",observationDate,{YEAR}-{MONTH},,,,,,,,
"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",#ignore,ignore,,,,,,,,,,,,,,,,,,,,
"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",name,"""Variation in relation to the same quarter of the previous year - Percentage of people contributing to social security institutions in the population aged 14 or over employed in the reference week""",alternateName,"""Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência na população de 14 anos ou mais de idade ocupada na semana de referência@pt""",measurementQualifier,Quarterly,statType,growthRate,comparisonPeriod,YearOverYear,measurementDenominator,"-economicSector,-statType,-name,-alternateName",observationDate,{YEAR}-{MONTH},,,,,,,,
"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",#ignore,ignore,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,,,
