key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,employmentStatus,Employed,YEAR,,MONTH,,#End,#value,,,,,,
Trimestre,value,{Number},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,name,"""Informal employment rate of people aged 14 or over employed in the reference week""",alternateName,"""Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência@pt""",measurementDenominator,"-employmentType,-name,-alternateName",employmentType,InformalEmployment,unit,Percent,scalingFactor,100,,,observationDate,{YEAR}-{MONTH},,,,,,
Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,name,"""Coefficient of variation - Informal employment rate of people aged 14 or over employed in the reference week""",alternateName,"""Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência@pt""",measurementDenominator,"-statType,-employmentType,-name,-alternateName",employmentType,InformalEmployment,unit,Percent,scalingFactor,100,statType,coefficientOfVariationValue,observationDate,{YEAR}-{MONTH},,,,,,
"Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",name,"""Change in relation to the previous quarter - Informal employment rate of people aged 14 or over employed in the reference week""",alternateName,"""Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência@pt""",,,employmentType,InformalEmployment,measurementQualifier,Quarterly,statType,growthRate,,,observationDate,{YEAR}-{MONTH},measurementDenominator,"-statType,-employmentType,-name,-alternateName",,,,
"#Situação da Variação em relação ao trimestre anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",#ignore,ignore no data available,,,,,,,,,,,,,,,,,,,,
"Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",name,"""Variation in relation to the same quarter of the previous year - Informal employment rate of people aged 14 or over employed in the reference week""",alternateName,"""Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência@pt""",,,employmentType,InformalEmployment,measurementQualifier,Quarterly,statType,growthRate,comparisonPeriod,YearOverYear,observationDate,{YEAR}-{MONTH},measurementDenominator,"-statType,-employmentType,-name,-alternateName",,,,
"#Situação da Variação em relação ao mesmo trimestre do ano anterior - Taxa de informalidade das pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",#ignore,"ignore, no data available",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,,,
