key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,,,,,,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,employmentStatus,Employed,YEAR,,MONTH,,#End,#value,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,#ignore,"ignore, mapped in 5947",,,,,,,,,,,,,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,#ignore,"ignore, mapped in 5947",,,,,,,,,,,,,,,,,,,,
"Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Percentage change in relation to the previous quarter - People aged 14 or over employed in the reference week,AlternateName1,Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measurementQualifier,Quarterly,statType,growthRate,,,,,,,,,,,,
"Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Absolute change in relation to the previous quarter - People aged 14 or over employed in the reference week,AlternateName1,Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measurementQualifier,Quarterly,statType,changeValue,#Multiply,1000,,,,,,,,,,
"Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Percentage change compared to the same quarter of the previous year - People aged 14 or over employed in the reference week,AlternateName1,Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measurementQualifier,Quarterly,statType,growthRate,comparisonPeriod,YearOverYear,,,,,,,,,,
"Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência",Name1,Absolute variation in relation to the same quarter of the previous year - People aged 14 or over employed in the reference week,AlternateName1,Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measurementQualifier,Quarterly,statType,changeValue,comparisonPeriod,YearOverYear,#Multiply,1000,,,,,,,,
Total,value,{Number},#ignore,"ignore, mapped in 5947",,,,,,,,,,,,,,,,,,
Contribuintes,workerClassification,TaxPayerEmployee,name,"""{Name1} Taxpayers""",alternateName,"""{AlternateName1} Contribuintes""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
