key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Região Integrada de Desenvolvimento, Grande Região e Município",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,,,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,
"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",#ignore,"ignore, mapped in 6398",,,,,,,,,,,,,,,,,,,,
"Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",#ignore,"ignore, mapped in 6398",,,,,,,,,,,,,,,,,,,,
"Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade",populationType,Person,measuredProperty,count,Name1,Combined unemployment and underemployment rate due to insufficient hours worked in the reference week of people aged 14 and over,AlternateName1,Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas na semana de referência das pessoas de 14 anos ou mais de idade@pt,unit,Percent,scalingFactor,100,measurementDenominator,"-gender,-name,-alternateName,-laborCondition",,,employmentStatus,Unemployed__Underemployed,laborCondition,WorkedInsufficientHour,,
"Coeficiente de variação - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas, na semana de referência, das pessoas de 14 anos ou mais de idade",populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Combined unemployment and underemployment rate due to insufficient hours worked in the reference week for people aged 14 or over,AlternateName1,Coeficiente de variação - Taxa combinada de desocupação e de subocupação por insuficiência de horas trabalhadas na semana de referência das pessoas de 14 anos ou mais de idade@pt,unit,Percent,scalingFactor,100,measurementDenominator,"-gender,-statType,-name,-alternateName,-laborCondition",statType,coefficientOfVariationValue,employmentStatus,Unemployed__Underemployed,laborCondition,WorkedInsufficientHour,,
"Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade",#ignore,"ignore, mapped in 6398",,,,,,,,,,,,,,,,,,,,
"Coeficiente de variação - Taxa combinada de desocupação e força de trabalho potencial, na semana de referência, das pessoas de 14 anos ou mais de idade",#ignore,"ignore, mapped in 6398",,,,,,,,,,,,,,,,,,,,
"Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",populationType,Person,measuredProperty,count,Name1,Composite rate of underutilization of the labor force in the reference week of people aged 14 years and over,AlternateName1,Taxa composta de subutilização da força de trabalho na semana de referência das pessoas de 14 anos ou mais de idade@pt,unit,Percent,scalingFactor,100,measurementDenominator,"-gender,-name,-alternateName",,,employmentStatus,Underemployed,,,,
"Coeficiente de variação - Taxa composta de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade",populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Composite rate of underutilization of the workforce in the reference week of people aged 14 or over,AlternateName1,Coeficiente de variação - Taxa composta de subutilização da força de trabalho na semana de referência das pessoas de 14 anos ou mais de idade@pt,unit,Percent,scalingFactor,100,measurementDenominator,"-gender,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,Underemployed,,,,
Total,,,value,{Number},name,"""{Name1} Total""",alternateName,"""{AlternateName1}@pt""",,,observationDate,{YEAR}-{MONTH},,,,,,,,,,
Homens,,,value,{Number},name,"""{Name1} Men""",alternateName,"""{AlternateName1} Men@pt""",gender,Male,observationDate,{YEAR}-{MONTH},,,,,,,,,,
Mulheres,,,value,{Number},name,"""{Name1} Women""",alternateName,"""{AlternateName1} Women@pt""",gender,Female,observationDate,{YEAR}-{MONTH},,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,,,
