key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas),Name1,Persons aged 14 or over employed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas),,,,,employmentStatus,Employed,,,,,,,,,#Multiply,1000,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (%),Name1,Coefficient of variation - People aged 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (%),unit,Percent,scalingFactor,100,employmentStatus,Employed,,,statType,coefficientOfVariationValue,,,,,,,,
"Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (%)",Name1,Percentage change in relation to the previous quarter - People aged 14 or over employed in the reference week,AlternateName1,Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (%),,,,,employmentStatus,Employed,,,measurementQualifier,Quarterly,statType,growthRate,,,,,,
"Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Mil pessoas)",Name1,Absolute change in relation to the previous quarter - People aged 14 or over employed in the reference week,AlternateName1,Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas),,,,,employmentStatus,Employed,,,measurementQualifier,Quarterly,statType,changeValue,,,#Multiply,1000,,
"Situação da Variação em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Nenhuma)",#ignore,ignore no data avialable,,,,,,,,,,,,,,,,,,,,
"Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (%)",Name1,Percentage change compared to the same quarter of the previous year - People aged 14 or over employed in the reference week,AlternateName1,Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (%),,,,,employmentStatus,Employed,,,measurementQualifier,Quarterly,statType,growthRate,comparisonPeriod,YearOverYear,,,,
"Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Mil pessoas)",Name1,Absolute variation in relation to the same quarter of the previous year - People aged 14 or over employed in the reference week,AlternateName1,Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência (Mil pessoas),,,,,employmentStatus,Employed,,,measurementQualifier,Quarterly,statType,changeValue,comparisonPeriod,YearOverYear,#Multiply,1000,,
"Situação da Variação em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Nenhuma)",#ignore,"ignore, no data avialable",,,,,,,,,,,,,,,,,,,,
Total,value,{Number},#ignore,"ignore, mapped in 6465",,,,,,,,,,,,,,,,,,
Empregado,name,"""{Name1} Employee""",alternateName,"""{AlternateName1} Empregado@pt""",value,{Number},,,workerClassification,Employee,,,,,observationDate,{YEAR}-{MONTH},,,,,,
"Empregado no setor privado, exclusive trabalhador doméstico",name,"""{Name1} Employed in the private sector  excluding domestic workers""",alternateName,"""{AlternateName1} Empregado no setor privado  exclusive trabalhador doméstico@pt""",value,{Number},,,economicSector,PrivateSector,workerClassification,NonDomesticWorker,,,observationDate,{YEAR}-{MONTH},,,,,,
"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",name,"""{Name1} Employed in the private sector  excluding domestic workers - with a signed employment contract""",alternateName,"""{AlternateName1} Empregado no setor privado  exclusive trabalhador doméstico - com carteira de trabalho assinada@pt""",value,{Number},,,economicSector,PrivateSectorFormalContract,workerClassification,NonDomesticWorker,,,observationDate,{YEAR}-{MONTH},,,,,,
