key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Região Integrada de Desenvolvimento, Grande Região e Município",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,employmentStatus,Employed,,,YEAR,,MONTH,,#End,#value,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Name1,Persons aged 14 or over employed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,#Multiply,1000,,,,,,,,,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Name1,Coefficient of variation - People aged 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,statType,coefficientOfVariationValue,,,,,,,,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Name1,Coefficient of variation - Percentage distribution of people aged 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,statType,coefficientOfVariationValue,measurementDenominator,"-jobSearchTime,-statType,-name,-alternateName",,,,,,,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,Name1,Percentage distribution of people aged 14 or over employed in the reference week,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,,,measurementDenominator,"-jobSearchTime,-name,-alternateName",,,,,,,,,,
Total,,,value,{Number},#ignore,"ignore, mapped in 6465",,,,,,,,,,,,,,,,
Menos de 1 mês,jobSearchTime,[- 1 Month],value,{Number},name,"""{Name1} Less than 1 month""",alternateName,"""{AlternateName1},Menos de 1 mês@pt""",observationDate,{YEAR}-{MONTH},,,,,,,,,,,,
De 1 mês a menos de 1 ano,jobSearchTime,[1 12 Month],value,{Number},name,"""{Name1} From 1 month to less than 1 year""",alternateName,"""{AlternateName1},De 1 mês a menos de 1 ano@pt""",observationDate,{YEAR}-{MONTH},,,,,,,,,,,,
De 1 ano a menos de 2 anos,jobSearchTime,[12 24 Month],value,{Number},name,"""{Name1} From 1 year to less than 2 years""",alternateName,"""{AlternateName1},De 1 ano a menos de 2 anos@pt""",observationDate,{YEAR}-{MONTH},,,,,,,,,,,,
2 anos ou mais,jobSearchTime,[24 - Month],value,{Number},name,"""{Name1} 2 years or older""",alternateName,"""{AlternateName1},2 anos ou mais@pt""",observationDate,{YEAR}-{MONTH},,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,,,
