key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Região Integrada de Desenvolvimento, Grande Região e Município",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,,,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,
Pessoas de 14 anos ou mais de idade,populationType,Person,measuredProperty,count,Name1,People enrollmentLevel-educationalAttainment 14 or over,AlternateName1,Pessoas de 14 anos ou mais de idade,,,,,,,,,,,,,#Multiply,1000
Coeficiente de variação - Pessoas de 14 anos ou mais de idade,populationType,Person,measuredProperty,count,Name1,Coefficient of variation - People enrollmentLevel-educationalAttainment 14 and over,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,,,statType,coefficientOfVariationValue,,,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade,populationType,Person,measuredProperty,count,Name1,Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 and over,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-name,-alternateName",,,,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 and over,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-statType,-name,-alternateName",statType,coefficientOfVariationValue,,,,,,
"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",populationType,Person,measuredProperty,count,Name1,Persons enrollmentLevel-educationalAttainment 14 years or older in the workforce in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade na força de trabalho na semana de referência,,,,,,,,,employmentStatus,InLaborForce,,,#Multiply,1000
"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Persons enrollmentLevel-educationalAttainment 14 years or over in the workforce in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade na força de trabalho na semana de referência,unit,Percent,scalingFactor,100,,,statType,coefficientOfVariationValue,employmentStatus,InLaborForce,,,,
"Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",populationType,Person,measuredProperty,count,Name1,Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 and over in the workforce in the reference week,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho na semana de referência,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-name,-alternateName",,,employmentStatus,InLaborForce,,,,
"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 or over in the workforce in the reference week,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade na força de trabalho na semana de referência,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,InLaborForce,,,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Persons enrollmentLevel-educationalAttainment 14 or over employed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,,,,,,,,,employmentStatus,Employed,,,#Multiply,1000
Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Coefficient of variation - People enrollmentLevel-educationalAttainment 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,,,statType,coefficientOfVariationValue,employmentStatus,Employed,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 or over employed in the reference week,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-name,-alternateName",,,employmentStatus,Employed,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,Employed,,,,
"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",populationType,Person,measuredProperty,count,Name1,People enrollmentLevel-educationalAttainment 14 or over unemployed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade desocupadas na semana de referência,,,,,,,,,employmentStatus,Unemployed,,,#Multiply,1000
"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",populationType,Person,measuredProperty,count,Name1,Coefficient of variation - People enrollmentLevel-educationalAttainment 14 or over unemployed in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas na semana de referência,unit,Percent,scalingFactor,100,,,statType,coefficientOfVariationValue,employmentStatus,Unemployed,,,,
"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",populationType,Person,measuredProperty,count,Name1,Percent enrollmentLevel educationalAttainment distribution of people enrollmentLevel-educationalAttainment 14 or over unemployed in the reference week,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas na semana de referência,unit,Percent,scalingFactor,100,measurementDenominator,"-enrollmentLevel,-educationalAttainment,-name,-alternateName",,,employmentStatus,Unemployed,,,,
