key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,employmentStatus,Employed,,,measuredProperty,income,populationType,Person,,,,,,
,,,,,,,,,,,,,,,,,,,,
Trimestre,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,unit,BRL,,,measurementQualifier,RealValue__Monthly,statType,meanValue,,,name,"""Average real monthly income of persons aged 14 or over employed in the reference week with income from work actually received in all jobs""",alternateName,"""Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos @pt""",,
"Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,unit,Percent,scalingFactor,100,measurementQualifier,RealValue__Monthly,statType,coefficientOfVariationValue,,,name,"""Coefficient of variation - Average real monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Coeficiente de variação - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos @pt""",,
"Variação percentual em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,RealValue__Monthly,statType,growthRate,,,name,"""Percentage change in relation to the previous quarter - Average real monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação percentual em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Variação absoluta em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,RealValue__Monthly,statType,changeValue,,,name,"""Absolute variation in relation to the previous quarter - Average real monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação absoluta em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Situação da Variação em relação ao trimestre anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",#ignore,"ignore, no data available",,,,,,,,,,,,,,,,,,
"Variação percentual em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,RealValue__Monthly,statType,growthRate,comparisonPeriod,YearOverYear,name,"""Percentage change in relation to the same quarter of the previous year - Average real monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação percentual em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Variação absoluta em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,RealValue__Monthly,statType,changeValue,comparisonPeriod,YearOverYear,name,"""Absolute variation in relation to the same quarter of the previous year - Average real monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação absoluta em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Situação da Variação em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",#ignore,"ignore, no data available",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,unit,BRL,,,measurementQualifier,Nominal__Monthly,statType,meanValue,,,name,"""Average nominal monthly income of persons aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Coeficiente de variação - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,unit,Percent,scalingFactor,100,measurementQualifier,Nominal__Monthly,statType,coefficientOfVariationValue,,,name,"""Coefficient of variation - Average nominal monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Coeficiente de variação - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Variação percentual em relação ao trimestre anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,Nominal__Monthly,statType,growthRate,,,name,"""Percentage change in relation to the previous quarter - Average nominal monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação percentual em relação ao trimestre anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Variação absoluta em relação ao trimestre anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,Nominal__Monthly,statType,changeValue,,,name,"""Absolute variation in relation to the previous quarter - Average nominal monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação absoluta em relação ao trimestre anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Situação da Variação em relação ao trimestre anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",#ignore,"ignore, no data available",,,,,,,,,,,,,,,,,,
"Variação percentual em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,Nominal__Monthly,statType,growthRate,comparisonPeriod,YearOverYear,name,"""Percentage change in relation to the same quarter of the previous year - Average nominal monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação percentual em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Variação absoluta em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",incomeSource,AllJobs,incomeType,IncomeActuallyReceived,,,,,measurementQualifier,Nominal__Monthly,statType,changeValue,comparisonPeriod,YearOverYear,name,"""Absolute variation in relation to the same quarter of the previous year - Average nominal monthly income of people aged 14 or over employed in the reference week with income from work effectively received in all jobs""",alternateName,"""Variação absoluta em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho efetivamente recebido em todos os trabalhos@pt""",,
"Situação da Variação em relação ao mesmo trimestre do ano anterior - Rendimento médio mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",#ignore,"ignore, no data available",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,
2016,YEAR,2016,,,,,,,,,,,,,,,,,,
2017,YEAR,2017,,,,,,,,,,,,,,,,,,
2018,YEAR,2018,,,,,,,,,,,,,,,,,,
2019,YEAR,2019,,,,,,,,,,,,,,,,,,
2020,YEAR,2020,,,,,,,,,,,,,,,,,,
2021,YEAR,2021,,,,,,,,,,,,,,,,,,
2022,YEAR,2022,,,,,,,,,,,,,,,,,,
2023,YEAR,2023,,,,,,,,,,,,,,,,,,
2024,YEAR,2024,,,,,,,,,,,,,,,,,,
1º trimestre,MONTH,03,,,,,,,,,,,,,,,,,,
2º trimestre,MONTH,06,,,,,,,,,,,,,,,,,,
3º trimestre,MONTH,09,,,,,,,,,,,,,,,,,,
4º trimestre,MONTH,12,,,,,,,,,,,,,,,,,,
