key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11,p12,v12,p13,v13
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Name1,People aged 14 or over unemployed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade desocupadas na semana de referência,,,,,,,,,employmentStatus,Unemployed,,,#Multiply,1000,,,,,,,,
"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Name1,Coefficient of variation - People aged 14 or over unemployed in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade desocupadas na semana de referência,unit,Percent,scalingFactor,100,,,statType,coefficientOfVariationValue,employmentStatus,Unemployed,,,,,,,,,,,,
"Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Name1,Percentage distribution of people aged 14 or over unemployed in the reference week,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas na semana de referência,,,,,measurementDenominator,"-age,-name,-alternateName",,,employmentStatus,Unemployed,,,,,,,,,,,,
"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência",Name1,Coefficient of variation - Percentage distribution of people aged 14 or over unemployed in the reference week,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade desocupadas na semana de referência,unit,Percent,scalingFactor,100,measurementDenominator,"-age,-statType,-name,-alternateName",statType,coefficientOfVariationValue,employmentStatus,Unemployed,,,,,,,,,,,,
"Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas",Name1,People aged 14 or over who are underemployed due to insufficient working hours,AlternateName1,Pessoas de 14 anos ou mais de idade subocupadas por insuficiência de horas trabalhadas,,,,,employmentStatus,Underemployed,,,,,laborCondition,WorkedInsufficientHour,#Multiply,1000,,,,,,,,
"Coeficiente de variação - Pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas",Name1,Coefficient of variation - People aged 14 or over underemployed due to insufficient hours worked,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade subocupadas por insuficiência de horas trabalhadas,unit,Percent,scalingFactor,100,employmentStatus,Underemployed,,,statType,coefficientOfVariationValue,laborCondition,WorkedInsufficientHour,,,,,,,,,,
"Distribuição percentual das pessoas de 14 anos ou mais de idade, subocupadas por insuficiência de horas trabalhadas",Name1,Percentage distribution of people aged 14 or over who are underemployed due to insufficient hours worked,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade subocupadas por insuficiência de horas trabalhadas,,,,,employmentStatus,Underemployed,measurementDenominator,"-age,-name,-alternateName",,,laborCondition,WorkedInsufficientHour,,,,,,,,,,
