key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,populationType,Person,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,
Pessoas de 14 anos ou mais de idade,#ignore,"ignore, mapped in 4093",,,,,,,,,,,,,,,,,,,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade,#ignore,"ignore, mapped in 4093",,,,,,,,,,,,,,,,,,,,
Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade,Name1,Percentage change from previous quarter - People aged 14 and over,AlternateName1,Variação percentual em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade,,,,,,,measurementQualifier,Quarterly,statType,growthRate,,,,,,,,
Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade,Name1,Absolute change from the previous quarter - People aged 14 and over,AlternateName1,Variação absoluta em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade,,,,,,,measurementQualifier,Quarterly,statType,changeValue,,,#Multiply,1000,,,,
Situação da Variação em relação ao trimestre anterior - Pessoas de 14 anos ou mais de idade,#ignore,ignore no data avialable,,,,,,,,,,,,,,,,,,,,
Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade,Name1,Percentage change compared to the same quarter of the previous year - People aged 14 and over,AlternateName1,Variação percentual em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade,,,,,,,measurementQualifier,Quarterly,statType,growthRate,comparisonPeriod,YearOverYear,,,,,,
Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade,Name1,Absolute change compared to the same quarter of the previous year - People aged 14 and over,AlternateName1,Variação absoluta em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade,,,,,,,measurementQualifier,Quarterly,statType,changeValue,comparisonPeriod,YearOverYear,#Multiply,1000,,,,
Situação da Variação em relação ao mesmo trimestre do ano anterior - Pessoas de 14 anos ou mais de idade,#ignore,ignore no data avialable,,,,,,,,,,,,,,,,,,,,
Total,name,"""{Name1}""",alternateName,"""{AlternateName1}@pt""",,,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Força de trabalho ampliada,name,"""{Name1} Expanded workforce""",alternateName,"""{AlternateName1} Força de trabalho ampliada@pt""",employmentStatus,ExpandedLaborForce,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Força de trabalho ou desalentado,name,"""{Name1} Workforce or discouraged""",alternateName,"""{AlternateName1} Força de trabalho ou desalentado@pt""",employmentStatus,InLaborForce__NotInLaborForce,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas,name,"""{Name1} Unemployed or in the potential workforce or underemployed due to insufficient hours worked""",alternateName,"""{AlternateName1} Desocupado ou na força de trabalho potencial ou subocupado por insuficiência de horas trabalhadas@pt""",employmentStatus,Unemployed__Underemployed__InLaborForce,laborCondition,WorkedInsufficientHour,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Desocupado ou subocupado por insuficiência de horas trabalhadas,name,"""{Name1} Unemployed or underemployed due to insufficient hours worked""",alternateName,"""{AlternateName1} Desocupado ou subocupado por insuficiência de horas trabalhadas@pt""",employmentStatus,Unemployed__Underemployed,laborCondition,WorkedInsufficientHour,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Desocupado,name,"""{Name1} Not busy""",alternateName,"""{AlternateName1} Desocupado@pt""",employmentStatus,Unemployed,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Subocupado por insuficiência de horas trabalhadas,name,"""{Name1} Underemployed due to insufficient hours worked""",alternateName,"""{AlternateName1} Subocupado por insuficiência de horas trabalhadas@pt""",employmentStatus,Unemployed,laborCondition,WorkedInsufficientHour,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Desocupado ou na força de trabalho potencial,name,"""{Name1} Unemployed or in the potential workforce""",alternateName,"""{AlternateName1} Desocupado ou na força de trabalho potencial@pt""",employmentStatus,Unemployed__InLaborForce,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Força de trabalho potencial,name,"""{Name1} Potential workforce""",alternateName,"""{AlternateName1} Força de trabalho potencial@pt""",employmentStatus,InLaborForce,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
Desalentado,name,"""{Name1} Discouraged""",alternateName,"""{AlternateName1} Desalentado@pt""",employmentStatus,NotInLaborForce,,,value,{Number},observationDate,{YEAR}-{MONTH},,,,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
