observationAbout,observationDate,value,variableMeasured,scalingFactor
dcid:geoId/47,2022,84997,dcid:Count_Death,
dcid:geoId/47,2022,12.054,dcid:Count_Death_AsAFractionOfCount_Person,1000
dcid:geoId/47,2022,10.09422,dcid:AgeAdjusted_Count_MortalityEvent_AsAFractionOf_AgeAdjusted_Count_Person,1000
dcid:geoId/47,2022,71299,dcid:Count_MortalityEvent_White,
dcid:geoId/47,2022,12.91322,dcid:Count_MortalityEvent_White_AsAFractionOf_Count_Person_White,1000
dcid:geoId/47,2022,9.95016,dcid:AgeAdjusted_Count_MortalityEvent_White_AsAFractionOf_AgeAdjusted_Count_Person_White,1000
dcid:geoId/47,2022,12238,dcid:Count_MortalityEvent_Black,
dcid:geoId/47,2022,10.36441,dcid:Count_MortalityEvent_Black_AsAFractionOf_Count_Person_Black,1000
dcid:geoId/47,2022,11.3307,dcid:AgeAdjusted_Count_MortalityEvent_Black_AsAFractionOf_AgeAdjusted_Count_Person_Black,1000
dcid:geoId/47001,2022,1208,dcid:Count_Death,
dcid:geoId/47001,2022,15.30664,dcid:Count_Death_AsAFractionOfCount_Person,1000
dcid:geoId/47001,2022,11.19698,dcid:AgeAdjusted_Count_MortalityEvent_AsAFractionOf_AgeAdjusted_Count_Person,1000
dcid:geoId/47001,2022,1145,dcid:Count_MortalityEvent_White,
dcid:geoId/47001,2022,15.88491,dcid:Count_MortalityEvent_White_AsAFractionOf_Count_Person_White,1000
dcid:geoId/47001,2022,11.22289,dcid:AgeAdjusted_Count_MortalityEvent_White_AsAFractionOf_AgeAdjusted_Count_Person_White,1000
dcid:geoId/47001,2022,52,dcid:Count_MortalityEvent_Black,
dcid:geoId/47001,2022,16.36764,dcid:Count_MortalityEvent_Black_AsAFractionOf_Count_Person_Black,1000
dcid:geoId/47001,2022,16.01361,dcid:AgeAdjusted_Count_MortalityEvent_Black_AsAFractionOf_AgeAdjusted_Count_Person_Black,1000
