"NumPlaces","NumObservations","Units","StatVar","observationPeriods","MaxValue","MinValue","ScalingFactors","MeasurementMethods","NumObservationsDates","MinDate","MaxDate"
"33","561","[]","Count_Person_Years14Onwards_PublicSector_Employed","[P3M]","1.3004E7","53000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_Employer_Employed","[P3M]","4270000.0","6000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person","[P3M]","2.13328E8","583000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_AdminSocialServiceEducation_Employed","[P3M]","1.9362E7","59000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_AgricultureForestFishingSector_Employed","[P3M]","8700000.0","12000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_AuxiliaryFamilyWorker_Employed","[P3M]","1923000.0","1000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards","[P3M]","1.7508E8","435000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_SelfEmployed_Employed","[P3M]","2.6109E7","61000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_PrivateSectorNoFormalContract_Employed","[P3M]","1.4067E7","26000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_DomesticServicesSector_Employed","[P3M]","6020000.0","10000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_TransportStorageSector_Employed","[P3M]","5992000.0","9000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_IBGEOtherServicesSector_Employed","[P3M]","5540000.0","10000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_VehicleTradeRepair_Employed","[P3M]","1.9505E7","43000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_GeneralIndustry_Employed","[P3M]","1.3287E7","10000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_Employed","[P3M]","1.02998E8","232000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_CommunicationFinanceSector_Employed","[P3M]","1.3229E7","20000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_AccommodationFoodSector_Employed","[P3M]","5636000.0","12000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_ConstructionSector_Employed","[P3M]","7688000.0","15000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_InLaborForce","[P3M]","1.08569E8","255000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_Unemployed","[P3M]","1.1725E7","12000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_DomesticWorker_Employed","[P3M]","5978000.0","10000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_PrivateSectorFormalContract_Employed","[P3M]","3.9409E7","55000.0","[]","[]","17","2022-03","2026-03"
"33","561","[]","Count_Person_Years14Onwards_NotInLaborForce","[P3M]","6.6525E7","165000.0","[]","[]","17","2022-03","2026-03"
