Term,Code
AEROSOL,C42887
"AEROSOL, FOAM",C42888
"AEROSOL, METERED",C42960
"AEROSOL, POWDER",C42971
"AEROSOL, SPRAY",C42889
"BAR, CHEWABLE",C42892
BEAD,C42890
CAPSULE,C25158
"CAPSULE, COATED",C42895
"CAPSULE, COATED PELLETS",C42896
"CAPSULE, COATED, EXTENDED RELEASE",C42917
"CAPSULE, DELAYED RELEASE",C42902
"CAPSULE, DELAYED RELEASE PELLETS",C42904
"CAPSULE, EXTENDED RELEASE",C42916
"CAPSULE, FILM COATED, EXTENDED RELEASE",C42928
"CAPSULE, GELATIN COATED",C42936
"CAPSULE, LIQUID FILLED",C42954
CELLULAR SHEET,C100103
CHEWABLE GEL,C134876
CLOTH,C60884
CONCENTRATE,C60891
CREAM,C28944
"CREAM, AUGMENTED",C60897
CRYSTAL,C42901
DISC,C43525
DOUCHE,C42679
DRESSING,C42763
ELIXIR,C42912
EMULSION,C42913
ENEMA,C42915
EXTRACT,C42929
"FIBER, EXTENDED RELEASE",C60926
FILM,C42932
"FILM, EXTENDED RELEASE",C42920
"FILM, SOLUBLE",C42984
FOR SOLUTION,C60927
FOR SUSPENSION,C60928
"FOR SUSPENSION, EXTENDED RELEASE",C60929
GAS,C42933
GEL,C42934
"GEL, DENTIFRICE",C42906
"GEL, METERED",C60930
GLOBULE,C42937
GRANULE,C42938
"GRANULE, DELAYED RELEASE",C42903
"GRANULE, EFFERVESCENT",C42909
"GRANULE, FOR SOLUTION",C42939
"GRANULE, FOR SUSPENSION",C42940
"GRANULE, FOR SUSPENSION, EXTENDED RELEASE",C42921
"GUM, CHEWING",C42894
IMPLANT,C42942
INHALANT,C42944
INJECTABLE FOAM,C113106
"INJECTABLE, LIPOSOMAL",C60931
INJECTION,C42946
"INJECTION, EMULSION",C42914
"INJECTION, LIPID COMPLEX",C42950
"INJECTION, POWDER, FOR SOLUTION",C42974
"INJECTION, POWDER, FOR SUSPENSION",C42976
"INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE",C42977
"INJECTION, POWDER, LYOPHILIZED, FOR LIPOSOMAL SUSPENSION",C42959
"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",C42957
"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",C42958
"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION, EXTENDED RELEASE",C42956
"INJECTION, SOLUTION",C42945
"INJECTION, SOLUTION, CONCENTRATE",C42899
"INJECTION, SUSPENSION",C42995
"INJECTION, SUSPENSION, EXTENDED RELEASE",C42926
"INJECTION, SUSPENSION, LIPOSOMAL",C42951
"INJECTION, SUSPENSION, SONICATED",C42988
INSERT,C60933
"INSERT, EXTENDED RELEASE",C42922
INTRAUTERINE DEVICE,C47915
IRRIGANT,C42947
JELLY,C42948
KIT,C47916
LINIMENT,C42949
LIPSTICK,C42952
LIQUID,C42953
"LIQUID, EXTENDED RELEASE",C60934
LOTION,C29167
"LOTION, AUGMENTED",C60957
LOTION/SHAMPOO,C60958
LOZENGE,C42955
MOUTHWASH,C29269
NOT APPLICABLE,C48624
OIL,C42965
OINTMENT,C42966
"OINTMENT, AUGMENTED",C60984
PASTE,C42967
"PASTE, DENTIFRICE",C42907
PASTILLE,C60985
PATCH,C42968
"PATCH, EXTENDED RELEASE",C42923
"PATCH, EXTENDED RELEASE, ELECTRICALLY CONTROLLED",C42911
PELLET,C42969
"PELLET, IMPLANTABLE",C42943
"PELLETS, COATED, EXTENDED RELEASE",C42918
PILL,C25394
PLASTER,C42970
POULTICE,C47913
POWDER,C42972
"POWDER, DENTIFRICE",C42908
"POWDER, FOR SOLUTION",C42973
"POWDER, FOR SUSPENSION",C42975
"POWDER, METERED",C42961
RING,C60988
RINSE,C42979
SALVE,C42980
SHAMPOO,C42981
"SHAMPOO, SUSPENSION",C42982
SOAP,C42983
SOLUTION,C42986
"SOLUTION, CONCENTRATE",C42898
"SOLUTION, FOR SLUSH",C42987
"SOLUTION, GEL FORMING / DROPS",C60994
"SOLUTION, GEL FORMING, EXTENDED RELEASE",C42935
SOLUTION/ DROPS,C60992
SPONGE,C47912
SPRAY,C42989
"SPRAY, METERED",C42962
"SPRAY, SUSPENSION",C42990
STICK,C42991
STRIP,C47914
SUPPOSITORY,C42993
"SUPPOSITORY, EXTENDED RELEASE",C42924
SUSPENSION,C42994
"SUSPENSION, EXTENDED RELEASE",C42925
SUSPENSION/ DROPS,C60995
SWAB,C47898
SYRUP,C42996
SYSTEM,C17423
TABLET,C42998
"TABLET, CHEWABLE",C42893
"TABLET, CHEWABLE, EXTENDED RELEASE",C124794
"TABLET, COATED",C42897
"TABLET, COATED PARTICLES",C60997
"TABLET, DELAYED RELEASE",C42905
"TABLET, DELAYED RELEASE PARTICLES",C42997
"TABLET, EFFERVESCENT",C42910
"TABLET, EXTENDED RELEASE",C42927
"TABLET, FILM COATED",C42931
"TABLET, FILM COATED, EXTENDED RELEASE",C42930
"TABLET, FOR SOLUTION",C61004
"TABLET, FOR SUSPENSION",C61005
"TABLET, MULTILAYER",C42964
"TABLET, MULTILAYER, EXTENDED RELEASE",C42963
"TABLET, ORALLY DISINTEGRATING",C42999
"TABLET, ORALLY DISINTEGRATING, DELAYED RELEASE",C61006
"TABLET, SOLUBLE",C42985
"TABLET, SUGAR COATED",C42992
TABLET WITH SENSOR,C147579
TAMPON,C47892
TAPE,C47897
TINCTURE,C43000
TROCHE,C43001
WAFER,C43003
