observationDate,observationPeriod,measurementMethod,observationAbout,value,agg_by,variableMeasured
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Transmission Mode,dcs:Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,26,Etiology,dcs:Count_MedicalConditionIncident_Norovirus_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,21,Etiology,dcs:Count_MedicalConditionIncident_NorovirusGenogroupII_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,24,Etiology,dcs:Count_MedicalConditionIncident_NorovirusUnknown_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,50,Etiology,dcs:Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,26,Etiology,dcs:Count_MedicalConditionIncident_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,21,Etiology,dcs:Count_MedicalConditionIncident_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,24,Etiology,dcs:Count_MedicalConditionIncident_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,50,Etiology,dcs:Count_MedicalConditionIncident_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_Norovirus_PatientHospitalized_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_Norovirus_PatientHospitalized_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission
2009-02,P1Y,dcAggregate/NORSNonInfectiousDisease,country/USA,0,Etiology,dcs:Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission
2009-01,P1Y,dcAggregate/NORSNonInfectiousDisease,geoId/27,0,Etiology,dcs:Count_MedicalConditionIncident_Norovirus_PatientDeceased_FoodborneTransmission
