key,prop,val,,,,,,,,,,,,
Year,measuredProperty,count,populationType,Student,collegeOrGraduateSchoolEnrollment,EnrolledInCollegeOrGraduateSchool,institutionType,PostSecondaryInstitution,enrollmentStatus,FullTimeEquivalent,observationAbout,country/USA,observationPeriod,1Y
2023-24,observationDate,2024,,,,,,,,,,,,
2022-23,observationDate,2023,,,,,,,,,,,,
2021-22,observationDate,2022,,,,,,,,,,,,
2020-21,observationDate,2021,,,,,,,,,,,,
2019-20,observationDate,2020,,,,,,,,,,,,
2018-19,observationDate,2019,,,,,,,,,,,,
2017-18,observationDate,2018,,,,,,,,,,,,
2016-17,observationDate,2017,,,,,,,,,,,,
2015-16,observationDate,2016,,,,,,,,,,,,
2014-15,observationDate,2015,,,,,,,,,,,,
2013-14,observationDate,2014,,,,,,,,,,,,
2012-13,observationDate,2013,,,,,,,,,,,,
2011-12,observationDate,2012,,,,,,,,,,,,
2010-11,observationDate,2011,,,,,,,,,,,,
2009-10,observationDate,2010,,,,,,,,,,,,
Public,value,{Number},establishmentOwnership,Public,,,,,,,,,,
Private not-for-profit,value,{Number},establishmentOwnership,PrivatelyOwnedNotForProfit,,,,,,,,,,
Private for-profit,value,{Number},establishmentOwnership,PrivatelyOwnedForProfit,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Number of students,value,{Number},,,,,,,,,,,,
,,,,,,,,,,,,,,
City: Large,value,{Number},sdg_urbanization,CityLarge,,,,,,,,,,
City: Midsize,value,{Number},sdg_urbanization,CityMidsize,,,,,,,,,,
