key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
series_id_value:421400000000001,name,"""All Employees, In Thousands, Total Nonfarm""",observationAbout,geoId/35049,industry,NAICS/JOLTS_000000,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421400000000026,name,"""All Employees, 3-month average change, In Thousands, Total Nonfarm""",#ignore,ignoring 3 months average change variable,,,,,,,,,,,,,,,,,,
series_id_value:421400500000001,name,"""All Employees, In Thousands, Total Private""",observationAbout,geoId/35049,industry,PrivatelyOwned,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421400500000002,name,"""Average Weekly Hours of All Employees, Total Private""",observationAbout,geoId/35049,industry,PrivatelyOwned,measurementQualifier,Weekly,populationType,Person,measuredProperty,usualHoursWorked,statType,meanValue,unit,Hour,,,,,,
series_id_value:421400500000003,name,"""Average Hourly Earnings of All Employees, In Dollars, Total Private""",observationAbout,geoId/35049,industry,PrivatelyOwned,,,populationType,Person,measuredProperty,earnings,measurementQualifier,Hourly,statType,meanValue,unit,USDollar,,,,
series_id_value:421400500000011,name,"""Average Weekly Earnings of All Employees, In Dollars, Total Private""",observationAbout,geoId/35049,industry,PrivatelyOwned,,,populationType,Person,measuredProperty,earnings,measurementQualifier,Weekly,statType,meanValue,unit,USDollar,,,,
series_id_value:421400600000001,name,"""All Employees, In Thousands, Goods Producing""",observationAbout,geoId/35049,industry,NAICS/101,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421400700000001,name,"""All Employees, In Thousands, Service-Providing""",observationAbout,geoId/35049,industry,NAICS/102,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421400800000001,name,"""All Employees, In Thousands, Private Service Providing""",observationAbout,geoId/35049,industry,NAICS/102,establishmentOwnership,PrivatelyOwned,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421401500000001,name,"""All Employees, In Thousands, Mining, Logging and Construction""",observationAbout,geoId/35049,industry,NAICS/1012_1133,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421403000000001,name,"""All Employees, In Thousands, Manufacturing""",observationAbout,geoId/35049,industry,NAICS/1013,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421404000000001,name,"""All Employees, In Thousands, Trade, Transportation, and Utilities""",observationAbout,geoId/35049,industry,NAICS/1021,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421404100000001,name,"""All Employees, In Thousands, Wholesale Trade""",observationAbout,geoId/35049,industry,NAICS/42,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421404200000001,name,"""All Employees, In Thousands, Retail Trade""",observationAbout,geoId/35049,industry,NAICS/44,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421404300000001,name,"""All Employees, In Thousands, Transportation, Warehousing, and Utilities""",observationAbout,geoId/35049,industry,NAICS/48-49_22,,,populationType,Person,,,#Multiply,1000,,,,,,,,
series_id_value:421405000000001,name,"""All Employees, In Thousands, Information""",observationAbout,geoId/35049,industry,NAICS/1022,,,populationType,Person,,,#Multiply,1000,,,,,,,,
