key,property1,value1,property2,value2,property3,value3
,,,,,,
unitid,#Format,observationAbout=ipedsId/{Data},populationType,Student,enrollmentStatus,FirstTimeEnrolled
year,observationDate,{Data},,,,
sex:1,gender,Male,,,,
sex:2,gender,Female,,,,
sex:3,gender,TransgenderOrGenderNonConforming,,,,
sex:9,gender,GenderUnknownOrNotStated,,,,
,,,,,,
number_applied,enrollmentLevel,Applied,value,{Number},,
number_admitted,enrollmentLevel,Admitted,value,{Number},,
number_enrolled_ft,enrollmentLevel,EnrolledFullTime,value,{Number},,
number_enrolled_pt,enrollmentLevel,EnrolledPartTime,value,{Number},,
number_enrolled_total,value,{Number},,,,
