National Center for Education Statistics,,,,,,,,,,,,,,,,
Table 2.,"Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number receiving an award, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2017 and 2020",,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,"Adjusted 
cohort",Received an award,"Graduation 
rate",,"Adjusted 
cohort",Received an award,"Graduation 
rate",,"Adjusted 
cohort",Received an award,"Graduation 
rate",,"Adjusted 
cohort",Received an award,"Graduation 
rate"
,,,,,,,,,,,,,,,,
"All institutions (cohort years 2017 and 
     2020)",,,,,,,,,,,,,,,,
All students,,"2,501,357","1,408,404",56.3,,"1,708,697","892,039",52.2,,"528,669","356,838",67.5,,"263,991","159,527",60.4
Received Pell Grant,,"1,043,086","495,392",47.5,,"685,371","292,729",42.7,,"176,914","96,323",54.4,,"180,801","106,340",58.8
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"350,854","224,046",63.9,,"202,860","120,861",59.6,,"119,805","83,178",69.4,,"28,189","20,007",71.0
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"1,107,417","688,966",62.2,,"820,466","478,449",58.3,,"231,950","177,337",76.5,,"55,001","33,180",60.3
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2017),,,,,,,,,,,,,,,,
All students,,"1,785,032","1,088,230",61.0,,"1,230,853","723,763",58.8,,"505,137","342,713",67.8,,"49,042","21,754",44.4
Received Pell Grant,,"654,880","320,622",49.0,,"465,106","221,604",47.6,,"158,397","85,815",54.2,,"31,377","13,203",42.1
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"306,541","199,179",65.0,,"182,408","113,781",62.4,,"118,597","82,282",69.4,,"5,536","3,116",56.3
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"823,611","568,429",69.0,,"583,339","388,378",66.6,,"228,143","174,616",76.5,,"12,129","5,435",44.8
,,,,,,,,,,,,,,,,
"4-year bachelor's cohort (cohort year 
     2017)",,,,,,,,,,,,,,,,
All students,,"1,543,099","1,003,015",65.0,,"1,036,189","661,058",63.8,,"483,103","332,901",68.9,,"23,807","9,056",38.0
Received Pell Grant,,"524,482","278,281",53.1,,"364,168","192,328",52.8,,"146,140","80,949",55.4,,"14,174","5,004",35.3
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"289,695","191,774",66.2,,"171,618","110,079",64.1,,"115,167","80,300",69.7,,"2,910","1,395",47.9
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"728,922","532,960",73.1,,"500,403","358,651",71.7,,"221,796","171,652",77.4,,"6,723","2,657",39.5
,,,,,,,,,,,,,,,,
"4-year other than bachelor's cohort (cohort
     year 2017)",,,,,,,,,,,,,,,,
All students,,"241,933","85,215",35.2,,"194,664","62,705",32.2,,"22,034","9,812",44.5,,"25,235","12,698",50.3
Received Pell Grant,,"130,398","42,341",32.5,,"100,938","29,276",29.0,,"12,257","4,866",39.7,,"17,203","8,199",47.7
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"16,846","7,405",44.0,,"10,790","3,702",34.3,,"3,430","1,982",57.8,,"2,626","1,721",65.5
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"94,689","35,469",37.5,,"82,936","29,727",35.8,,"6,347","2,964",46.7,,"5,406","2,778",51.4
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2020),,,,,,,,,,,,,,,,
All students,,"586,423","231,089",39.4,,"460,685","155,933",33.8,,"19,557","11,435",58.5,,"106,181","63,721",60.0
Received Pell Grant,,"302,730","116,915",38.6,,"212,775","65,305",30.7,,"16,032","8,802",54.9,,"73,923","42,808",57.9
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"32,819","16,004",48.8,,"19,717","6,538",33.2,,987,710,71.9,,"12,115","8,756",72.3
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"250,874","98,170",39.1,,"228,193","84,090",36.9,,"2,538","1,923",75.8,,"20,143","12,157",60.4
,,,,,,,,,,,,,,,,
"Less-than-2-year institutions (cohort year 
     2020)",,,,,,,,,,,,,,,,
All students,,"129,902","89,085",68.6,,"17,159","12,343",71.9,,"3,975","2,690",67.7,,"108,768","74,052",68.1
Received Pell Grant,,"85,476","57,855",67.7,,"7,490","5,820",77.7,,"2,485","1,706",68.7,,"75,501","50,329",66.7
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"11,494","8,863",77.1,,735,542,73.7,,221,186,84.2,,"10,538","8,135",77.2
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"32,932","22,367",67.9,,"8,934","5,981",66.9,,"1,269",798,62.9,,"22,729","15,588",68.6
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and is also included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated no later than August 31, 2023 as the total number of completers within 150 percent of normal time (e.g., ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). For institutions following a semester, trimester, 4-1-4, or other academic year calendar system, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the fall of the cohort year. For institutions following calendars that differ by program or allow continuous enrollment, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates from September 1 of the cohort year through August 31 of the following year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in IPEDS may be found in the online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2023–24, Graduation Rates component (provisional data).",,,,,,,,,,,,,,,,
