National Center for Education Statistics,,,,,,,,,
"Table 13. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent
,,,,,,,,,
,,Public institutions (GASB standards)1 ,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$425,234,001",100.0,,"$59,261,380",100.0,,"$1,073,196",100.0
,,,,,,,,,
Operating revenues,,"229,621,358",54.0,,"15,540,162",26.2,,"344,568",32.1
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"70,685,332",16.6,,"7,588,253",12.8,,"156,143",14.5
Grants and contracts,,"53,825,817",12.7,,"6,132,064",10.3,,"129,082",12.0
Federal (excludes FDSL loans)2 ,,"32,227,197",7.6,,"2,778,615",4.7,,"36,054",3.4
State,,"6,510,742",1.5,,"2,842,723",4.8,,"59,320",5.5
Local,,"2,358,418",0.6,,"281,188",0.5,,"32,063",3.0
Private,,"12,729,460",3.0,,"229,538",0.4,,"1,645",0.2
Sales and services of auxiliary enterprises after     deducting discounts and allowances,,"18,443,774",4.3,,"825,353",1.4,,—,—
Sales and services of hospitals,,"61,091,120",14.4,,—,—,,—,—
Sales and services of educational activities,,"11,786,419",2.8,,"121,090",0.2,,"6,711",0.6
Independent operations,,"2,121,290",0.5,,—,—,,—,—
Other operating revenues,,"11,667,605",2.7,,"873,402",1.5,,"52,633",4.9
,,,,,,,,,
Nonoperating revenues,,"172,442,896",40.6,,"41,322,418",69.7,,"632,490",58.9
,,,,,,,,,
Appropriations,,"66,114,389",15.5,,"26,497,439",44.7,,"451,314",42.1
Federal ,,"2,038,582",0.5,,"182,786",0.3,,"19,815",1.8
State ,,"60,750,558",14.3,,"14,167,988",23.9,,"253,580",23.6
Local ,,"3,325,249",0.8,,"12,146,664",20.5,,"177,919",16.6
Nonoperating grants,,"31,604,755",7.4,,"12,733,889",21.5,,"157,998",14.7
Federal,,"25,776,039",6.1,,"10,573,774",17.8,,"135,666",12.6
State,,"5,461,611",1.3,,"1,999,445",3.4,,"20,209",1.9
Local,,"367,105",0.1,,"160,670",0.3,,"2,123",0.2
Gifts,,"8,596,209",2.0,,"476,899",0.8,,"7,743",0.7
Investment income,,"54,450,335",12.8,,"398,532",0.7,,"1,653",0.2
Other nonoperating revenues,,"11,677,208",2.7,,"1,215,659",2.1,,"13,783",1.3
,,,,,,,,,
Total other revenues and additions,,"23,169,747",5.4,,"2,398,800",4.0,,"96,137",9.0
,,,,,,,,,
Capital appropriations,,"4,410,756",1.0,,"1,666,415",2.8,,—,—
Capital grants and gifts,,"3,588,328",0.8,,"243,173",0.4,,—,—
Additions to permanent endowments,,"1,614,190",0.4,,"34,276",0.1,,—,—
Other revenues and additions,,"13,556,473",3.2,,"454,936",0.8,,"96,137",9.0
,,,,,,,,,
Total expenses ,,"$351,740,563",100.0,,"$54,491,008",100.0,,"$873,503",100.0
,,,,,,,,,
Instruction,,"91,114,793",25.9,,"20,174,274",37.0,,"428,797",49.1
Research,,"40,702,672",11.6,,"30,161",0.1,,2,#
Public service,,"16,695,741",4.7,,"729,191",1.3,,"6,217",0.7
Academic support,,"27,975,027",8.0,,"4,432,020",8.1,,"77,017",8.8
