National Center for Education Statistics,,,,,,,,,
"Table 13. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2017",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,"Revenues or 
expenses 
(in thousands)",Percent,,"Revenues or 
expenses 
(in thousands)",Percent,,"Revenues or 
expenses 
(in thousands)",Percent
,,,,,,,,,
,,Public institutions (GASB standards)1 ,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$321,444,429",100.0,,"$56,015,655",100.0,,"$791,962",100.0
,,,,,,,,,
Operating revenues,,"204,253,395",63.5,,"15,618,615",27.9,,"308,161",38.9
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"66,419,445",20.7,,"9,247,153",16.5,,"159,767",20.2
Grants and contracts,,"44,230,220",13.8,,"3,920,019",7.0,,"105,152",13.3
Federal (excludes FDSL loans),,"25,399,389",7.9,,"1,477,179",2.6,,"21,991",2.8
State,,"5,908,500",1.8,,"1,923,256",3.4,,"52,272",6.6
Local,,"1,883,550",0.6,,"272,701",0.5,,"29,236",3.7
Private,,"11,038,780",3.4,,"246,884",0.4,,"1,654",0.2
"Sales and services of auxiliary enterprises after 
     deducting discounts and allowances",,"26,019,295",8.1,,"1,523,156",2.7,,—,—
Sales and services of hospitals,,"46,158,435",14.4,,—,—,,—,—
Sales and services of educational activities,,"10,076,108",3.1,,"154,491",0.3,,"8,312",1.0
Independent operations,,"1,596,211",0.5,,—,—,,—,—
Other operating revenues,,"9,753,680",3.0,,"773,796",1.4,,"34,929",4.4
,,,,,,,,,
Nonoperating revenues,,"100,530,617",31.3,,"37,751,741",67.4,,"467,752",59.1
,,,,,,,,,
Appropriations,,"57,240,033",17.8,,"25,869,458",46.2,,"360,352",45.5
Federal ,,"1,860,079",0.6,,"39,927",0.1,,"15,232",1.9
State ,,"53,980,521",16.8,,"14,117,136",25.2,,"183,403",23.2
Local ,,"1,399,433",0.4,,"11,712,395",20.9,,"161,718",20.4
Nonoperating grants,,"14,869,809",4.6,,"10,529,090",18.8,,"92,041",11.6
Federal,,"11,399,315",3.5,,"8,378,854",15.0,,"81,242",10.3
State,,"3,227,298",1.0,,"1,960,140",3.5,,"10,168",1.3
Local,,"243,196",0.1,,"190,095",0.3,,632,0.1
Gifts,,"7,642,169",2.4,,"273,665",0.5,,"6,102",0.8
Investment income,,"13,547,665",4.2,,"231,165",0.4,,"1,791",0.2
Other nonoperating revenues,,"7,230,940",2.2,,"848,363",1.5,,"7,465",0.9
,,,,,,,,,
Total other revenues and additions,,"16,660,418",5.2,,"2,645,299",4.7,,"16,050",2.0
,,,,,,,,,
Capital appropriations,,"4,994,288",1.6,,"1,581,100",2.8,,—,—
Capital grants and gifts,,"3,307,489",1.0,,"358,288",0.6,,—,—
Additions to permanent endowments,,"1,176,695",0.4,,"12,859",#,,—,—
Other revenues and additions,,"7,181,945",2.2,,"693,052",1.2,,"16,050",2.0
,,,,,,,,,
Total expenses ,,"$305,363,799",100.0,,"$54,741,787",100.0,,"$710,247",100.0
,,,,,,,,,
Instruction,,"86,382,779",28.3,,"22,800,828",41.7,,"368,373",51.9
Research,,"35,431,322",11.6,,"29,262",0.1,,0,0
Public service,,"14,494,699",4.7,,"844,599",1.5,,"2,663",0.4
