National Center for Education Statistics,,,,,,,,,
"Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2016",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,"Revenues or 
expenses 
(in thousands)",Percent,,"Revenues or 
expenses 
(in thousands)",Percent,,"Revenues or 
expenses 
(in thousands)",Percent
,,,,,,,,,
,,Public institutions (GASB standards1 ),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$296,983,424",100.0,,"$56,207,449",100.0,,"$798,240",100.0
,,,,,,,,,
Operating revenues,,"194,677,398",65.6,,"15,587,128",27.7,,"306,962",38.5
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"64,003,686",21.6,,"9,159,424",16.3,,"153,966",19.3
Grants and contracts,,"42,695,173",14.4,,"3,925,514",7.0,,"110,532",13.8
Federal (excludes FDSL loans),,"24,753,011",8.3,,"1,587,764",2.8,,"23,355",2.9
State,,"5,800,937",2.0,,"1,818,527",3.2,,"57,585",7.2
Local,,"1,812,481",0.6,,"283,321",0.5,,"28,373",3.6
Private,,"10,328,744",3.5,,"235,902",0.4,,"1,219",0.2
"Sales and services of auxiliary enterprises after 
     deducting discounts and allowances",,"25,134,379",8.5,,"1,598,387",2.8,,—,—
Sales and services of hospitals,,"42,211,593",14.2,,0,0,,—,—
Sales and services of educational activities,,"9,491,761",3.2,,"158,957",0.3,,"5,538",0.7
Independent operations,,"1,504,142",0.5,,0,0,,—,—
Other operating revenues,,"9,636,663",3.2,,"744,846",1.3,,"36,925",4.6
,,,,,,,,,
Nonoperating revenues,,"86,161,016",29,,"37,965,570",67.5,,"446,261",55.9
,,,,,,,,,
Appropriations,,"54,963,538",18.5,,"25,647,251",45.6,,"336,549",42.2
Federal ,,"1,591,969",0.5,,"49,955",0.1,,"12,171",1.5
State ,,"52,321,187",17.6,,"14,283,521",25.4,,"175,129",21.9
Local ,,"1,050,382",0.4,,"11,313,775",20.1,,"149,248",18.7
Nonoperating grants,,"14,736,561",5.0,,"11,125,010",19.8,,"93,651",11.7
Federal,,"11,522,288",3.9,,"9,042,230",16.1,,"82,671",10.4
State,,"3,008,676",1,,"1,870,272",3.3,,"9,889",1.2
Local,,"205,597",0.1,,"212,509",0.4,,"1,090",0.1
Gifts,,"7,856,486",2.6,,"284,653",0.5,,"6,357",0.8
Investment income,,"3,937,626",1.3,,"155,754",0.3,,"1,698",0.2
Other nonoperating revenues,,"4,666,805",1.6,,"752,902",1.3,,"8,007",1
,,,,,,,,,
Total other revenues and additions2 ,,"16,145,010",5.4,,"2,654,750",4.7,,"45,016",5.6
,,,,,,,,,
Capital appropriations,,"4,742,620",1.6,,"1,724,744",3.1,,—,—
Capital grants and gifts,,"3,482,369",1.2,,"298,979",0.5,,—,—
Additions to permanent endowments,,"1,117,698",0.4,,"12,361",#,,—,—
Other revenues and additions,,"6,802,323",2.3,,"618,668",1.1,,—,—
,,,,,,,,,
Total expenses ,,"$289,582,547",100.0,,"$54,102,814",100.0,,"$698,492",100.0
,,,,,,,,,
Instruction,,"83,125,326",28.7,,"22,632,956",41.8,,"362,584",51.9
Research,,"34,281,890",11.8,,"26,178",#,,0,#
Public service,,"13,718,090",4.7,,"805,310",1.5,,"2,893",0.4
Academic support,,"24,042,763",8.3,,"4,721,436",8.7,,"57,382",8.2
