National Center for Education Statistics,,,,,,,,,
"Table 12. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2020",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent
,,,,,,,,,
,,Public institutions (GASB standards)1,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$357,858,493",100.0,,"$56,527,203",100.0,,"$920,632",100.0
,,,,,,,,,
Operating revenues,,"226,619,024",63.3,,"14,968,196",26.5,,"319,156",34.7
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"71,751,047",20.1,,"8,135,812",14.4,,"153,296",16.7
Grants and contracts,,"51,363,067",14.4,,"4,867,590",8.6,,"114,271",12.4
Federal (excludes FDSL loans)2 ,,"29,874,766",8.3,,"1,693,791",3.0,,"21,822",2.4
State,,"6,950,663",1.9,,"2,633,532",4.7,,"61,229",6.7
Local,,"2,233,339",0.6,,"308,468",0.5,,"29,792",3.2
Private,,"12,304,300",3.4,,"231,799",0.4,,"1,427",0.2
Sales and services of auxiliary enterprises after     deducting discounts and allowances,,"23,893,733",6.7,,"1,058,988",1.9,,—,—
Sales and services of hospitals,,"54,862,962",15.3,,—,—,,—,—
Sales and services of educational activities,,"11,272,962",3.2,,"134,183",0.2,,"6,999",0.8
Independent operations,,"1,911,140",0.5,,—,—,,—,—
Other operating revenues,,"11,564,113",3.2,,"771,624",1.4,,"44,590",4.8
,,,,,,,,,
Nonoperating revenues,,"114,482,091",32.0,,"39,177,016",69.3,,"578,694",62.9
,,,,,,,,,
Appropriations,,"66,321,212",18.5,,"26,568,980",47.0,,"434,778",47.2
Federal ,,"1,976,846",0.6,,"135,994",0.2,,"16,672",1.8
State ,,"61,340,825",17.1,,"14,637,422",25.9,,"255,813",27.8
Local ,,"3,003,540",0.8,,"11,795,564",20.9,,"162,293",17.6
Nonoperating grants,,"22,524,588",6.3,,"10,732,514",19.0,,"120,393",13.1
Federal,,"17,680,799",4.9,,"8,662,642",15.3,,"97,901",10.6
State,,"4,535,178",1.3,,"1,914,351",3.4,,"16,016",1.7
Local,,"308,611",0.1,,"155,520",0.3,,"6,477",0.7
Gifts,,"8,988,459",2.5,,"298,184",0.5,,"7,858",0.9
Investment income,,"10,497,470",2.9,,"517,500",0.9,,"4,906",0.5
Other nonoperating revenues,,"6,150,362",1.7,,"1,059,838",1.9,,"10,758",1.2
,,,,,,,,,
Total other revenues and additions,,"16,757,378",4.7,,"2,381,990",4.2,,"22,782",2.5
,,,,,,,,,
Capital appropriations,,"4,224,435",1.2,,"1,769,571",3.1,,—,—
Capital grants and gifts,,"3,811,013",1.1,,"270,989",0.5,,—,—
Additions to permanent endowments,,"1,169,939",0.3,,"11,186",#,,—,—
Other revenues and additions,,"7,551,991",2.1,,"330,244",0.6,,"22,782",2.5
,,,,,,,,,
Total expenses ,,"$351,185,532",100.0,,"$54,214,199",100.0,,"$801,388",100.0
,,,,,,,,,
Instruction,,"91,470,598",26.0,,"21,123,723",39.0,,"407,731",50.9
Research,,"39,144,942",11.1,,"30,481",0.1,,58,#
Public service,,"15,652,343",4.5,,"755,923",1.4,,"3,844",0.5
Academic support,,"28,027,900",8.0,,"4,546,716",8.4,,"70,732",8.8
