National Center for Education Statistics,,,,,,,,,
"Table 13. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2019",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent
,,,,,,,,,
,,Public institutions (GASB standards)1,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$345,618,668",100.0,,"$56,257,739",100.0,,"$898,878",100.0
,,,,,,,,,
Operating revenues,,"223,750,695",64.7,,"15,589,596",27.7,,"320,434",35.6
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"70,278,827",20.3,,"8,741,355",15.5,,"158,563",17.6
Grants and contracts,,"48,640,751",14.1,,"4,624,633",8.2,,"110,778",12.3
Federal (excludes FDSL loans)2 ,,"28,258,504",8.2,,"1,433,812",2.5,,"21,399",2.4
State,,"6,403,525",1.9,,"2,632,343",4.7,,"55,489",6.2
Local,,"2,148,624",0.6,,"321,819",0.6,,"32,032",3.6
Private,,"11,830,098",3.4,,"236,659",0.4,,"1,859",0.2
Sales and services of auxiliary enterprises after     deducting discounts and allowances,,"27,361,752",7.9,,"1,270,069",2.3,,—,—
Sales and services of hospitals,,"53,477,810",15.5,,—,—,,—,—
Sales and services of educational activities,,"11,389,089",3.3,,"160,486",0.3,,"9,578",1.1
Independent operations,,"1,850,733",0.5,,—,—,,—,—
Other operating revenues,,"10,751,732",3.1,,"793,052",1.4,,"41,514",4.6
,,,,,,,,,
Nonoperating revenues,,"104,523,879",30.2,,"38,081,198",67.7,,"546,629",60.8
,,,,,,,,,
Appropriations,,"62,941,191",18.2,,"26,467,466",47.0,,"423,339",47.1
Federal ,,"1,870,493",0.5,,"80,130",0.1,,"17,299",1.9
State ,,"58,830,458",17.0,,"14,560,777",25.9,,"217,950",24.2
Local ,,"2,240,240",0.6,,"11,826,559",21.0,,"188,089",20.9
Nonoperating grants,,"17,348,485",5.0,,"9,881,836",17.6,,"100,317",11.2
Federal,,"12,965,760",3.8,,"8,101,948",14.4,,"85,279",9.5
State,,"4,114,881",1.2,,"1,665,064",3.0,,"13,657",1.5
Local,,"267,843",0.1,,"114,825",0.2,,"1,380",0.2
Gifts,,"8,969,251",2.6,,"308,341",0.5,,"7,993",0.9
Investment income,,"9,323,201",2.7,,"608,604",1.1,,"5,425",0.6
Other nonoperating revenues,,"5,941,751",1.7,,"814,951",1.4,,"9,557",1.1
,,,,,,,,,
Total other revenues and additions,,"17,344,094",5.0,,"2,586,944",4.6,,"31,814",3.5
,,,,,,,,,
Capital appropriations,,"4,387,335",1.3,,"1,719,336",3.1,,—,—
Capital grants and gifts,,"3,716,945",1.1,,"452,354",0.8,,—,—
Additions to permanent endowments,,"1,422,503",0.4,,"46,089",0.1,,—,—
Other revenues and additions,,"7,817,311",2.3,,"369,166",0.7,,"31,814",3.5
,,,,,,,,,
Total expenses ,,"$334,251,664",100.0,,"$53,888,233",100.0,,"$770,908",100.0
,,,,,,,,,
Instruction,,"89,422,936",26.8,,"21,775,909",40.4,,"403,761",52.4
Research,,"38,036,442",11.4,,"29,808",0.1,,55,#
Public service,,"14,831,200",4.4,,"813,084",1.5,,"3,085",0.4
Academic support,,"26,973,892",8.1,,"4,687,016",8.7,,"64,399",8.4
