National Center for Education Statistics,,,,,,,,,
"Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, source of funds and type of expense: United States, fiscal year 2015",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,"Revenues or 
expenses 
(in thousands)",Percent,,"Revenues or 
expenses 
(in thousands)",Percent,,"Revenues or 
expenses 
(in thousands)",Percent
,,,,,,,,,
,,Public institutions (GASB standards1 ),,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$278,731,047",100.0,,"$57,243,466",100.0,,"$775,381",100.0
,,,,,,,,,
Operating revenues,,"183,582,430",65.9,,"16,249,330",28.4,,"315,364",40.7
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"60,663,155",21.8,,"9,422,056",16.5,,"156,048",20.1
Grants and contracts,,"41,164,017",14.8,,"4,173,775",7.3,,"106,486",13.7
Federal (excludes FDSL loans),,"24,250,455",8.7,,"1,736,562",3.0,,"22,164",2.9
State,,"5,336,850",1.9,,"1,875,230",3.3,,"55,499",7.2
Local,,"1,609,872",0.6,,"308,298",0.5,,"27,720",3.6
Private,,"9,966,840",3.6,,"253,686",0.4,,"1,103",0.1
"Sales and services of auxiliary enterprises after 
     deducting discounts and allowances",,"24,014,938",8.6,,"1,750,881",3.1,,—,—
Sales and services of hospitals,,"38,377,649",13.8,,0,0,,—,—
Sales and services of educational activities,,"9,024,749",3.2,,"162,085",0.3,,"5,113",0.7
Independent operations,,"1,476,595",0.5,,0,0,,—,—
Other operating revenues,,"8,861,326",3.2,,"740,532",1.3,,"47,716",6.2
,,,,,,,,,
Nonoperating revenues,,"79,793,929",28.6,,"38,400,709",67.1,,"439,947",56.7
,,,,,,,,,
Appropriations,,"52,622,454",18.9,,"25,202,931",44.0,,"327,413",42.2
Federal ,,"1,650,355",0.6,,"104,516",0.2,,"12,270",1.6
State ,,"50,386,091",18.1,,"14,297,368",25.0,,"157,876",20.4
Local ,,"586,009",0.2,,"10,801,047",18.9,,"157,267",20.3
Nonoperating grants,,"14,354,290",5.1,,"12,038,429",21.0,,"97,818",12.6
Federal,,"11,329,817",4.1,,"10,349,401",18.1,,"87,561",11.3
State ,,"2,866,382",1,,"1,555,261",2.7,,"9,654",1.2
Local,,"158,091",0.1,,"133,767",0.2,,604,0.1
Gifts,,"7,394,437",2.7,,"316,434",0.6,,"5,291",0.7
Investment income,,"958,393",0.3,,"147,956",0.3,,"1,228",0.2
Other nonoperating revenues,,"4,464,354",1.6,,"694,959",1.2,,"8,196",1.1
,,,,,,,,,
Total other revenues and additions2 ,,"15,354,689",5.5,,"2,593,427",4.5,,"20,071",2.6
,,,,,,,,,
Capital appropriations,,"4,632,561",1.7,,"1,663,135",2.9,,—,—
Capital grants and gifts,,"3,383,607",1.2,,"326,095",0.6,,—,—
Additions to permanent endowments,,"998,211",0.4,,"14,047",#,,—,—
Other revenues and additions,,"6,340,310",2.3,,"590,151",1,,—,—
,,,,,,,,,
Total expenses ,,"$270,180,051",100.0,,"$55,035,812",100.0,,"$690,225",100.0
,,,,,,,,,
Instruction,,"79,060,351",29.3,,"23,702,105",43.1,,"357,328",51.8
Research,,"33,401,114",12.4,,"24,007",#,,0,0
Public service,,"13,025,814",4.8,,"852,380",1.5,,"2,457",0.4
Academic support,,"22,659,028",8.4,,"4,887,062",8.9,,"58,546",8.5
