National Center for Education Statistics,,,,,,,,,
"Table 5. Amount and percentage distribution of revenues and expenses at Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, and source of funds and type of expense: United States, fiscal year 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds and type of expense,,4-year,,,2-year,,,Less-than-2-year,
,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent
,,,,,,,,,
,,Public institutions (GASB standards)1 ,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$441,301,569",100.0,,"$60,442,030",100.0,,"$1,165,962",100.0
,,,,,,,,,
Operating revenues,,"275,889,901",62.5,,"15,466,954",25.6,,"400,197",34.3
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"73,918,618",16.8,,"6,937,929",11.5,,"173,703",14.9
Grants and contracts,,"63,456,326",14.4,,"6,354,521",10.5,,"153,039",13.1
Federal (excludes FDSL loans)2 ,,"38,546,222",8.7,,"2,417,525",4.0,,"30,932",2.7
State,,"8,332,496",1.9,,"3,347,802",5.5,,"82,363",7.1
Local,,"2,771,399",0.6,,"301,151",0.5,,"38,503",3.3
Private,,"13,806,208",3.1,,"288,043",0.5,,"1,241",0.1
Sales and services of auxiliary enterprises after     deducting discounts and allowances,,"29,461,337",6.7,,"966,895",1.6,,—,—
Sales and services of hospitals,,"76,509,152",17.3,,—,—,,—,—
Sales and services of educational activities,,"15,300,167",3.5,,"162,211",0.3,,"13,321",1.1
Independent operations,,"2,015,287",0.5,,—,—,,—,—
Other operating revenues,,"15,229,016",3.5,,"1,045,399",1.7,,"60,134",5.2
,,,,,,,,,
Nonoperating revenues,,"140,273,141",31.8,,"41,911,108",69.3,,"728,262",62.5
,,,,,,,,,
Appropriations,,"81,992,555",18.6,,"28,334,109",46.9,,"562,626",48.3
Federal ,,"2,314,740",0.5,,"150,805",0.2,,"15,695",1.3
State ,,"74,951,774",17.0,,"15,662,977",25.9,,"338,053",29.0
Local ,,"4,726,041",1.1,,"12,520,326",20.7,,"208,878",17.9
Nonoperating grants,,"22,771,897",5.2,,"10,921,129",18.1,,"125,921",10.8
Federal,,"16,886,994",3.8,,"8,694,434",14.4,,"99,297",8.5
State,,"5,434,802",1.2,,"2,027,932",3.4,,"24,018",2.1
Local,,"450,101",0.1,,"198,763",0.3,,"2,606",0.2
Gifts,,"11,598,943",2.6,,"376,455",0.6,,"16,955",1.5
Investment income,,"17,515,545",4.0,,"804,799",1.3,,"10,246",0.9
Other nonoperating revenues,,"6,394,200",1.4,,"1,474,615",2.4,,"12,514",1.1
,,,,,,,,,
Total other revenues and additions,,"25,138,527",5.7,,"3,063,968",5.1,,"37,503",3.2
,,,,,,,,,
Capital appropriations,,"6,927,397",1.6,,"2,084,509",3.4,,—,—
Capital grants and gifts,,"4,441,133",1.0,,"486,710",0.8,,—,—
Additions to permanent endowments,,"1,808,157",0.4,,"49,133",0.1,,—,—
Other revenues and additions,,"11,961,840",2.7,,"443,616",0.7,,"37,503",3.2
,,,,,,,,,
Total expenses ,,"$408,718,313",100.0,,"$53,983,154",100.0,,"$1,013,361",100.0
,,,,,,,,,
Instruction,,"101,469,582",24.8,,"20,531,854",38.0,,"500,200",49.4
Research,,"48,440,453",11.9,,"36,680",0.1,,#,#
Public service,,"19,328,430",4.7,,"791,102",1.5,,"6,047",0.6
