National Center for Education Statistics,,,,,,,,,
"Table 05. Amount and percentage distribution of revenues and expenses of Title IV institutions and administrative offices, by level and control of institution or administrative office, accounting standards utilized, and source of funds and type of expense: United States, fiscal year 2022",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Source of funds ,,4-year,,,2-year,,,Less-than-2-year,
,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent,,Revenues or expenses (in thousands),Percent
,,,,,,,,,
,,Public institutions (GASB standards)1,,,,,,,
,,,,,,,,,
Total revenues and investment return,,"$396,768,584",100.0,,"$63,164,846",100.0,,"$1,040,212",100.0
,,,,,,,,,
Operating revenues,,"254,804,609",64.2,,"16,047,034",25.4,,"345,118",33.2
,,,,,,,,,
Tuition and fees (net of allowances and discounts),,"72,613,696",18.3,,"7,066,488",11.2,,"162,276",15.6
Grants and contracts,,"59,080,250",14.9,,"7,077,123",11.2,,"117,251",11.3
Federal (excludes FDSL loans),,"35,433,342",8.9,,"3,508,784",5.6,,"32,662",3.1
State,,"7,401,801",1.9,,"2,962,371",4.7,,"50,766",4.9
Local,,"2,505,190",0.6,,"333,809",0.5,,"32,467",3.1
Private,,"13,739,917",3.5,,"272,159",0.4,,"1,356",0.1
Sales and services of auxiliary enterprises after     deducting discounts and allowances,,"27,089,210",6.8,,"909,956",1.4,,—,—
Sales and services of hospitals,,"66,858,912",16.9,,—,—,,—,—
Sales and services of educational activities,,"13,882,223",3.5,,"141,038",0.2,,"9,489",0.9
Independent operations,,"1,943,537",0.5,,—,—,,—,—
Other operating revenues,,"13,336,781",3.4,,"852,429",1.3,,"56,102",5.4
,,,,,,,,,
Nonoperating revenues,,"119,827,405",30.2,,"44,415,461",70.3,,"673,561",64.8
,,,,,,,,,
Appropriations,,"73,710,226",18.6,,"27,965,768",44.3,,"494,237",47.5
Federal ,,"2,337,803",0.6,,"305,806",0.5,,"17,855",1.7
State ,,"67,838,077",17.1,,"15,091,487",23.9,,"293,637",28.2
Local ,,"3,534,346",0.9,,"12,568,476",19.9,,"182,744",17.6
Nonoperating grants,,"34,392,569",8.7,,"14,818,308",23.5,,"152,985",14.7
Federal,,"29,201,462",7.4,,"12,870,251",20.4,,"133,124",12.8
State,,"4,809,405",1.2,,"1,786,981",2.8,,"18,010",1.7
Local,,"381,702",0.1,,"161,077",0.3,,"1,851",0.2
Gifts,,"11,286,440",2.8,,"366,350",0.6,,"10,524",1.0
Investment income,,"-10,909,206",-2.7,,"-409,033",-0.6,,-387,0
Other nonoperating revenues,,"11,347,375",2.9,,"1,674,068",2.7,,"16,203",1.6
,,,,,,,,,
Total other revenues and additions,,"22,136,570",5.6,,"2,702,350",4.3,,"21,533",2.1
,,,,,,,,,
Capital appropriations,,"5,424,124",1.4,,"1,673,729",2.6,,—,—
Capital grants and gifts,,"4,076,039",1.0,,"497,283",0.8,,—,—
Additions to permanent endowments,,"1,831,500",0.5,,"14,777",#,,—,—
Other revenues and additions,,"10,804,907",2.7,,"516,562",0.8,,"21,533",2.1
,,,,,,,,,
Total expenses ,,"$382,971,620",100.0,,"$55,903,806",100.0,,"$917,704",100.0
,,,,,,,,,
Instruction,,"95,604,209",25.0,,"20,088,634",35.9,,"447,616",48.8
Research,,"44,608,863",11.6,,"33,057",0.1,,0,#
Public service,,"17,615,733",4.6,,"782,657",1.4,,"6,118",0.7
Academic support,,"29,866,284",7.8,,"4,540,764",8.1,,"84,693",9.2
