,state_id,state_name
0,AN,Andaman and Nicobar Island (UT)
1,AP,Andhra Pradesh
2,AR,Arunachal Pradesh
3,AS,Assam
4,BR,Bihar
5,CH,Chandigarh (UT)
6,CG,Chhattisgarh
7,DN,Dadra and Nagar Haveli (UT)
8,DD,Daman and Diu (UT)
9,DL,Delhi (NCT)
10,GA,Goa
11,GJ,Gujarat
12,HR,Haryana
13,HP,Himachal Pradesh
14,JK,Jammu and Kashmir
15,JH,Jharkhand
16,KA,Karnataka
17,KL,Kerala
18,LD,Lakshadweep (UT)
19,MP,Madhya Pradesh
20,MH,Maharashtra
21,MN,Manipur
22,ML,Meghalaya
23,MZ,Mizoram
24,NL,Nagaland
25,OR,Odisha
26,PY,Puducherry (UT)
27,PB,Punjab
28,RJ,Rajasthan
29,SK,Sikkim
30,TN,Tamil Nadu
31,TG,Telangana
32,TR,Tripura
33,UK,Uttarakhand
34,UP,Uttar Pradesh
35,WB,West Bengal
