Detail Data For Oil Consumption Consuming Sector wise Having Year : ALL
.
YearValue,Broadcategory,ConsumingSector,Ownership,Qty_000Tonne_Consumption
2006,OTHERS,PVT IMPORTS,PRIVATE,4385.000
2007,OTHERS,PVT IMPORTS,PRIVATE,4583.000
2008,OTHERS,PVT IMPORTS,PRIVATE,5963.000
2010,OTHERS,PVT IMPORTS,PRIVATE,2148.200
2012,OTHERS,PVT IMPORTS,PRIVATE,2964.200
2016,OTHERS,PVT IMPORTS,PRIVATE,3653.900
2009,OTHERS,PVT IMPORTS,PRIVATE,5691.000
2011,OTHERS,PVT IMPORTS,PRIVATE,2707.100
2013,OTHERS,PVT IMPORTS,PRIVATE,2487.700
2014,OTHERS,PVT IMPORTS,PRIVATE,2010.900
2015,OTHERS,PVT IMPORTS,PRIVATE,1926.300
2017,OTHERS,PVT IMPORTS,PRIVATE,3682.200
2017,OTHERS,PVT IMPORTS,N/A,337.540
2018,OTHERS,PVT IMPORTS,PRIVATE,3164.880
2018,OTHERS,PVT IMPORTS,N/A,300.080
2019,OTHERS,PVT IMPORTS,PRIVATE,3731.930
2019,OTHERS,PVT IMPORTS,N/A,258.760
2020,OTHERS,PVT IMPORTS,PRIVATE,3400.370
2020,OTHERS,PVT IMPORTS,N/A,3.500
2006,OTHERS,PVT SALES,PRIVATE,7403.000
2007,OTHERS,PVT SALES,PRIVATE,7738.000
2006,AGRICULTURE,AGRICULTURE,PSU,7584.000
2007,AGRICULTURE,AGRICULTURE,PSU,7928.000
2008,AGRICULTURE,AGRICULTURE,PSU,9334.000
2010,AGRICULTURE,AGRICULTURE,PSU,669.800
2012,AGRICULTURE,AGRICULTURE,PSU,760.400
2016,AGRICULTURE,AGRICULTURE,PSU,694.800
2009,AGRICULTURE,AGRICULTURE,PSU,6214.000
2011,AGRICULTURE,AGRICULTURE,PSU,690.500
2013,AGRICULTURE,AGRICULTURE,PSU,701.500
2014,AGRICULTURE,AGRICULTURE,PSU,509.000
2015,AGRICULTURE,AGRICULTURE,PSU,637.700
2017,AGRICULTURE,AGRICULTURE,PSU,668.270
2018,AGRICULTURE,AGRICULTURE,PSU,685.750
2019,AGRICULTURE,AGRICULTURE,PSU,762.650
2020,AGRICULTURE,AGRICULTURE,PSU,731.350
2006,INDUSTRY,MANUFACTURING INDUSTRY,PSU,5407.000
2007,INDUSTRY,MANUFACTURING INDUSTRY,PSU,5651.000
2008,INDUSTRY,MANUFACTURING INDUSTRY,PSU,5663.000
2010,INDUSTRY,MANUFACTURING INDUSTRY,PSU,6147.000
2012,INDUSTRY,MANUFACTURING INDUSTRY,PSU,5412.000
2016,INDUSTRY,MANUFACTURING INDUSTRY,PSU,3564.900
2009,INDUSTRY,MANUFACTURING INDUSTRY,PSU,8728.000
2011,INDUSTRY,MANUFACTURING INDUSTRY,PSU,5537.100
2013,INDUSTRY,MANUFACTURING INDUSTRY,PSU,4643.400
2014,INDUSTRY,MANUFACTURING INDUSTRY,PSU,2794.900
2015,INDUSTRY,MANUFACTURING INDUSTRY,PSU,2908.200
2017,INDUSTRY,MANUFACTURING INDUSTRY,PSU,3854.850
2018,INDUSTRY,MANUFACTURING INDUSTRY,PSU,3907.890
2019,INDUSTRY,MANUFACTURING INDUSTRY,PSU,4395.250
2020,INDUSTRY,MANUFACTURING INDUSTRY,PSU,3985.700
2006,INDUSTRY,MINING & QUARRYING,PSU,689.000
2007,INDUSTRY,MINING & QUARRYING,PSU,720.000
2008,INDUSTRY,MINING & QUARRYING,PSU,928.000
2010,INDUSTRY,MINING & QUARRYING,PSU,1271.800
2012,INDUSTRY,MINING & QUARRYING,PSU,1229.100
2016,INDUSTRY,MINING & QUARRYING,PSU,1238.700
2009,INDUSTRY,MINING & QUARRYING,PSU,1065.000
2011,INDUSTRY,MINING & QUARRYING,PSU,1376.100
2013,INDUSTRY,MINING & QUARRYING,PSU,1088.200
2014,INDUSTRY,MINING & QUARRYING,PSU,915.000
2015,INDUSTRY,MINING & QUARRYING,PSU,1047.100
2017,INDUSTRY,MINING & QUARRYING,PSU,1297.730
2018,INDUSTRY,MINING & QUARRYING,PSU,1329.440
2019,INDUSTRY,MINING & QUARRYING,PSU,1541.710
2020,INDUSTRY,MINING & QUARRYING,PSU,1638.100
2006,OTHERS,MISCELLANEOUS,PSU,10742.000
2007,OTHERS,MISCELLANEOUS,PSU,11229.000
2008,OTHERS,MISCELLANEOUS,PSU,12257.000
2010,OTHERS,MISCELLANEOUS,PSU,51875.200
2012,OTHERS,MISCELLANEOUS,PSU,6184.000
2016,OTHERS,MISCELLANEOUS,PSU,4759.000
2009,OTHERS,MISCELLANEOUS,PSU,7562.000
2011,OTHERS,MISCELLANEOUS,PSU,6968.800
2013,OTHERS,MISCELLANEOUS,PSU,5044.900
2014,OTHERS,MISCELLANEOUS,PSU,3682.200
2015,OTHERS,MISCELLANEOUS,PSU,4188.800
2017,OTHERS,MISCELLANEOUS,PSU,4952.650
2018,OTHERS,MISCELLANEOUS,PSU,4440.810
2019,OTHERS,MISCELLANEOUS,PSU,3670.560
2020,OTHERS,MISCELLANEOUS,PSU,3721.560
2006,POWER,POWER GENERATION,PSU,4013.000
2007,POWER,POWER GENERATION,PSU,4195.000
2008,POWER,POWER GENERATION,PSU,4698.000
2010,POWER,POWER GENERATION,PSU,2719.000
2012,POWER,POWER GENERATION,PSU,1528.100
2016,POWER,POWER GENERATION,PSU,912.200
2009,POWER,POWER GENERATION,PSU,7734.000
2011,POWER,POWER GENERATION,PSU,2013.500
2013,POWER,POWER GENERATION,PSU,1724.500
2014,POWER,POWER GENERATION,PSU,1417.700
2015,POWER,POWER GENERATION,PSU,1203.700
2017,POWER,POWER GENERATION,PSU,822.370
2018,POWER,POWER GENERATION,PSU,747.350
2019,POWER,POWER GENERATION,PSU,854.120
2020,POWER,POWER GENERATION,PSU,878.650
2006,OTHERS,RESELLERS/RETAIL,PSU,9981.000
2007,OTHERS,RESELLERS/RETAIL,PSU,10433.000
2008,OTHERS,RESELLERS/RETAIL,PSU,11173.000
2012,OTHERS,RESELLERS/RETAIL,PSU,53207.800
2016,OTHERS,RESELLERS/RETAIL,PSU,64088.100
2009,OTHERS,RESELLERS/RETAIL,PSU,11607.000
2011,OTHERS,RESELLERS/RETAIL,PSU,48703.900
2013,OTHERS,RESELLERS/RETAIL,PSU,58432.000
2014,OTHERS,RESELLERS/RETAIL,PSU,61832.400
2015,OTHERS,RESELLERS/RETAIL,PSU,60648.800
2017,OTHERS,RESELLERS/RETAIL,PSU,65514.700
2018,OTHERS,RESELLERS/RETAIL,PSU,70259.120
2019,OTHERS,RESELLERS/RETAIL,PSU,72076.970
2020,OTHERS,RESELLERS/RETAIL,PSU,71082.080
2006,TRANSPORT,TRANSPORT,PSU,23103.000
2006,TRANSPORT,TRANSPORT,N/A,12693.000
2007,TRANSPORT,TRANSPORT,PSU,24149.000
2007,TRANSPORT,TRANSPORT,N/A,13268.000
2008,TRANSPORT,TRANSPORT,PSU,28570.000
2008,TRANSPORT,TRANSPORT,N/A,14875.000
2010,TRANSPORT,TRANSPORT,PSU,6156.100
2010,TRANSPORT,TRANSPORT,N/A,17445.000
2012,TRANSPORT,TRANSPORT,PSU,6126.000
2012,TRANSPORT,TRANSPORT,N/A,20528.000
2016,TRANSPORT,TRANSPORT,PSU,6319.700
2016,TRANSPORT,TRANSPORT,N/A,28109.000
2009,TRANSPORT,TRANSPORT,PSU,34220.000
2009,TRANSPORT,TRANSPORT,N/A,15681.000
2011,TRANSPORT,TRANSPORT,PSU,6425.500
2011,TRANSPORT,TRANSPORT,N/A,19272.000
2013,TRANSPORT,TRANSPORT,PSU,5654.600
2013,TRANSPORT,TRANSPORT,N/A,21015.000
2014,TRANSPORT,TRANSPORT,PSU,3717.400
2014,TRANSPORT,TRANSPORT,N/A,22633.000
2015,TRANSPORT,TRANSPORT,PSU,5133.400
2015,TRANSPORT,TRANSPORT,N/A,24653.000
2017,TRANSPORT,TRANSPORT,PSU,6277.060
2017,TRANSPORT,TRANSPORT,N/A,29233.400
2018,TRANSPORT,TRANSPORT,PSU,6792.190
2018,TRANSPORT,TRANSPORT,N/A,32102.920
2019,TRANSPORT,TRANSPORT,PSU,7186.860
2019,TRANSPORT,TRANSPORT,N/A,36186.200
2020,TRANSPORT,TRANSPORT,PSU,7021.030
2020,TRANSPORT,TRANSPORT,N/A,37839.010
2006,RESIDENTIAL,RESIDENTIAL,PSU,8804.000
2007,RESIDENTIAL,RESIDENTIAL,PSU,9203.000
2008,RESIDENTIAL,RESIDENTIAL,PSU,9167.000
2010,RESIDENTIAL,RESIDENTIAL,PSU,20465.300
2012,RESIDENTIAL,RESIDENTIAL,PSU,21340.900
2016,RESIDENTIAL,RESIDENTIAL,PSU,23830.600
2009,RESIDENTIAL,RESIDENTIAL,PSU,9131.000
2011,RESIDENTIAL,RESIDENTIAL,PSU,21090.700
2013,RESIDENTIAL,RESIDENTIAL,PSU,20917.000
2014,RESIDENTIAL,RESIDENTIAL,PSU,21420.500
2015,RESIDENTIAL,RESIDENTIAL,PSU,22957.700
2017,RESIDENTIAL,RESIDENTIAL,PSU,24075.480
2018,RESIDENTIAL,RESIDENTIAL,PSU,23985.370
2019,RESIDENTIAL,RESIDENTIAL,PSU,24959.230
2020,RESIDENTIAL,RESIDENTIAL,PSU,25249.800
2006,OTHERS,OTHERS,PSU,1373.000
2006,OTHERS,OTHERS,N/A,2923.000
2007,OTHERS,OTHERS,PSU,1435.000
2007,OTHERS,OTHERS,N/A,3055.000
2008,OTHERS,OTHERS,PSU,333.000
2008,OTHERS,OTHERS,N/A,2766.000
2010,OTHERS,OTHERS,PSU,694.100
2010,OTHERS,OTHERS,N/A,5111.000
2012,OTHERS,OTHERS,PSU,285.900
2012,OTHERS,OTHERS,N/A,4654.000
2016,OTHERS,OTHERS,PSU,113.200
2016,OTHERS,OTHERS,N/A,3002.000
2009,OTHERS,OTHERS,PSU,694.000
2009,OTHERS,OTHERS,N/A,4469.000
2011,OTHERS,OTHERS,PSU,293.500
2011,OTHERS,OTHERS,N/A,4315.000
2013,OTHERS,OTHERS,PSU,318.400
2013,OTHERS,OTHERS,N/A,5315.000
2014,OTHERS,OTHERS,PSU,347.200
2014,OTHERS,OTHERS,N/A,5781.000
2015,OTHERS,OTHERS,PSU,316.800
2015,OTHERS,OTHERS,N/A,5789.000
2017,OTHERS,OTHERS,PSU,173.170
2017,OTHERS,OTHERS,N/A,7602.570
2018,OTHERS,OTHERS,PSU,519.440
2018,OTHERS,OTHERS,N/A,9543.610
2019,OTHERS,OTHERS,PSU,592.610
2019,OTHERS,OTHERS,N/A,11576.670
2020,OTHERS,OTHERS,PSU,1115.280
2020,OTHERS,OTHERS,N/A,11422.310
2006,INDUSTRY,STEEL PLANTS,PSU,33.000
2007,INDUSTRY,STEEL PLANTS,PSU,34.000
2008,INDUSTRY,STEEL PLANTS,PSU,54.000
2010,INDUSTRY,STEEL PLANTS,PSU,2.500
2012,INDUSTRY,STEEL PLANTS,PSU,0.200
2009,INDUSTRY,STEEL PLANTS,PSU,71.000
2006,NON-ENERGY,FERTILIZERS,PSU,1894.000
2007,NON-ENERGY,FERTILIZERS,PSU,1980.000
2008,NON-ENERGY,FERTILIZERS,PSU,1689.000
2010,NON-ENERGY,FERTILIZERS,PSU,844.400
2012,NON-ENERGY,FERTILIZERS,PSU,962.300
2016,NON-ENERGY,FERTILIZERS,PSU,353.000
2009,NON-ENERGY,FERTILIZERS,PSU,1803.000
2011,NON-ENERGY,FERTILIZERS,PSU,892.200
2013,NON-ENERGY,FERTILIZERS,PSU,898.000
2014,NON-ENERGY,FERTILIZERS,PSU,515.900
2015,NON-ENERGY,FERTILIZERS,PSU,301.500
2017,NON-ENERGY,FERTILIZERS,PSU,349.350
2018,NON-ENERGY,FERTILIZERS,PSU,367.740
2019,NON-ENERGY,FERTILIZERS,PSU,351.610
2020,NON-ENERGY,FERTILIZERS,PSU,163.380
2006,NON-ENERGY,PETROCHEMICALS,PSU,1145.000
2007,NON-ENERGY,PETROCHEMICALS,PSU,1197.000
2008,NON-ENERGY,PETROCHEMICALS,PSU,6048.000
2010,NON-ENERGY,PETROCHEMICALS,PSU,6967.600
2012,NON-ENERGY,PETROCHEMICALS,PSU,8140.800
2016,NON-ENERGY,PETROCHEMICALS,PSU,10350.200
2009,NON-ENERGY,PETROCHEMICALS,PSU,5889.000
2011,NON-ENERGY,PETROCHEMICALS,PSU,7500.000
2013,NON-ENERGY,PETROCHEMICALS,PSU,9412.200
2014,NON-ENERGY,PETROCHEMICALS,PSU,9463.900
2015,NON-ENERGY,PETROCHEMICALS,PSU,9530.100
2017,NON-ENERGY,PETROCHEMICALS,PSU,10350.890
2018,NON-ENERGY,PETROCHEMICALS,PSU,10010.950
2019,NON-ENERGY,PETROCHEMICALS,PSU,10601.630
2020,NON-ENERGY,PETROCHEMICALS,PSU,10816.830
2010,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,941.400
2012,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1129.500
2016,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1528.300
2011,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1051.900
2013,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1204.800
2014,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1122.600
2015,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1111.100
2017,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,1853.020
2018,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,2182.810
2019,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,2461.690
2020,COMMERCIAL/INDUSTRY,COMMERCIAL/INDUSTRY,PSU,2700.940
2006,NON-ENERGY,NON-ENERGY,N/A,5836.000
2007,NON-ENERGY,NON-ENERGY,N/A,6100.000
2008,NON-ENERGY,NON-ENERGY,N/A,7102.000
