ApplNo	ProductNo	Form	Strength	ReferenceDrug	DrugName	ActiveIngredient	ReferenceStandard
000004	004	SOLUTION/DROPS;OPHTHALMIC	1%	0	PAREDRINE	HYDROXYAMPHETAMINE HYDROBROMIDE	0
000159	001	TABLET;ORAL	500MG	0	SULFAPYRIDINE	SULFAPYRIDINE	0
000552	001	INJECTABLE;INJECTION	20,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	002	INJECTABLE;INJECTION	40,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	003	INJECTABLE;INJECTION	5,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	004	INJECTABLE;INJECTION	1,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	005	INJECTABLE;INJECTION	10,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	007	INJECTABLE;INJECTION	100 UNITS/ML	0	LIQUAEMIN LOCK FLUSH	HEPARIN SODIUM	0
000552	008	INJECTABLE;INJECTION	1,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
000552	009	INJECTABLE;INJECTION	5,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
000552	010	INJECTABLE;INJECTION	10,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
000552	011	INJECTABLE;INJECTION	1,000 UNITS/ML	0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
000552	012	INJECTABLE;INJECTION	5,000 UNITS/ML	0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
000552	013	INJECTABLE;INJECTION	10,000 UNITS/ML	0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
000734	001	INJECTABLE;INJECTION	EQ 1MG BASE/ML	0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	0
000734	002	INJECTABLE;INJECTION	EQ 0.2MG BASE/ML	0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	0
000734	003	INJECTABLE;INJECTION	EQ 0.1MG BASE/ML	0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	0
000793	002	TABLET;ORAL	15MG	0	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
000793	003	TABLET;ORAL	50MG	0	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
000793	004	TABLET;ORAL	30MG	1	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
000793	005	TABLET;ORAL	100MG	0	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
001104	001	INJECTABLE;INJECTION	5MG/ML	0	DOCA	DESOXYCORTICOSTERONE ACETATE	0
001504	001	UNKNOWN	UNKNOWN	0	VERARD	VERARD	0
001546	001	TABLET;ORAL	125MG	0	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	0
