observationAbout,observationDate,variableMeasured,value,unit,observationPeriod
dcid:wikidataId/Q1159,2018-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,202.9,INR,P1Y
dcid:wikidataId/Q1159,2019-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,214.7,INR,P1Y
dcid:wikidataId/Q1159,2020-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,234.2,INR,P1Y
dcid:wikidataId/Q1159,2021-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,280,INR,P1Y
dcid:wikidataId/Q1159,2022-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,315,INR,P1Y
dcid:wikidataId/Q1159,2023-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,376.9,INR,P1Y
dcid:wikidataId/Q1159,2024-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,384.5,INR,P1Y
dcid:wikidataId/Q1165,2015-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,165.2,INR,P1Y
dcid:wikidataId/Q1165,2016-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,166.6,INR,P1Y
dcid:wikidataId/Q1165,2017-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,182.5,INR,P1Y
dcid:wikidataId/Q1165,2018-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,193.7,INR,P1Y
dcid:wikidataId/Q1165,2019-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,221.3,INR,P1Y
dcid:wikidataId/Q1165,2020-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,235.5,INR,P1Y
dcid:wikidataId/Q1165,2021-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,252.6,INR,P1Y
dcid:wikidataId/Q1165,2022-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,254.6,INR,P1Y
dcid:wikidataId/Q1165,2023-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,271.6,INR,P1Y
dcid:wikidataId/Q1165,2024-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,285.1,INR,P1Y
dcid:wikidataId/Q1165,2025-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,296.7,INR,P1Y
dcid:wikidataId/Q1061,2015-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,185.6,INR,P1Y
dcid:wikidataId/Q1061,2016-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,191.6,INR,P1Y
dcid:wikidataId/Q1061,2017-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,192.1,INR,P1Y
dcid:wikidataId/Q1061,2018-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,203.1,INR,P1Y
dcid:wikidataId/Q1061,2019-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,206.3,INR,P1Y
dcid:wikidataId/Q1061,2020-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,210.7,INR,P1Y
dcid:wikidataId/Q1061,2021-03,dcid:Mean_WagesDaily_Amount_Male_Rural_HorticultureWorkers,215.6,INR,P1Y
