observationDate,observationAbout,observationPeriod,variableMeasured,value,measurementMethod,column_name
2016,country/USA,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,247.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,usc/NewEnglandDivision,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,12.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/09,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,2.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/25,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,6.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/33,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,1.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/44,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,3.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,usc/MiddleAtlanticDivision,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,53.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/34,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,11.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/42,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,5.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,usc/EastNorthCentralDivision,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,25.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/17,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,13.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/18,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,2.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/26,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,4.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/39,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,4.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/55,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,2.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,usc/WestNorthCentralDivision,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,22.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/19,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,2.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/20,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,1.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/27,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,16.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/29,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,1.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/31,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,1.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/38,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,1.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,usc/SouthAtlanticDivision,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,27.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
2016,geoId/10,P1Y,Count_MedicalConditionIncident_ConditionChikungunya,1.0,dcs:CDC_NNDSS_Diseases_AnnualTables,Chikungunya virus disease
