key,Prop,value,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Year,{Data},observationDate,{Year}-{Month}-{Day},observationDate,{Year},observationDate,{Year}-{Month},,,,,,,,,,,,,,,,,,,,,
DAY,#Format,Day={Data:0>2},,,,,,,,,,,,,,,,,,,,,,,,
DAY:99,#ignore,skip,,,,,,,,,,,,,,,,,,,,,,,,
MONTH,#Format,Month={Data:0>2},,,,,,,,,,,,,,,,,,,,,,,,
MONTH:99,#ignore,skip,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,observationDate,{Year},observationPeriod,,observationAbout,geoId/{State},observationDate,{Year}-{Month},,,,,,,,,,,,,,,,,,
MINUTE,observationAbout,geoId/{State}{County},observationDate,{Year}-{Month}-{Day},measurementMethod,DataCommonsAggregate,observationAbout,country/USA,,,,,,,,,,,,,,,,,,
STATE,#Format,State={Data:0>2},,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,#Format,County={Data:0>3},,,,,,,,,,,,,,,,,,,,,,,,
FATALS,measuredProperty,count,populationType,MortalityEvent,causeOfDeath,VehicleCrashIncident,name,Count of mortality event in vehicle crash incident,#Aggregate,sum,value,{Number},description,Count of the number of fatally injured people in the crash and is derived by counting all people with “Injury Severity” of 4 in the crash,descriptionUrl,https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/813417#page=86,,,,,,,,,,
CITY,measuredProperty,count,populationType,VehicleCrashIncident,name,Count of vehicle crash incident,#Aggregate,sum,value,1,,,,,,,,,,,,,,,,
PEDS,measuredProperty,count,populationType,Person,vehicleOccupantType,NotMotorVehicleOccupant,crashInvolvement,InvolvedInCrash,vehicleStatus,"""""",name,"""Count of number of person not a motor vehicle occupant involved in crash""",#Aggregate,sum,value,{Number},,,,,,,,,,
PERNOTMVIT,measuredProperty,count,populationType,Person,vehicleOccupantType,NonMotorists,crashInvolvement,InvolvedInCrash,vehicleStatus,"""""",name,"""Count of the number of non-motorists in the crash""",#Aggregate,sum,value,{Number},description,"""The number of non-motorists in the crash. A non-motorist is defined as a pedestrian, a cyclist, an occupant of a motor vehicle not in-transport, a person riding a horse, an occupant of an animal drawn conveyance, person associated with non-motorist conveyance (e.g., baby carriage, skateboard, wheelchair), or an other non-motorist(e.g., person outside a trafficway, person in a house)""",descriptionUrl,"""https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/813417#page=39""",,,,,,
VE_FORMS,measuredProperty,count,populationType,Vehicle,crashInvolvement,InvolvedInCrash,vehicleStatus,InTransport,,,name,"""Count of the number of vehicles in-transport involved in crash""",vehicleOccupantType,"""""",#Aggregate,sum,value,{Number},description,"""Count of the number of motor vehicles in-transport involved in the crash. Legally parked vehicles are not included""",descriptionUrl,"""https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/813417#page=41""",,,,
PVH_INVL,measuredProperty,count,populationType,Vehicle,crashInvolvement,InvolvedInCrash,vehicleStatus,Parked,,,name,"""Count of number of parked vehicle involved in crash""",vehicleOccupantType,"""""",#Aggregate,sum,value,{Number},,,,,,,,
PERSONS,measuredProperty,count,populationType,Person,vehicleOccupantType,MotorVehicleOccupant,crashInvolvement,InvolvedInCrash,vehicleStatus,"""""",name,"""Count of number of person motor vehicle occupant involved in crash""",#Aggregate,sum,value,{Number},,,,,,,,,,
PERMVIT,measuredProperty,count,populationType,Person,vehicleOccupantType,Motorists,crashInvolvement,InvolvedInCrash,vehicleStatus,"""""",name,"""Count of the number of motorists in the crash""",#Aggregate,sum,value,{Number},description,"""Count of the number of motorists in the crash. A motorist is a driver, passenger, or unknown occupant type of a motor vehicle in-transport""",descriptionUrl,"""https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/813417#page=44""",,,,,,
CL_TWAY:1,locationType,InterstateRoad,CLTWAY,interstate road,measuredProperty,count,populationType,VehicleCrashIncident,#Aggregate,sum,value,1,crashInvolvement,"""""",vehicleOccupantType,"""""",vehicleStatus,"""""",name,"""Count of crash incident on {CLTWAY}""",description,"""Count of crash incident where the route signing of the trafficway on which the crash occurred is {CLTWAY}""",descriptionUrl,"""https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/813417#page=51""",,
