key,prop,value,p1,v1,,,,,,,,,,
Nombre de formations sanitaires/établissements de santé par type/taille de capacité,measuredProperty,count,populationType,HealthEstablishment,,,,,,,,,,
Nombre de Centres Hospitaliers Universitaires,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,UniversityHospital,,,,,,,,
Nombre de Centres Hospitaliers Régionaux,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,RegionalHospital,,,,,,,,
Nombre d'Institut Nationaux d'Hygienne Publique,#ignore,skip,,,,,,,,,,,,
Nombre d'Hopitaux Généraux,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,Hospital,,,,,,,,
Nombre de Centre de Santé Urbains Communautaires,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,UrbanCommunityHealthCenter,,,,,,,,
Nombre de Pharmacie Publique,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,Pharmacy,establishmentOwnership,PubliclyOwned,,,,,,
Nombre d'officine de Pharmacies privées,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,Pharmacy,establishmentOwnership,PrivatelyOwned,,,,,,
Nombre de Service de Maternité,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,MaternityServiceCenter,,,,,,,,
Nombre de Centres Médicaux d'Entreprises,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,CorporateMedicalCenter,,,,,,,,
Nombre de Polycliniques,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,Polyclinic,,,,,,,,
Nombre de Cliniques,measuredProperty,count,populationType,HealthEstablishment,healthEstablishmentType,Clinic,,,,,,,,
Nombre de lits,measuredProperty,count,populationType,HospitalBed,,,,,,,,,,
Nombre de medecins,measuredProperty,count,populationType,HealthcareWorker,healthcareWorkerType,Doctor,,,,,,,,
Nombre d'infirmiers,measuredProperty,count,populationType,HealthcareWorker,healthcareWorkerType,Nurse,,,,,,,,
Nombre de sages femmes,measuredProperty,count,populationType,HealthcareWorker,healthcareWorkerType,Midwife,,,,,,,,
Nombre de techniciens de laboratoires,measuredProperty,count,populationType,HealthcareWorker,healthcareWorkerType,LaboratoryTechnician,,,,,,,,
Nombre de pharmaciens,measuredProperty,count,populationType,HealthcareWorker,healthcareWorkerType,Pharmacist,,,,,,,,
Dépenses publiques de santé,#ignore,skip,,,,,,,,,,,,
Taux de vaccination (BCG),measuredProperty,count,populationType,Person,vaccineStatus,VaccineAdministered,vaccineType,BCG,measurementDenominator,Count_Person,unit,Percent,scalingFactor,100
Incidence des maladies (Paludisme),measuredProperty,count,populationType,MedicalConditionIncident,medicalCondition,Malaria,#Multiply,0.1,measurementDenominator,Count_Person,unit,Percent,scalingFactor,100
Nombre de mères ayant fourni au mois un soin prénatal (%),#ignore,skip,,,,,,,,,,,,
Pourcentage d'accouchemnts assistés par du personnel de santé,measuredProperty,count,populationType,BirthEvent,birthConductedBy,HealthPersonnel,measurementDenominator,Count_BirthEvent,unit,Percent,scalingFactor,100,,
TIME_PERIOD,observationDate,{Number},,,,,,,,,,,,
OBS_VALUE,value,{Number},,,,,,,,,,,,
ID_INDICATOR,observationAbout,country/CIV,,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,
