key,p1,v1,p2,v2,p3,v3,p4,v4,p5,p6
ID_INDICATOR,observationAbout, country/CIV,populationType,EconomicActivity,measurementMethod,BaseYear2015,measuredProperty,industrialProductionIndex,,
EXTRACTION D'HYDROCARBURES,industrialProductionType,HydrocarbonExtraction,name,"""Hydrocarbon extraction""",,,,,,
EXTRACTION DE MINERAIS MÉTALLIQUES,industrialProductionType,MetalOreExtraction,name,"""Extraction of metal ores""",,,,,,
AUTRES ACTIVITÉS EXTRACTIVES,industrialProductionType,OtherExtractionActivities,name,"""Other extractive activities""",,,,,,
ACTIVITÉS DE SOUTIEN AUX INDUSTRIES EXTRACTIVES,industrialProductionType,ExtractionIndustrySupportActivity,name,"""Support activities for extractive industries""",,,,,,
FABRICATION DE PRODUITS ALIMENTAIRES,industrialProductionType,FoodProduction,name,"""Manufacturing of food products""",,,,,,
FABRICATION DE BOISSONS,industrialProductionType,DrinkProduction,name,"""Drink production""",,,,,,
FABRICATION DE PRODUITS A BASE DE TABAC,industrialProductionType,TobaccoProduction,name,"""Manufacture of tobacco products""",,,,,,
ACTIVITES DE FABRICATION DE TEXTILES,industrialProductionType,TextileProduction,name,"""Textile manufacturing activities""",,,,,,
FABRICATION D'ARTICLES D'HABILLEMENT,industrialProductionType,ClothingArticlesProduction,name,"""Manufacture of clothing articles""",,,,,,
TRAVAIL DU CUIR ; FABRICATION D'ARTICLES DE VOYAGE ET DE CHAUSSURES,industrialProductionType,LeatherProduction,name,"""Leather work manufacturing items of travel and shoes""",,,,,,
TRAVAIL DU BOIS ET FABRICATION D'ARTICLES EN BOIS HORS MEUBLES,industrialProductionType,WoodProduction,name,"""Wood working and manufacturing of wooden articles excluding furniture""",,,,,,
FABRICATION DU PAPIER ET DU CARTON,industrialProductionType,PaperAndCardBoardProduction,name,"""Paper and cardboard manufacturing""",,,,,,
IMPRIMERIE ET REPRODUCTION D'ENREGISTREMENTS,industrialProductionType,PrintAndReproductionRecordings,name,"""Printing and reproduction recordings""",,,,,,
"RAFFINAGE PÉTROLIER, COKEFACTION",industrialProductionType,OilRefiningAndCoking,name,"""Oil refining, coking""",,,,,,
FABRICATION DE PRODUITS CHIMIQUES,industrialProductionType,ChemicalProduction,name,"""Manufacturing chemical products""",,,,,,
FABRICATION DE PRODUITS PHARMACEUTIQUES,industrialProductionType,PharmaceuticalProduction,name,"""Manufacturing pharmaceutical products""",,,,,,
TRAVAIL DU CAOUTCHOUC ET DU PLASTIQUE,industrialProductionType,RubberAndPlasticProduction,name,"""Rubber and plastic working""",,,,,,
FABRICATION DE MATERIAUX MINERAUX,industrialProductionType,MineralProduction,name,"""Manufacturing mineral materials""",,,,,,
MÉTALLURGIE,industrialProductionType,Metallurgy,name,"""Metallurgy""",,,,,,
FABRICATION D'OUVRAGES EN MÉTAUX,industrialProductionType,MetalWorkProduction,name,"""Manufacture of metal works""",,,,,,
FABRICATION D'EQUIPEMENTS ELECTRIQUES,industrialProductionType,ElectricalEquipmentProduction,name,"""Manufacturing electrical equipment""",,,,,,
CONSTRUCTION DE VÉHICULES AUTOMOBILES,industrialProductionType,AutomotiveVehicleProduction,name,"""Manufacturing of automotive vehicles""",,,,,,
FABRICATION D'AUTRES MATÉRIELS DE TRANSPORT,industrialProductionType,OtherEquipmentTransportation,name,"""Manufacturing other equipment transportation""",,,,,,
FABRICATION DE MEUBLES ET MATELAS,industrialProductionType,FurnitureProduction,name,"""Manufacturing furniture and mattresses""",,,,,,
AUTRES INDUSTRIES MANUFACTURIERES,industrialProductionType,OtherProduction,name,"""Other manufacturing industries""",,,,,,
REPARATION ET INSTALLATION DE MACHINES ET D'EQUIPEMENTS PROFESSIONNELS,industrialProductionType,MachineryAndEquipmentRepairAndInstallation,name,"""Repair and installation of professional machinery and equipment""",,,,,,
"PRODUCTION ET DISTRIBUTION D'ÉLECTRICITÉ ET DE GAZ,",industrialProductionType,EnergyProduction,name,"""Production and distribution of electricity and gas,""",,,,,,
"CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU",industrialProductionType,WaterDistribution,name,"""Water catchment, treatment and distribution""",,,,,,
COLLECTE ET TRAITEMENT DES EAUX USEES,industrialProductionType,WastewaterTreatment,name,"""Collection and treatment of wastewater""",,,,,,
"COLLECTE, TRAITEMENT ET ELIMINATION DES DECHETS; RECUPERATION",industrialProductionType,WasteManagement,name,"""Collection, treatment and disposal of waste recovery""",,,,,,
