key,prop,value,p1,v1,,,,,,
TIME_PERIOD,observationDate,{Number},,,,,,,,
OBS_VALUE,value,{Number},,,,,,,,
ID_REGION:KN.A10,#ignore,skip,,,,,,,,
ID_REGION:KN.A12,#ignore,skip,,,,,,,,
ID_REGION:KN.A42,#ignore,skip,,,,,,,,
ID_REGION:KN.A63,#ignore,skip,,,,,,,,
ID_REGION:KN.A80,#ignore,skip,,,,,,,,
ID_REGION:KN.MRA,#ignore,skip,,,,,,,,
ID_REGION:KN.A91,#ignore,skip,,,,,,,,
ID_REGION:KN.A92,#ignore,skip,,,,,,,,
ID_REGION:KN.A93,#ignore,skip,,,,,,,,
ID_REGION:KN.A94,#ignore,skip,,,,,,,,
ID_REGION:KN.A95,#ignore,skip,,,,,,,,
ID_REGION:KN.A96,#ignore,skip,,,,,,,,
ID_REGION:KN.A97,#ignore,skip,,,,,,,,
ID_REGION:KN.A98,#ignore,skip,,,,,,,,
ID_INDICATOR:KN.A1,populationType,Person,measuredProperty,count,placeOfResidenceClassification,Urban,,,,
ID_INDICATOR:KN.A2,#ignore,skip,,,,,,,,
ID_INDICATOR:KN.A3,placeOfResidenceClassification,SlumArea,populationType,Person,measuredProperty,count,,,,
ID_INDICATOR:KN.A4,populationType,Person,measuredProperty,count,placeOfResidenceClassification,Urban,measurementDenominator,Count_Person,unit,Percent
REGION,observationAbout,{Data},,,,,,,,
