key,prop,val,p1,v1,p2,v2,p3,v3,,,,,,
OBS_VALUE,value,{Number},populationType,Person,observationAbout,country/NGA,Name2,"""""",ETHNICITY,"""""",Name2,"""""",name,"""{Name1}"""
TIME_PERIOD,observationDate,{Number},,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,
6898919,gender,Male,Name2,Male,,,,,,,,,,
6899019,gender,Female,Name2,Female,,,,,,,,,,
6899819,occupation,VeterinaryCouncil,ethnicity,Nigerian,,,,,,,,,,
6899919,occupation,VeterinaryCouncil,ethnicity,NonNigerian,,,,,,,,,,
6900919,occupation,MedicalPractitioner,ethnicity,Nigerian,,,,,,,,,,
6901019,occupation,Dentist,ethnicity,Nigerian,,,,,,,,,,
6901119,occupation,MedicalPractitioner,ethnicity,NonNigerian,,,,,,,,,,
6901219,occupation,Dentist,ethnicity,NonNigerian,,,,,,,,,,
6901419,occupation,NursingAndMidWifery,medicalSpecialization,GeneralNurse,,,,,,,,,,
6901519,#ignore,ignore as of now,,,,,,,,,,,,
6901619,occupation,NursingAndMidWifery,medicalSpecialization,Perioperative,,,,,,,,,,
6901719,occupation,NursingAndMidWifery,medicalSpecialization,CardioThoracic,,,,,,,,,,
6901819,occupation,NursingAndMidWifery,medicalSpecialization,IntensiveCare,,,,,,,,,,
6901919,occupation,NursingAndMidWifery,medicalSpecialization,EarNoseAndThroat,,,,,,,,,,
6902019,occupation,NursingAndMidWifery,medicalSpecialization,PublicHealth,,,,,,,,,,
6902119,occupation,NursingAndMidWifery,medicalSpecialization,BurnsAndPlastic,,,,,,,,,,
6902219,occupation,NursingAndMidWifery,medicalSpecialization,Orthopedic,,,,,,,,,,
6902419,occupation,NursingAndMidWifery,medicalSpecialization,Anasthetic,,,,,,,,,,
6902519,occupation,NursingAndMidWifery,medicalSpecialization,Administrator,,,,,,,,,,
6902719,occupation,NursingAndMidWifery,medicalSpecialization,Pediatrics,,,,,,,,,,
6902819,occupation,NursingAndMidWifery,medicalSpecialization,NurseEducator,,,,,,,,,,
6902919,occupation,NursingAndMidWifery,medicalSpecialization,PublicHealthNurseEducator,,,,,,,,,,
6903019,occupation,NursingAndMidWifery,medicalSpecialization,Psychatric,,,,,,,,,,
6903119,occupation,NursingAndMidWifery,medicalSpecialization,Ophthalmic,,,,,,,,,,
6903219,occupation,NursingAndMidWifery,medicalSpecialization,AccidentAndEmergency,,,,,,,,,,
6903319,occupation,NursingAndMidWifery,medicalSpecialization,OccupationalHealth,,,,,,,,,,
6902619,occupation,NursingAndMidWifery,medicalSpecialization,MidwifeEducators,,,,,,,,,,
