key,prop,va,p1,v1,p2,v2,,
Units,unit,Percent,scalingFactor,100,observationAbout,country/NGA,populationType,Person
2022 Q4,value,{Number},observationDate,2022-12,,,,
2023 Q1,value,{Number},observationDate,2023-03,,,,
2023 Q2,value,{Number},observationDate,2023-06,,,,
2023 Q3,value,{Number},observationDate,2023-09,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,
No Education,educationalAttainment,NoEducation,,,,,,
Primary,educationalAttainment,PrimaryEducation,,,,,,
Lower Secondary,educationalAttainment,LowerSecondaryEducation,,,,,,
Upper Secondary,educationalAttainment,UpperSecondary,,,,,,
Post Secondary,educationalAttainment,UpperSecondaryEducation,,,,,,
Age15+,age,[15 - Years],,,,,,
15-24,age,[15 24 Years],,,,,,
25-34,age,[25 34 Years],,,,,,
35-44,age,[35 44 Years],,,,,,
45-55,age,[45 55 Years],,,,,,
55-64,age,[55 64 Years],,,,,,
65+,age,[65 - Years],,,,,,
Labour force population,employmentStatus,BLS_InLaborForce,measurementDenominator,-employmentStatus,,,,
Employed population,employmentStatus,Employed,measurementDenominator,-employmentStatus,,,,
Unemployed population,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,,,
Employed population in agriculture,employmentStatus,Employed,measurementDenominator,-employmentStatus,workCategory,AgriculturalLabourers,,
Young labour force (aged 15-24),age,[15 24 Years],employmentStatus,BLS_InLaborForce,measurementDenominator,-employmentStatus,,
Young employed (aged 15-24),age,[15 24 Years],employmentStatus,Employed,measurementDenominator,-employmentStatus,,
Young unemployed (aged 15-24),age,[15 24 Years],employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
