place_name,dcid
00000,country/USA
01000,geoId/01
01001,geoId/01001
01003,geoId/01003
01005,geoId/01005
01007,geoId/01007
01009,geoId/01009
01011,geoId/01011
01013,geoId/01013
01015,geoId/01015
01017,geoId/01017
01019,geoId/01019
01021,geoId/01021
01023,geoId/01023
01025,geoId/01025
01027,geoId/01027
01029,geoId/01029
01031,geoId/01031
01033,geoId/01033
01035,geoId/01035
01037,geoId/01037
01039,geoId/01039
01041,geoId/01041
01043,geoId/01043
01045,geoId/01045
01047,geoId/01047
01049,geoId/01049
01051,geoId/01051
01053,geoId/01053
01055,geoId/01055
01057,geoId/01057
01059,geoId/01059
01061,geoId/01061
01063,geoId/01063
01065,geoId/01065
01067,geoId/01067
01069,geoId/01069
01071,geoId/01071
01073,geoId/01073
01075,geoId/01075
01077,geoId/01077
01079,geoId/01079
01081,geoId/01081
01083,geoId/01083
01085,geoId/01085
01087,geoId/01087
01089,geoId/01089
01091,geoId/01091
01093,geoId/01093
01095,geoId/01095
01097,geoId/01097
01099,geoId/01099
01101,geoId/01101
01103,geoId/01103
01105,geoId/01105
01107,geoId/01107
01109,geoId/01109
01111,geoId/01111
01113,geoId/01113
01115,geoId/01115
01117,geoId/01117
01119,geoId/01119
01121,geoId/01121
01123,geoId/01123
01125,geoId/01125
01127,geoId/01127
01129,geoId/01129
01131,geoId/01131
01133,geoId/01133
02000,geoId/02
02013,geoId/02013
02016,geoId/02016
02020,geoId/02020
02050,geoId/02050
02060,geoId/02060
02063,geoId/02063
02066,geoId/02066
02068,geoId/02068
02070,geoId/02070
02090,geoId/02090
02100,geoId/02100
02105,geoId/02105
02110,geoId/02110
02122,geoId/02122
02130,geoId/02130
02150,geoId/02150
02158,geoId/02158
02164,geoId/02164
02170,geoId/02170
02180,geoId/02180
02185,geoId/02185
02188,geoId/02188
02195,geoId/02195
02198,geoId/02198
02201,geoId/02201
02220,geoId/02220
02230,geoId/02230
02232,geoId/02232
02240,geoId/02240
02261,geoId/02261
02275,geoId/02275
02280,geoId/02280
02282,geoId/02282
02290,geoId/02290
04000,geoId/04
04001,geoId/04001
04003,geoId/04003
04005,geoId/04005
04007,geoId/04007
04009,geoId/04009
04011,geoId/04011
04012,geoId/04012
04013,geoId/04013
04015,geoId/04015
04017,geoId/04017
04019,geoId/04019
04021,geoId/04021
04023,geoId/04023
04025,geoId/04025
04027,geoId/04027
05000,geoId/05
05001,geoId/05001
05003,geoId/05003
05005,geoId/05005
05007,geoId/05007
05009,geoId/05009
05011,geoId/05011
05013,geoId/05013
05015,geoId/05015
05017,geoId/05017
05019,geoId/05019
05021,geoId/05021
05023,geoId/05023
05025,geoId/05025
05027,geoId/05027
05029,geoId/05029
05031,geoId/05031
05033,geoId/05033
05035,geoId/05035
05037,geoId/05037
05039,geoId/05039
05041,geoId/05041
05043,geoId/05043
05045,geoId/05045
05047,geoId/05047
05049,geoId/05049
05051,geoId/05051
05053,geoId/05053
05055,geoId/05055
05057,geoId/05057
05059,geoId/05059
05061,geoId/05061
05063,geoId/05063
05065,geoId/05065
05067,geoId/05067
05069,geoId/05069
05071,geoId/05071
05073,geoId/05073
05075,geoId/05075
05077,geoId/05077
05079,geoId/05079
05081,geoId/05081
05083,geoId/05083
05085,geoId/05085
05087,geoId/05087
05089,geoId/05089
05091,geoId/05091
05093,geoId/05093
05095,geoId/05095
05097,geoId/05097
05099,geoId/05099
05101,geoId/05101
05103,geoId/05103
05105,geoId/05105
05107,geoId/05107
05109,geoId/05109
05111,geoId/05111
05113,geoId/05113
05115,geoId/05115
05117,geoId/05117
05119,geoId/05119
05121,geoId/05121
05123,geoId/05123
05125,geoId/05125
05127,geoId/05127
05129,geoId/05129
05131,geoId/05131
05133,geoId/05133
05135,geoId/05135
05137,geoId/05137
05139,geoId/05139
05141,geoId/05141
05143,geoId/05143
05145,geoId/05145
05147,geoId/05147
05149,geoId/05149
06000,geoId/06
06001,geoId/06001
06003,geoId/06003
06005,geoId/06005
06007,geoId/06007
06009,geoId/06009
06011,geoId/06011
06013,geoId/06013
06015,geoId/06015
06017,geoId/06017
06019,geoId/06019
06021,geoId/06021
06023,geoId/06023
06025,geoId/06025
06027,geoId/06027
06029,geoId/06029
06031,geoId/06031
06033,geoId/06033
06035,geoId/06035
06037,geoId/06037
06039,geoId/06039
06041,geoId/06041
06043,geoId/06043
06045,geoId/06045
06047,geoId/06047
06049,geoId/06049
06051,geoId/06051
06053,geoId/06053
06055,geoId/06055
06057,geoId/06057
06059,geoId/06059
06061,geoId/06061
06063,geoId/06063
06065,geoId/06065
06067,geoId/06067
06069,geoId/06069
06071,geoId/06071
06073,geoId/06073
06075,geoId/06075
06077,geoId/06077
06079,geoId/06079
06081,geoId/06081
06083,geoId/06083
06085,geoId/06085
06087,geoId/06087
06089,geoId/06089
06091,geoId/06091
06093,geoId/06093
06095,geoId/06095
06097,geoId/06097
06099,geoId/06099
06101,geoId/06101
06103,geoId/06103
06105,geoId/06105
06107,geoId/06107
06109,geoId/06109
06111,geoId/06111
06113,geoId/06113
06115,geoId/06115
08000,geoId/08
08001,geoId/08001
08003,geoId/08003
08005,geoId/08005
08007,geoId/08007
08009,geoId/08009
08011,geoId/08011
08013,geoId/08013
08014,geoId/08014
08015,geoId/08015
08017,geoId/08017
08019,geoId/08019
08021,geoId/08021
08023,geoId/08023
08025,geoId/08025
08027,geoId/08027
08029,geoId/08029
08031,geoId/08031
08033,geoId/08033
08035,geoId/08035
08037,geoId/08037
08039,geoId/08039
08041,geoId/08041
08043,geoId/08043
08045,geoId/08045
08047,geoId/08047
08049,geoId/08049
08051,geoId/08051
08053,geoId/08053
08055,geoId/08055
08057,geoId/08057
08059,geoId/08059
08061,geoId/08061
08063,geoId/08063
08065,geoId/08065
08067,geoId/08067
08069,geoId/08069
08071,geoId/08071
08073,geoId/08073
08075,geoId/08075
08077,geoId/08077
08079,geoId/08079
08081,geoId/08081
08083,geoId/08083
08085,geoId/08085
08087,geoId/08087
08089,geoId/08089
08091,geoId/08091
08093,geoId/08093
08095,geoId/08095
08097,geoId/08097
08099,geoId/08099
08101,geoId/08101
08103,geoId/08103
08105,geoId/08105
08107,geoId/08107
08109,geoId/08109
08111,geoId/08111
08113,geoId/08113
08115,geoId/08115
08117,geoId/08117
08119,geoId/08119
08121,geoId/08121
08123,geoId/08123
08125,geoId/08125
09000,geoId/09
09001,geoId/09001
09003,geoId/09003
09005,geoId/09005
09007,geoId/09007
09009,geoId/09009
09011,geoId/09011
09013,geoId/09013
09015,geoId/09015
10000,geoId/10
10001,geoId/10001
10003,geoId/10003
10005,geoId/10005
11000,geoId/11
11001,geoId/11001
12000,geoId/12
12001,geoId/12001
12003,geoId/12003
12005,geoId/12005
12007,geoId/12007
12009,geoId/12009
12011,geoId/12011
12013,geoId/12013
12015,geoId/12015
12017,geoId/12017
12019,geoId/12019
12021,geoId/12021
12023,geoId/12023
12027,geoId/12027
12029,geoId/12029
12031,geoId/12031
12033,geoId/12033
12035,geoId/12035
12037,geoId/12037
12039,geoId/12039
12041,geoId/12041
12043,geoId/12043
12045,geoId/12045
12047,geoId/12047
12049,geoId/12049
12051,geoId/12051
12053,geoId/12053
12055,geoId/12055
12057,geoId/12057
12059,geoId/12059
12061,geoId/12061
12063,geoId/12063
12065,geoId/12065
12067,geoId/12067
12069,geoId/12069
12071,geoId/12071
12073,geoId/12073
12075,geoId/12075
12077,geoId/12077
12079,geoId/12079
12081,geoId/12081
12083,geoId/12083
12085,geoId/12085
12086,geoId/12086
12087,geoId/12087
12089,geoId/12089
12091,geoId/12091
12093,geoId/12093
12095,geoId/12095
12097,geoId/12097
12099,geoId/12099
12101,geoId/12101
12103,geoId/12103
12105,geoId/12105
12107,geoId/12107
12109,geoId/12109
12111,geoId/12111
12113,geoId/12113
12115,geoId/12115
12117,geoId/12117
12119,geoId/12119
12121,geoId/12121
12123,geoId/12123
12125,geoId/12125
12127,geoId/12127
12129,geoId/12129
12131,geoId/12131
12133,geoId/12133
13000,geoId/13
13001,geoId/13001
13003,geoId/13003
13005,geoId/13005
13007,geoId/13007
13009,geoId/13009
13011,geoId/13011
13013,geoId/13013
13015,geoId/13015
13017,geoId/13017
13019,geoId/13019
13021,geoId/13021
13023,geoId/13023
13025,geoId/13025
13027,geoId/13027
13029,geoId/13029
13031,geoId/13031
13033,geoId/13033
13035,geoId/13035
13037,geoId/13037
13039,geoId/13039
13043,geoId/13043
13045,geoId/13045
13047,geoId/13047
13049,geoId/13049
13051,geoId/13051
13053,geoId/13053
13055,geoId/13055
13057,geoId/13057
13059,geoId/13059
13061,geoId/13061
13063,geoId/13063
13065,geoId/13065
13067,geoId/13067
13069,geoId/13069
13071,geoId/13071
13073,geoId/13073
13075,geoId/13075
13077,geoId/13077
13079,geoId/13079
13081,geoId/13081
13083,geoId/13083
13085,geoId/13085
13087,geoId/13087
13089,geoId/13089
13091,geoId/13091
13093,geoId/13093
13095,geoId/13095
13097,geoId/13097
13099,geoId/13099
13101,geoId/13101
13103,geoId/13103
13105,geoId/13105
13107,geoId/13107
13109,geoId/13109
13111,geoId/13111
13113,geoId/13113
13115,geoId/13115
13117,geoId/13117
13119,geoId/13119
13121,geoId/13121
13123,geoId/13123
13125,geoId/13125
13127,geoId/13127
13129,geoId/13129
13131,geoId/13131
13133,geoId/13133
13135,geoId/13135
13137,geoId/13137
13139,geoId/13139
13141,geoId/13141
13143,geoId/13143
13145,geoId/13145
13147,geoId/13147
13149,geoId/13149
13151,geoId/13151
13153,geoId/13153
13155,geoId/13155
13157,geoId/13157
13159,geoId/13159
13161,geoId/13161
13163,geoId/13163
13165,geoId/13165
13167,geoId/13167
13169,geoId/13169
13171,geoId/13171
13173,geoId/13173
13175,geoId/13175
13177,geoId/13177
13179,geoId/13179
13181,geoId/13181
13183,geoId/13183
13185,geoId/13185
13187,geoId/13187
13189,geoId/13189
13191,geoId/13191
13193,geoId/13193
13195,geoId/13195
13197,geoId/13197
13199,geoId/13199
13201,geoId/13201
13205,geoId/13205
13207,geoId/13207
13209,geoId/13209
13211,geoId/13211
13213,geoId/13213
13215,geoId/13215
13217,geoId/13217
13219,geoId/13219
13221,geoId/13221
13223,geoId/13223
13225,geoId/13225
13227,geoId/13227
13229,geoId/13229
13231,geoId/13231
13233,geoId/13233
13235,geoId/13235
13237,geoId/13237
13239,geoId/13239
13241,geoId/13241
13243,geoId/13243
13245,geoId/13245
13247,geoId/13247
13249,geoId/13249
13251,geoId/13251
13253,geoId/13253
13255,geoId/13255
13257,geoId/13257
13259,geoId/13259
13261,geoId/13261
13263,geoId/13263
13265,geoId/13265
13267,geoId/13267
13269,geoId/13269
13271,geoId/13271
13273,geoId/13273
13275,geoId/13275
13277,geoId/13277
13279,geoId/13279
13281,geoId/13281
13283,geoId/13283
13285,geoId/13285
13287,geoId/13287
13289,geoId/13289
13291,geoId/13291
13293,geoId/13293
13295,geoId/13295
13297,geoId/13297
13299,geoId/13299
13301,geoId/13301
13303,geoId/13303
13305,geoId/13305
13307,geoId/13307
13309,geoId/13309
13311,geoId/13311
13313,geoId/13313
13315,geoId/13315
13317,geoId/13317
13319,geoId/13319
13321,geoId/13321
15000,geoId/15
15001,geoId/15001
15003,geoId/15003
15007,geoId/15007
15901,geoId/15901
16000,geoId/16
16001,geoId/16001
16003,geoId/16003
16005,geoId/16005
16007,geoId/16007
16009,geoId/16009
16011,geoId/16011
16013,geoId/16013
16015,geoId/16015
16017,geoId/16017
