Year,Place,StatVar,Quantity
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized,309082258
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized,9583
2014,country/USA,dcid:Count_Person_Upto18Years_Civilian_NonInstitutionalized,73636556
2014,country/USA,dcid:MarginOfError_Count_Person_18OrLessYears_Civilian_NonInstitutionalized,7355
2014,country/USA,dcid:Count_Person_18To64Years_Civilian_NonInstitutionalized,193574369
2014,country/USA,dcid:MarginOfError_Count_Person_18To64Years_Civilian_NonInstitutionalized,9411
2014,country/USA,dcid:Count_Person_65OrMoreYears_Civilian_NonInstitutionalized,41871333
2014,country/USA,dcid:MarginOfError_Count_Person_65OrMoreYears_Civilian_NonInstitutionalized,6252
2014,country/USA,dcid:Count_Person_19To25Years_Civilian_NonInstitutionalized,30304551
2014,country/USA,dcid:MarginOfError_Count_Person_19To25Years_Civilian_NonInstitutionalized,27579
2014,country/USA,dcid:Count_Person_Civilian_Male_NonInstitutionalized,150888088
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_Male_NonInstitutionalized,12276
2014,country/USA,dcid:Count_Person_Civilian_Female_NonInstitutionalized,158194170
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_Female_NonInstitutionalized,7699
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_OneRace,300108622
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized_OneRace,84154
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_WhiteAlone,228624830
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized_WhiteAlone,48617
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_BlackOrAfricanAmericanAlone,38271664
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized_BlackOrAfricanAmericanAlone,25470
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_AmericanIndianOrAlaskaNativeAlone,2502365
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized_AmericanIndianOrAlaskaNativeAlone,13627
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_AsianAlone,15629424
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized_AsianAlone,20120
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_NativeHawaiianOrOtherPacificIslanderAlone,522501
2014,country/USA,dcid:MarginOfError_Count_Person_Civilian_NonInstitutionalized_NativeHawaiianOrOtherPacificIslanderAlone,5373
2014,country/USA,dcid:Count_Person_Civilian_NonInstitutionalized_SomeOtherRaceAlone,14557838
