observationAbout,variableMeasured,value,observationDate
dcid:geoId/56,dcid:Count_Person,576851,2020
dcid:geoId/56,dcid:Count_Person_WhiteAlone,488374,2020
dcid:geoId/56,dcid:Count_Person_BlackOrAfricanAmericanAlone,5232,2020
dcid:geoId/56,dcid:Count_Person_AmericanIndianAndAlaskaNativeAlone,13898,2020
dcid:geoId/56,dcid:Count_Person_AsianAlone,5212,2020
dcid:geoId/56,dcid:Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,579,2020
dcid:geoId/56,dcid:Count_Person_SomeOtherRaceAlone,20083,2020
dcid:geoId/56,dcid:Count_Person_HispanicOrLatino,59046,2020
dcid:geoId/56001,dcid:Count_Person,37066,2020
dcid:geoId/56001,dcid:Count_Person_WhiteAlone,30918,2020
dcid:geoId/56001,dcid:Count_Person_BlackOrAfricanAmericanAlone,432,2020
dcid:geoId/56001,dcid:Count_Person_AmericanIndianAndAlaskaNativeAlone,397,2020
dcid:geoId/56001,dcid:Count_Person_AsianAlone,1041,2020
dcid:geoId/56001,dcid:Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,37,2020
dcid:geoId/56001,dcid:Count_Person_SomeOtherRaceAlone,1267,2020
dcid:geoId/56001,dcid:Count_Person_HispanicOrLatino,3910,2020
dcid:geoId/5600191100,dcid:Count_Person,214,2020
dcid:geoId/5600191100,dcid:Count_Person_WhiteAlone,184,2020
dcid:geoId/5600191100,dcid:Count_Person_BlackOrAfricanAmericanAlone,1,2020
dcid:geoId/5600191100,dcid:Count_Person_AmericanIndianAndAlaskaNativeAlone,2,2020
dcid:geoId/5600191100,dcid:Count_Person_AsianAlone,5,2020
dcid:geoId/5600191100,dcid:Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,0,2020
dcid:geoId/5600191100,dcid:Count_Person_SomeOtherRaceAlone,4,2020
dcid:geoId/5600191100,dcid:Count_Person_HispanicOrLatino,16,2020
dcid:geoId/56001962700,dcid:Count_Person,3371,2020
dcid:geoId/56001962700,dcid:Count_Person_WhiteAlone,2908,2020
dcid:geoId/56001962700,dcid:Count_Person_BlackOrAfricanAmericanAlone,12,2020
dcid:geoId/56001962700,dcid:Count_Person_AmericanIndianAndAlaskaNativeAlone,29,2020
dcid:geoId/56001962700,dcid:Count_Person_AsianAlone,14,2020
dcid:geoId/56001962700,dcid:Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,2,2020
dcid:geoId/56001962700,dcid:Count_Person_SomeOtherRaceAlone,112,2020
dcid:geoId/56001962700,dcid:Count_Person_HispanicOrLatino,363,2020
dcid:geoId/560019627001,dcid:Count_Person,987,2020
dcid:geoId/560019627001,dcid:Count_Person_WhiteAlone,825,2020
dcid:geoId/560019627001,dcid:Count_Person_BlackOrAfricanAmericanAlone,1,2020
dcid:geoId/560019627001,dcid:Count_Person_AmericanIndianAndAlaskaNativeAlone,10,2020
dcid:geoId/560019627001,dcid:Count_Person_AsianAlone,8,2020
dcid:geoId/560019627001,dcid:Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,1,2020
dcid:geoId/560019627001,dcid:Count_Person_SomeOtherRaceAlone,50,2020
dcid:geoId/560019627001,dcid:Count_Person_HispanicOrLatino,129,2020
dcid:geoId/5600245,dcid:Count_Person,2172,2020
dcid:geoId/5600245,dcid:Count_Person_WhiteAlone,1961,2020
dcid:geoId/5600245,dcid:Count_Person_BlackOrAfricanAmericanAlone,9,2020
dcid:geoId/5600245,dcid:Count_Person_AmericanIndianAndAlaskaNativeAlone,27,2020
dcid:geoId/5600245,dcid:Count_Person_AsianAlone,19,2020
dcid:geoId/5600245,dcid:Count_Person_NativeHawaiianAndOtherPacificIslanderAlone,1,2020
dcid:geoId/5600245,dcid:Count_Person_SomeOtherRaceAlone,54,2020
dcid:geoId/5600245,dcid:Count_Person_HispanicOrLatino,119,2020
