key,prop,val,p1,v1,p2,v2,Month,,#End,#value,,
Expenditure category,observationAbout,country/USA,measuredProperty,consumerPriceIndex,populationType,ConsumerGoodsAndServices,consumer,UrbanWageEarnerAndClericalWorker,measurementMethod,BLSUnchained,unit,IndexPointBasePeriod1982_1984Equals100
Unadjusted indexes,measurementQualifier,BLSSeasonallyUnadjusted,value,{Number},observationPeriod,P1M,,,,,,
Seasonally adjusted indexes,measurementQualifier,BLSSeasonallyAdjusted,value,{Number},observationPeriod,P1M,,,,,,
Unadjusted percent change,statType,growthRate,measurementQualifier,BLSSeasonallyUnadjusted,value,{Number},comparisonPeriod,MonthOnChange,observationPeriod,P1M,,
Seasonally adjusted percent change,statType,growthRate,measurementQualifier,BLSSeasonallyAdjusted,value,{Number},comparisonPeriod,MonthOnChange,observationPeriod,P1M,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Jan. 2024- Jan. 2025,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Apr. 2024- Apr. 2025,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
Jan. 2018- Jan. 2019,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2014- Jan. 2015,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2023- Jan. 2024,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2022- Jan. 2023,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2011- Jan. 2012,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2013- Jan. 2014,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2021- Jan. 2022,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2020- Jan. 2021,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2017- Jan. 2018,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2012- Jan. 2013,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2019- Jan. 2020,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2016- Jan. 2017,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Jan. 2015- Jan. 2016,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
May. 2024- May. 2025,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2024- Jun. 2025,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2024- Jul. 2025,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2024- Aug. 2025,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2024- Sep. 2025,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2024- Oct. 2025,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2024- Nov. 2025,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2024- Dec. 2025,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2025- Jan. 2026,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2025- Feb. 2026,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2025- Mar. 2026,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2025- Apr. 2026,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2025- May. 2026,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2025- Jun. 2026,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2025- Jul. 2026,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2025- Aug. 2026,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2025- Sep. 2026,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2025- Oct. 2026,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2025- Nov. 2026,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2025- Dec. 2026,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2026- Jan. 2027,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2026- Feb. 2027,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2026- Mar. 2027,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2026- Apr. 2027,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2026- May. 2027,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2026- Jun. 2027,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2026- Jul. 2027,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2026- Aug. 2027,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2026- Sep. 2027,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2026- Oct. 2027,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2026- Nov. 2027,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2026- Dec. 2027,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2027- Jan. 2028,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2027- Feb. 2028,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2027- Mar. 2028,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2027- Apr. 2028,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2027- May. 2028,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2027- Jun. 2028,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2027- Jul. 2028,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2027- Aug. 2028,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2027- Sep. 2028,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2027- Oct. 2028,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2027- Nov. 2028,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2027- Dec. 2028,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2028- Jan. 2029,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2028- Feb. 2029,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2028- Mar. 2029,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2028- Apr. 2029,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2028- May. 2029,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2028- Jun. 2029,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2028- Jul. 2029,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2028- Aug. 2029,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2028- Sep. 2029,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2028- Oct. 2029,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2028- Nov. 2029,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2028- Dec. 2029,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2029- Jan. 2030,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2029- Feb. 2030,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2029- Mar. 2030,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2029- Apr. 2030,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2029- May. 2030,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2029- Jun. 2030,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2029- Jul. 2030,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2029- Aug. 2030,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2029- Sep. 2030,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2029- Oct. 2030,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2029- Nov. 2030,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2029- Dec. 2030,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan. 2030- Jan. 2031,comparisonPeriod,YearOnChange,Month,01,observationPeriod,P1Y,,,,,,
Feb. 2030- Feb. 2031,comparisonPeriod,YearOnChange,Month,02,observationPeriod,P1Y,,,,,,
Mar. 2030- Mar. 2031,comparisonPeriod,YearOnChange,Month,03,observationPeriod,P1Y,,,,,,
Apr. 2030- Apr. 2031,comparisonPeriod,YearOnChange,Month,04,observationPeriod,P1Y,,,,,,
May. 2030- May. 2031,comparisonPeriod,YearOnChange,Month,05,observationPeriod,P1Y,,,,,,
Jun. 2030- Jun. 2031,comparisonPeriod,YearOnChange,Month,06,observationPeriod,P1Y,,,,,,
Jul. 2030- Jul. 2031,comparisonPeriod,YearOnChange,Month,07,observationPeriod,P1Y,,,,,,
Aug. 2030- Aug. 2031,comparisonPeriod,YearOnChange,Month,08,observationPeriod,P1Y,,,,,,
Sep. 2030- Sep. 2031,comparisonPeriod,YearOnChange,Month,09,observationPeriod,P1Y,,,,,,
Oct. 2030- Oct. 2031,comparisonPeriod,YearOnChange,Month,10,observationPeriod,P1Y,,,,,,
Nov. 2030- Nov. 2031,comparisonPeriod,YearOnChange,Month,11,observationPeriod,P1Y,,,,,,
Dec. 2030- Dec. 2031,comparisonPeriod,YearOnChange,Month,12,observationPeriod,P1Y,,,,,,
Jan.,Month,01,,,,,,,,,,
Feb.,Month,02,,,,,,,,,,
Mar.,Month,03,,,,,,,,,,
Apr.,Month,04,,,,,,,,,,
May,Month,05,,,,,,,,,,
Jun.,Month,06,,,,,,,,,,
Jul.,Month,07,,,,,,,,,,
Aug.,Month,08,,,,,,,,,,
Sep.,Month,09,,,,,,,,,,
Oct.,Month,10,,,,,,,,,,
Nov.,Month,11,,,,,,,,,,
Dec.,Month,12,,,,,,,,,,
2011,observationDate,2011-{Month},,,,,,,,,,
2012,observationDate,2012-{Month},,,,,,,,,,
2013,observationDate,2013-{Month},,,,,,,,,,
2014,observationDate,2014-{Month},,,,,,,,,,
2015,observationDate,2015-{Month},,,,,,,,,,
2016,observationDate,2016-{Month},,,,,,,,,,
2017,observationDate,2017-{Month},,,,,,,,,,
2018,observationDate,2018-{Month},,,,,,,,,,
2019,observationDate,2019-{Month},,,,,,,,,,
2020,observationDate,2020-{Month},,,,,,,,,,
2021,observationDate,2021-{Month},,,,,,,,,,
2022,observationDate,2022-{Month},,,,,,,,,,
2023,observationDate,2023-{Month},,,,,,,,,,
2024,observationDate,2024-{Month},,,,,,,,,,
2025,observationDate,2025-{Month},,,,,,,,,,
2026,observationDate,2026-{Month},,,,,,,,,,
2027,observationDate,2027-{Month},,,,,,,,,,
2028,observationDate,2028-{Month},,,,,,,,,,
2029,observationDate,2029-{Month},,,,,,,,,,
2030,observationDate,2030-{Month},,,,,,,,,,
2031,observationDate,2031-{Month},,,,,,,,,,
2032,observationDate,2032-{Month},,,,,,,,,,
2033,observationDate,2033-{Month},,,,,,,,,,
2034,observationDate,2034-{Month},,,,,,,,,,
2035,observationDate,2035-{Month},,,,,,,,,,
,,,,,,,,,,,,
All items,consumerGoodsCategory,AllItems,,,,,,,,,,
Food,consumerGoodsCategory,Food,,,,,,,,,,
Food at home,consumerGoodsCategory,FoodAtHome,,,,,,,,,,
Cereals and bakery products,consumerGoodsCategory,CerealsAndBakeryProducts,,,,,,,,,,
"Meats, poultry, fish, and eggs",consumerGoodsCategory,MeatsPoultryFishAndEggs,,,,,,,,,,
Dairy and related products(1),consumerGoodsCategory,DairyAndRelatedProducts,,,,,,,,,,
Fruits and vegetables,consumerGoodsCategory,FruitsAndVegetables,,,,,,,,,,
Nonalcoholic beverages and beverage materials,consumerGoodsCategory,NonalcoholicBeveragesAndBeverageMaterials,,,,,,,,,,
Other food at home,consumerGoodsCategory,OtherFoodAtHome,,,,,,,,,,
Food away from home(1),consumerGoodsCategory,FoodAwayFromHome,,,,,,,,,,
Energy,consumerGoodsCategory,Energy,,,,,,,,,,
Energy commodities,consumerGoodsCategory,EnergyCommodities,,,,,,,,,,
Fuel oil(1),consumerGoodsCategory,FuelOil,,,,,,,,,,
Motor fuel,consumerGoodsCategory,MotorFuel,,,,,,,,,,
Gasoline (all types),consumerGoodsCategory,GasolineAllTypes,,,,,,,,,,
Energy services(2),consumerGoodsCategory,EnergyServices,,,,,,,,,,
Electricity(2),consumerGoodsCategory,Electricity,,,,,,,,,,
Utility (piped) gas service(2),consumerGoodsCategory,UtilityPipedGasService,,,,,,,,,,
All items less food and energy,consumerGoodsCategory,AllItemsLessFoodAndEnergy,,,,,,,,,,
Commodities less food and energy commodities,consumerGoodsCategory,CommoditiesLessFoodAndEnergyCommodities,,,,,,,,,,
Apparel,consumerGoodsCategory,Apparel,,,,,,,,,,
New vehicles,consumerGoodsCategory,NewVehicles,,,,,,,,,,
Used cars and trucks,consumerGoodsCategory,UsedCarsAndTrucks,,,,,,,,,,
Medical care commodities(1),consumerGoodsCategory,MedicalCareCommodities,,,,,,,,,,
Alcoholic beverages,consumerGoodsCategory,AlcoholicBeveragesAndBeverageMaterials,,,,,,,,,,
Tobacco and smoking products(1),consumerGoodsCategory,TobaccoAndSmokingProducts,,,,,,,,,,
Services less energy services,consumerGoodsCategory,ServicesLessEnergyServices,,,,,,,,,,
Shelter,consumerGoodsCategory,Shelter,,,,,,,,,,
Rent of primary residence(2),consumerGoodsCategory,RentOfPrimaryResidence,,,,,,,,,,
Owners' equivalent rent of residences(2)(3),consumerGoodsCategory,OwnersEquivalentRentOfResidences,unit,IndexPointBasePeriodDecember1982Equals100,,,,,,,,
Medical care services,consumerGoodsCategory,MedicalCareServices,,,,,,,,,,
Physicians' services(2),consumerGoodsCategory,PhysiciansServices,,,,,,,,,,
Hospital services(2)(4),consumerGoodsCategory,HospitalAndRelatedServices,unit,IndexPointBasePeriodDecember1996Equals100,,,,,,,,
Transportation services,consumerGoodsCategory,TransportationServices,,,,,,,,,,
Motor vehicle maintenance and repair(1),consumerGoodsCategory,MotorVehicleMaintenanceAndRepair,,,,,,,,,,
Motor vehicle insurance,consumerGoodsCategory,MotorVehicleInsurance,,,,,,,,,,
Airline fare,consumerGoodsCategory,AirlineFares,,,,,,,,,,
Medical care commodities,consumerGoodsCategory,MedicalCareCommodities,,,,,,,,,,
Tobacco and smoking products,consumerGoodsCategory,TobaccoAndSmokingProducts,,,,,,,,,,
Dairy and related products,consumerGoodsCategory,DairyAndRelatedProducts,,,,,,,,,,
Food away from home,consumerGoodsCategory,FoodAwayFromHome,,,,,,,,,,
Fuel oil,consumerGoodsCategory,FuelOil,,,,,,,,,,
Energy services(1),consumerGoodsCategory,EnergyServices,,,,,,,,,,
Electricity(1),consumerGoodsCategory,Electricity,,,,,,,,,,
Utility (piped) gas service(1),consumerGoodsCategory,UtilityPipedGasService,,,,,,,,,,
Rent of primary residence(1),consumerGoodsCategory,RentOfPrimaryResidence,,,,,,,,,,
Owners' equivalent rent of residences(1)(2),consumerGoodsCategory,OwnersEquivalentRentOfResidences,unit,IndexPointBasePeriodDecember1982Equals100,,,,,,,,
Physicians' services(1),consumerGoodsCategory,PhysiciansServices,,,,,,,,,,
