key,property1,value1,property2,value2,property3,value3,property4,value4,property5,value5

# Global Dataflow properties (Standard Data Commons Demographic Modeling)
"DATAFLOW:ESTAT:DEMO_NMSTA(1.0)",populationType,dcs:Person,measuredProperty,dcs:count,statType,dcs:measuredValue,maritalStatus,dcs:Married,,

# --- AUTOMATED CLEANUP: Ignored Columns ---
LAST UPDATE,#ignore,"",,,,,,,,
CONF_STATUS,#ignore,"",,,,,,,,

# Frequency dimension (Standard ISO-8601 Durations)
freq:A,observationPeriod,P1Y,,,,,,,,
freq:M,observationPeriod,P1M,,,,,,,,
freq:Q,observationPeriod,P3M,,,,,,,,

# Sex / Gender dimension
sex:T,gender,"",,,,,,,,
sex:M,gender,dcs:Male,,,,,,,,
sex:F,gender,dcs:Female,,,,,,,,

# Previous Marital Status dimension (Using custom previousMaritalStatus property to prevent ontological collisions)
marsta:TOTAL,previousMaritalStatus,"",,,,,,,,
marsta:DISLUN,previousMaritalStatus,dcs:PreviouslyDivorced,,,,,,,,
marsta:DTHLUN,previousMaritalStatus,dcs:PreviouslyWidowed,,,,,,,,
marsta:REP,previousMaritalStatus,dcs:PreviouslyInRegisteredPartnership,,,,,,,,
marsta:SIN,previousMaritalStatus,dcs:PreviouslyNeverMarried,,,,,,,,
marsta:SEP,previousMaritalStatus,dcs:PreviouslySeparated,,,,,,,,
marsta:UNK,previousMaritalStatus,dcs:PreviouslyUnknownMaritalStatus,,,,,,,,

# Geography
geo,observationAbout,{Data},,,,,,,,

# Time and Value
TIME_PERIOD,observationDate,{Data},,,,,,,,
OBS_VALUE,value,{Number},,,,,,,,

# Safely Ignoring Transient and Composite Status Flags to Prevent Ingestion Warnings
OBS_FLAG,#ignore,"",,,,,,,,
OBS_FLAG:b,#ignore,"",,,,,,,,
OBS_FLAG:p,#ignore,"",,,,,,,,
OBS_FLAG:e,#ignore,"",,,,,,,,
OBS_FLAG:M,MissingValue,"",,,,,,,,
OBS_FLAG:NA,MissingValue,"",,,,,,,,
