"place_name","dcid","placeId","wikidataId","name","alternateName","typeOf","containedInPlace"
"AD","dcid:country/AND","","","","","",""
"AE","dcid:country/ARE","","","","","",""
"AF","dcid:country/AFG","","","","","",""
"AG","dcid:country/ATG","","","","","",""
"AI","dcid:country/AIA","","","","","",""
"AL","dcid:country/ALB","","","","","",""
"AM","dcid:country/ARM","","","","","",""
"AN","dcid:country/ANT","","","","","",""
"AO","dcid:country/AGO","","","","","",""
"AQ","dcid:country/ATA","","","","","",""
"AR","dcid:country/ARG","","","","","",""
"AS","dcid:country/ASM","","","","","",""
"AT","dcid:country/AUT","","","","","",""
"AU","dcid:country/AUS","","","","","",""
"AW","dcid:country/ABW","","","","","",""
"AZ","dcid:country/AZE","","","","","",""
"BA","dcid:country/BIH","","","","","",""
"BB","dcid:country/BRB","","","","","",""
"BD","dcid:country/BGD","","","","","",""
"BE","dcid:country/BEL","","","","","",""
"BF","dcid:country/BFA","","","","","",""
"BG","dcid:country/BGR","","","","","",""
"BH","dcid:country/BHR","","","","","",""
"BI","dcid:country/BDI","","","","","",""
"BJ","dcid:country/BEN","","","","","",""
"BL","dcid:country/BLM","","","","","",""
"BM","dcid:country/BMU","","","","","",""
"BN","dcid:country/BRN","","","","","",""
"BO","dcid:country/BOL","","","","","",""
"BR","dcid:country/BRA","","","","","",""
"BS","dcid:country/BHS","","","","","",""
"BT","dcid:country/BTN","","","","","",""
"BV","dcid:country/BVT","","","","","",""
"BW","dcid:country/BWA","","","","","",""
"BY","dcid:country/BLR","","","","","",""
"BZ","dcid:country/BLZ","","","","","",""
"CA","dcid:country/CAN","","","","","",""
"CC","dcid:country/CCK","","","","","",""
"CD","dcid:country/COD","","","","","",""
"CF","dcid:country/CAF","","","","","",""
"CG","dcid:country/COG","","","","","",""
"CH","dcid:country/CHE","","","","","",""
"CI","dcid:country/CIV","","","","","",""
"CK","dcid:country/COK","","","","","",""
"CL","dcid:country/CHL","","","","","",""
"CM","dcid:country/CMR","","","","","",""
"CN","dcid:country/CHN","","","","","",""
"CO","dcid:country/COL","","","","","",""
"CR","dcid:country/CRI","","","","","",""
"CU","dcid:country/CUB","","","","","",""
"CV","dcid:country/CPV","","","","","",""
"CX","dcid:country/CXR","","","","","",""
"CY","dcid:country/CYP","","","","","",""
"CZ","dcid:country/CZE","","","","","",""
"DE","dcid:country/DEU","","","","","",""
"DJ","dcid:country/DJI","","","","","",""
"DK","dcid:country/DNK","","","","","",""
"DM","dcid:country/DMA","","","","","",""
"DO","dcid:country/DOM","","","","","",""
"DZ","dcid:country/DZA","","","","","",""
"EC","dcid:country/ECU","","","","","",""
"EE","dcid:country/EST","","","","","",""
"EG","dcid:country/EGY","","","","","",""
"EH","dcid:country/ESH","","","","","",""
"EL","dcid:country/GRC","","","","","",""
"ER","dcid:country/ERI","","","","","",""
"ES","dcid:country/ESP","","","","","",""
"ET","dcid:country/ETH","","","","","",""
"FI","dcid:country/FIN","","","","","",""
"FJ","dcid:country/FJI","","","","","",""
"FK","dcid:country/FLK","","","","","",""
"FM","dcid:country/FSM","","","","","",""
"FO","dcid:country/FRO","","","","","",""
"FR","dcid:country/FRA","","","","","",""
"FX","dcid:country/FXX","","","","","",""
"GA","dcid:country/GAB","","","","","",""
"UK","dcid:country/GBR","","","","","",""
"GD","dcid:country/GRD","","","","","",""
"GE","dcid:country/GEO","","","","","",""
"GF","dcid:country/GUF","","","","","",""
"GG","dcid:country/GGY","","","","","",""
"GH","dcid:country/GHA","","","","","",""
"GI","dcid:country/GIB","","","","","",""
"GL","dcid:country/GRL","","","","","",""
"GM","dcid:country/GMB","","","","","",""
"GN","dcid:country/GIN","","","","","",""
"GQ","dcid:country/GNQ","","","","","",""
"GS","dcid:country/SGS","","","","","",""
"GT","dcid:country/GTM","","","","","",""
"GU","dcid:country/GUM","","","","","",""
"GW","dcid:country/GNB","","","","","",""
"GY","dcid:country/GUY","","","","","",""
"HK","dcid:country/HKG","","","","","",""
"HM","dcid:country/HMD","","","","","",""
"HN","dcid:country/HND","","","","","",""
"HR","dcid:country/HRV","","","","","",""
"HT","dcid:country/HTI","","","","","",""
"HU","dcid:country/HUN","","","","","",""
"ID","dcid:country/IDN","","","","","",""
"IE","dcid:country/IRL","","","","","",""
"IL","dcid:country/ISR","","","","","",""
"IM","dcid:country/IMN","","","","","",""
"IN","dcid:country/IND","","","","","",""
"IO","dcid:country/IOT","","","","","",""
"IQ","dcid:country/IRQ","","","","","",""
"IR","dcid:country/IRN","","","","","",""
"IS","dcid:country/ISL","","","","","",""
"IT","dcid:country/ITA","","","","","",""
"JE","dcid:country/JEY","","","","","",""
"JM","dcid:country/JAM","","","","","",""
"JO","dcid:country/JOR","","","","","",""
"JP","dcid:country/JPN","","","","","",""
"KE","dcid:country/KEN","","","","","",""
"KG","dcid:country/KGZ","","","","","",""
"KH","dcid:country/KHM","","","","","",""
"KI","dcid:country/KIR","","","","","",""
"KM","dcid:country/COM","","","","","",""
"KN","dcid:country/KNA","","","","","",""
"KP","dcid:country/PRK","","","","","",""
"KR","dcid:country/KOR","","","","","",""
"KW","dcid:country/KWT","","","","","",""
"KY","dcid:country/CYM","","","","","",""
"KZ","dcid:country/KAZ","","","","","",""
"LA","dcid:country/LAO","","","","","",""
"LB","dcid:country/LBN","","","","","",""
"LC","dcid:country/LCA","","","","","",""
"LI","dcid:country/LIE","","","","","",""
"LK","dcid:country/LKA","","","","","",""
"LR","dcid:country/LBR","","","","","",""
"LS","dcid:country/LSO","","","","","",""
"LT","dcid:country/LTU","","","","","",""
"LU","dcid:country/LUX","","","","","",""
"LV","dcid:country/LVA","","","","","",""
"LY","dcid:country/LBY","","","","","",""
"MA","dcid:country/MAR","","","","","",""
"MC","dcid:country/MCO","","","","","",""
"MD","dcid:country/MDA","","","","","",""
"ME","dcid:country/MNE","","","","","",""
"MF","dcid:country/MAF","","","","","",""
"MG","dcid:country/MDG","","","","","",""
"MH","dcid:country/MHL","","","","","",""
"MK","dcid:country/MKD","","","","","",""
"ML","dcid:country/MLI","","","","","",""
"MM","dcid:country/MMR","","","","","",""
"MN","dcid:country/MNG","","","","","",""
"MO","dcid:country/MAC","","","","","",""
"MP","dcid:country/MNP","","","","","",""
"MQ","dcid:country/MTQ","","","","","",""
"MR","dcid:country/MRT","","","","","",""
"MS","dcid:country/MSR","","","","","",""
"MT","dcid:country/MLT","","","","","",""
"MU","dcid:country/MUS","","","","","",""
"MV","dcid:country/MDV","","","","","",""
"MW","dcid:country/MWI","","","","","",""
"MX","dcid:country/MEX","","","","","",""
"MY","dcid:country/MYS","","","","","",""
"MZ","dcid:country/MOZ","","","","","",""
"NA","dcid:country/NAM","","","","","",""
"NC","dcid:country/NCL","","","","","",""
"NE","dcid:country/NER","","","","","",""
"NF","dcid:country/NFK","","","","","",""
"NG","dcid:country/NGA","","","","","",""
"NI","dcid:country/NIC","","","","","",""
"NL","dcid:country/NLD","","","","","",""
"NO","dcid:country/NOR","","","","","",""
"NP","dcid:country/NPL","","","","","",""
"NR","dcid:country/NRU","","","","","",""
"NU","dcid:country/NIU","","","","","",""
"NZ","dcid:country/NZL","","","","","",""
"OM","dcid:country/OMN","","","","","",""
"PA","dcid:country/PAN","","","","","",""
"PE","dcid:country/PER","","","","","",""
"PF","dcid:country/PYF","","","","","",""
"PG","dcid:country/PNG","","","","","",""
"PH","dcid:country/PHL","","","","","",""
"PK","dcid:country/PAK","","","","","",""
"PL","dcid:country/POL","","","","","",""
"PM","dcid:country/SPM","","","","","",""
"PN","dcid:country/PCN","","","","","",""
"PR","dcid:country/PRI","","","","","",""
"PS","dcid:country/PSE","","","","","",""
"PT","dcid:country/PRT","","","","","",""
"PW","dcid:country/PLW","","","","","",""
"PY","dcid:country/PRY","","","","","",""
"QA","dcid:country/QAT","","","","","",""
"RE","dcid:country/REU","","","","","",""
"RO","dcid:country/ROU","","","","","",""
"RS","dcid:country/SRB","","","","","",""
"RU","dcid:country/RUS","","","","","",""
"RW","dcid:country/RWA","","","","","",""
"SA","dcid:country/SAU","","","","","",""
"SB","dcid:country/SLB","","","","","",""
"SC","dcid:country/SYC","","","","","",""
"SD","dcid:country/SDN","","","","","",""
"SE","dcid:country/SWE","","","","","",""
"SG","dcid:country/SGP","","","","","",""
"SH","dcid:country/SHN","","","","","",""
"SI","dcid:country/SVN","","","","","",""
"SJ","dcid:country/SJM","","","","","",""
"SK","dcid:country/SVK","","","","","",""
"SL","dcid:country/SLE","","","","","",""
"SM","dcid:country/SMR","","","","","",""
"SN","dcid:country/SEN","","","","","",""
"SO","dcid:country/SOM","","","","","",""
"SR","dcid:country/SUR","","","","","",""
"ST","dcid:country/STP","","","","","",""
"SV","dcid:country/SLV","","","","","",""
"SX","dcid:country/SXM","","","","","",""
"SY","dcid:country/SYR","","","","","",""
"SZ","dcid:country/SWZ","","","","","",""
"TC","dcid:country/TCA","","","","","",""
"TD","dcid:country/TCD","","","","","",""
"TF","dcid:country/ATF","","","","","",""
"TG","dcid:country/TGO","","","","","",""
"TH","dcid:country/THA","","","","","",""
"TJ","dcid:country/TJK","","","","","",""
"TK","dcid:country/TKL","","","","","",""
"TL","dcid:country/TLS","","","","","",""
"TM","dcid:country/TKM","","","","","",""
"TN","dcid:country/TUN","","","","","",""
"TO","dcid:country/TON","","","","","",""
"TR","dcid:country/TUR","","","","","",""
"TT","dcid:country/TTO","","","","","",""
"TV","dcid:country/TUV","","","","","",""
"TW","dcid:country/TWN","","","","","",""
"TZ","dcid:country/TZA","","","","","",""
"UA","dcid:country/UKR","","","","","",""
"UG","dcid:country/UGA","","","","","",""
"UM","dcid:country/UMI","","","","","",""
"US","dcid:country/USA","","","","","",""
"UY","dcid:country/URY","","","","","",""
"UZ","dcid:country/UZB","","","","","",""
"VA","dcid:country/VAT","","","","","",""
"VC","dcid:country/VCT","","","","","",""
"VE","dcid:country/VEN","","","","","",""
"VG","dcid:country/VGB","","","","","",""
"VI","dcid:country/VIR","","","","","",""
"VN","dcid:country/VNM","","","","","",""
"VU","dcid:country/VUT","","","","","",""
"WF","dcid:country/WLF","","","","","",""
"WS","dcid:country/WSM","","","","","",""
"XK","dcid:country/XKS","","","","","",""
