key,property1,value1,property2,value2,property3,value3,,,,,,,,,,
COUNTRY,#Format,observationAbout=country/{Data},,,,,,,,,,,,,,
DATE,observationDate,{Data},,,,,,,,,,,,,,
GROUP:ad_chronic,medicalCondition,ChronicCondition,,,,,,,,,,,,,,
GROUP:hcw,populationType,HealthcareWorker,,,,,,,,,,,,,,
GROUP:pw,medicalCondition,Pregnant,,,,,,,,,,,,,,
GROUP:female,gender,Female,,,,,,,,,,,,,,
GROUP:male,gender,Male,,,,,,,,,,,,,,
GROUP:old,ageGroupClassification,OlderAdults,,,,,,,,,,,,,,
GROUP:other,gender,Other,,,,,,,,,,,,,,
COVID_VACCINE_ADM_1D,populationType,Person,measuredProperty,count,value,{Number},vaccineDoseReceived,AtLeastOneDose,incidentType,COVID_19,,,,,,
COVID_VACCINE_COV_1D,populationType,Person,statType,measuredValue,value,{Number},vaccineDoseReceived,AtLeastOneDose,incidentType,COVID_19,measurementDenominator,-vaccineDoseReceived,unit,Percent,scalingFactor,100
POPULATION,populationType,Person,measuredProperty,count,value,{Number},,,,,,,,,,
