name,dcid,,,
Invasive pneumococcal disease,bio/DOID_0040084,,,
Chikungunya virus disease,bio/DOID_0050012,,,
Anaplasma phagocytophilum infection,bio/DOID_0050025,,,
Ehrlichia chaffeensis infection,bio/DOID_0050026,,,
La Crosse virus disease,bio/DOID_0050118,,,
Powassan virus disease,bio/DOID_0050179,,,
Chapare virus,bio/DOID_0050198,,,
Lujo virus,bio/DOID_0050202,,,
Botulism Foodborne,bio/DOID_0050352,,,
Botulism Other wound & unspecified,bio/DOID_0050353,,,
Botulism Infant,bio/DOID_0050354,,,
"Poliomyelitis, paralytic",bio/DOID_0050515,,,
"Zika virus disease, non-congenital",bio/DOID_0060478,,,
Meningococcal disease,bio/DOID_0080176,,,
"Hantavirus infection, non-hantavirus pulmonary syndrome",bio/DOID_0080179,,,
Severe acute respiratory syndrome-associated coronavirus disease,bio/DOID_0080600,,,
Hansen's disease,bio/DOID_1024,,,
Undetermined ehrlichiosis/anaplasmosis,bio/DOID_10242,,,
Mumps,bio/DOID_10264,,,
Legionellosis,bio/DOID_10457,,,
Giardiasis,bio/DOID_10718,,,
Eastern equine encephalitis virus disease,bio/DOID_10841,,,
Western equine encephalitis virus disease,bio/DOID_10843,,,
St. Louis encephalitis virus disease,bio/DOID_10845,,,
Brucellosis,bio/DOID_11077,,,
Q fever,bio/DOID_11100,,,
Pertussis,bio/DOID_1116,,,
"Rabies, Human",bio/DOID_11260,,,
Psittacosis,bio/DOID_11262,,,
Chlamydia trachomatis infection,bio/DOID_11263,,,
Tetanus,bio/DOID_11338,,,
Listeriosis,bio/DOID_11573,,,
Dengue,bio/DOID_12205,,,
Severe dengue,bio/DOID_12206,,,
Crimean-Congo hemorrhagic fever virus,bio/DOID_12287,,,
Malaria,bio/DOID_12365,,,
Shigellosis,bio/DOID_12385,,,
Hepatitis A,bio/DOID_12547,,,
Hemolytic uremic syndrome post-diarrheal,bio/DOID_12554,,,
Cyclosporiasis,bio/DOID_12750,,,
"Rubella, congenital syndrome",bio/DOID_13450,,,
Coccidioidomycosis,bio/DOID_13450,,,
Campylobacteriosis,bio/DOID_13622,,,
Chancroid,bio/DOID_13778,,,
Streptococcal toxic shock syndrome,bio/DOID_14115,,,
Toxic shock syndrome (other than Streptococcal),bio/DOID_14115,,,
Hantavirus pulmonary syndrome,bio/DOID_14472,,,
Cholera,bio/DOID_1498,,,
"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)",bio/DOID_1498,,,
Cryptosporidiosis,bio/DOID_1733,,,
Hepatitis C,bio/DOID_1883,,,
Hepatitis B,bio/DOID_2043,,,
Tularemia,bio/DOID_2123,,,
Leptospirosis,bio/DOID_2297,,,
West Nile virus disease,bio/DOID_2365,,,
Plague,bio/DOID_3482,,,
Tuberculosis,bio/DOID_399,,,
"Syphilis, Primary and secondary",SyphilisPrimaryAndSecondary,,,
Ebola virus,bio/DOID_4325,,,
Marburg virus,bio/DOID_4327,,,
"Poliovirus infection, nonparalytic",bio/DOID_4986,,,
Anthrax,bio/DOID_7427,,,
Gonorrhea,bio/DOID_7551,,,
Influenza-associated pediatric mortality,bio/DOID_8469,,,
Measles,bio/DOID_8622,,,
Varicella morbidity,bio/DOID_8659,,,
Smallpox,bio/DOID_8736,,,
Rubella,bio/DOID_8781,,,
Lassa virus,bio/DOID_9537,,,
Babesiosis,bio/DOID_9643,,,
Yellow fever,bio/DOID_9682,,,
Trichinellosis,bio/DOID_9784,,,
"Syphilis, Congenital",bio/DOID_9856,,,
Candida auris,CandidaAuris,,,
Dengue-like illness,DengueLikeIllness,,, 
Ehrlichia ewingii infection,EhrlichiaEwingiiInfection,,,
Guanarito virus,GuanaritoHemorrhagicFever,,,
"Haemophilus influenzae, invasive disease",InvasiveHaemophilusInfluenzae,,,
Jamestown Canyon virus disease,JamestownCanyonHemorrhagicFever,,,
Junin virus,JuninHemorrhagicFever,,,
Machupo virus,MachupaHemorrhagicFever,,,
Novel Influenza A virus infections,NovelInfluenzaAHemorrhagicFever,,,
Sabia virus,SabiaHemorrhagicFever,,,
Shiga toxin-producing Escherichia coli (STEC),ShigaToxinEColi,,,
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,CarbapenemResistantEnterobacteriaceae,,,
Salmonella Paratyphi infection,SalmonellaParatyphiInfection,,,
Salmonella Typhi infection,SalmonellaTyphiInfection,,,
Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection),SalmonellosisExceptTyphiAndParatyphi,,,
Vancomycin-intermediate Staphylococcus aureus,StaphylococcusAureusVancomycinIntermediate,,,
Vancomycin-resistant Staphylococcus aureus,StaphylococcusAureusVancomycinResistant,,,
