key,prop,val,,,,,,
Grade:3,schoolGradeLevel,SchoolGrade3,,,,,,
Grade:4,schoolGradeLevel,SchoolGrade4,,,,,,
Grade:5,schoolGradeLevel,SchoolGrade5,,,,,,
Grade:6,schoolGradeLevel,SchoolGrade6,,,,,,
Grade:7,schoolGradeLevel,SchoolGrade7,,,,,,
Grade:8,schoolGradeLevel,SchoolGrade8,,,,,,
Grade:All Grades,#ignore,ignore,,,,,,
Number Tested,value,{Number},populationType,AcademicAssessmentEvent,,,,
Mean Scale Score,value,{Number},populationType,Student,statType,meanValue,,
Num Level 1,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel1,,
Pct Level 1,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel1,measurementDenominator,-assessmentScoreLevel
Num Level 2,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel2,,
Pct Level 2,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel2,measurementDenominator,-assessmentScoreLevel
Num Level 3,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel3,,
Pct Level 3,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel3,measurementDenominator,-assessmentScoreLevel
Num Level 4,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel4,,
Pct Level 4,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel4,measurementDenominator,-assessmentScoreLevel
Num Level 3 and 4,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel3AndLevel4,,
Pct Level 3 and 4,value,{Number},populationType,Student,assessmentScoreLevel,AssessmentLevel3AndLevel4,measurementDenominator,-assessmentScoreLevel
DBN,observationAbout,{Data},,,,,,
Year,observationDate,{Number},populationType,Student,schoolSubject,Mathematics,,
Category:Female,gender,Female,,,,,,
Category:Male,gender,Male,,,,,,
Category:SWD,disabilityStatus,AnyDisability,,,,,,
Category:Not SWD,disabilityStatus,NoDisability,,,,,,
Demographic:Female,gender,Female,,,,,,
Demographic:Male,gender,Male,,,,,,
Demographic:SWD,disabilityStatus,AnyDisability,,,,,,
Demographic:Not SWD,disabilityStatus,NoDisability,,,,,,
Category:Asian,race,Asian,,,,,,
Category:Black,race,Black,,,,,,
Category:Hispanic,race,HispanicOrLatino,,,,,,
Category:White,race,White,,,,,,
Demographic:Asian,race,Asian,,,,,,
Demographic:Black,race,Black,,,,,,
Demographic:Hispanic,race,HispanicOrLatino,,,,,,
Demographic:White,race,White,,,,,,
EP,languageLearned,EnglishLearner,languageFluencyLevel,FluentProficient,,,,
ELL,languageLearned,EnglishLearner,,,,,,
Borough:BRONX,observationAbout,geoId/36005,,,,,,
Borough:BROOKLYN,observationAbout,geoId/36047,,,,,,
Borough:MANHATTAN,observationAbout,geoId/36061,,,,,,
Borough:QUEENS,observationAbout,geoId/36081,,,,,,
Borough:STATEN ISLAND,observationAbout,geoId/3608570915,,,,,,
General Ed,educationalDegree,GeneralEducation,,,,,,
Special Ed,educationalDegree,SpecialEducation,,,,,,
