Detail Data For Coal Supply - Production by Coal Sector & Company Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,CoalCategory,CoalCompany,CoalSector,CoalType,YearValue,QtyInMillionTonnes_Generation
WEST BENGAL,COAL,ECL,CIL,COKING,2006,0.042
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2006,17.368
WEST BENGAL,COAL,BCCL,CIL,COKING,2006,0.067
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2006,0.162
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2006,0.025
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2006,0.197
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2006,3.992
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2006,2.622
WEST BENGAL,COAL,ECL,CIL,COKING,2007,0.025
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2007,17.131
WEST BENGAL,COAL,BCCL,CIL,COKING,2007,0.042
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2007,0.123
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2007,0.306
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2007,4.765
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2007,2.546
WEST BENGAL,COAL,ECL,CIL,COKING,2008,0.022
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2008,15.063
WEST BENGAL,COAL,BCCL,CIL,COKING,2008,0.032
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2008,0.129
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2008,0.292
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2008,4.229
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2008,2.754
WEST BENGAL,COAL,ECL,CIL,COKING,2009,0.023
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2009,15.360
WEST BENGAL,COAL,BCCL,CIL,COKING,2009,0.033
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2009,0.096
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2009,0.270
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2009,4.139
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2009,2.984
WEST BENGAL,COAL,ECL,CIL,COKING,2010,0.017
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2010,16.056
WEST BENGAL,COAL,BCCL,CIL,COKING,2010,0.035
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2010,0.028
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2010,0.366
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2010,3.303
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2010,3.213
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2010,0.115
WEST BENGAL,COAL,ECL,CIL,COKING,2011,0.007
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2011,15.313
WEST BENGAL,COAL,BCCL,CIL,COKING,2011,0.029
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2011,0.227
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2011,2.876
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2011,2.929
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2011,0.257
WEST BENGAL,COAL,DVC EMTA,OTHER PUBLIC,NON-COKING,2011,0.021
WEST BENGAL,COAL,ECL,CIL,COKING,2012,0.010
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2012,16.298
WEST BENGAL,COAL,BCCL,CIL,COKING,2012,0.034
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2012,0.164
WEST BENGAL,COAL,BECML,PRIVATE,NON-COKING,2012,2.598
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2012,3.745
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2012,0.216
WEST BENGAL,COAL,DVC EMTA,OTHER PUBLIC,NON-COKING,2012,1.165
WEST BENGAL,COAL,ECL,CIL,COKING,2013,0.010
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2013,17.568
WEST BENGAL,COAL,BCCL,CIL,COKING,2013,0.020
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2013,0.046
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2013,0.155
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2013,3.129
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2013,3.266
WEST BENGAL,COAL,DVC EMTA,OTHER PUBLIC,NON-COKING,2013,1.836
WEST BENGAL,COAL,WBMDTCL,OTHER PUBLIC,NON-COKING,2013,0.348
WEST BENGAL,COAL,SOVA,PRIVATE,NON-COKING,2013,0.089
WEST BENGAL,COAL,ECL,CIL,COKING,2014,0.010
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2014,18.866
WEST BENGAL,COAL,BCCL,CIL,COKING,2014,1.346
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2014,0.201
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2014,0.081
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2014,2.708
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2014,2.511
WEST BENGAL,COAL,DVC EMTA,OTHER PUBLIC,NON-COKING,2014,1.519
WEST BENGAL,COAL,WBMDTCL,OTHER PUBLIC,NON-COKING,2014,0.726
WEST BENGAL,COAL,SOVA,PRIVATE,NON-COKING,2014,0.276
WEST BENGAL,COAL,ECL,CIL,COKING,2015,0.004
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2015,20.600
WEST BENGAL,COAL,BCCL,CIL,COKING,2015,0.576
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2015,0.472
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2015,0.206
WEST BENGAL,COAL,ICML,PRIVATE,NON-COKING,2015,3.492
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2015,2.221
WEST BENGAL,COAL,DVC EMTA,OTHER PUBLIC,NON-COKING,2015,1.001
WEST BENGAL,COAL,WBMDTCL,OTHER PUBLIC,NON-COKING,2015,1.042
WEST BENGAL,COAL,SOVA,PRIVATE,NON-COKING,2015,0.400
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2016,21.161
WEST BENGAL,COAL,BCCL,CIL,COKING,2016,1.995
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2016,0.563
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2016,0.155
WEST BENGAL,COAL,CESC,PRIVATE,NON-COKING,2016,1.877
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2017,0.330
WEST BENGAL,COAL,BCCL,CIL,COKING,2017,1.820
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2017,23.580
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2017,0.200
WEST BENGAL,COAL,CESC,PRIVATE,NON-COKING,2017,1.740
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2018,0.363
WEST BENGAL,COAL,BCCL,CIL,COKING,2018,1.018
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2018,25.604
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2018,0.377
WEST BENGAL,COAL,CESC,PRIVATE,NON-COKING,2018,1.878
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2019,0.132
WEST BENGAL,COAL,BCCL,CIL,COKING,2019,1.056
WEST BENGAL,COAL,CESC,PRIVATE,NON-COKING,2019,1.856
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2019,29.395
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2019,0.297
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2019,0.400
WEST BENGAL,COAL,ECL,CIL,COKING,2020,0.000
WEST BENGAL,COAL,BCCL,CIL,COKING,2020,0.145
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2020,0.000
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,COKING,2020,0.000
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,COKING,2020,0.000
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,COKING,2020,0.000
WEST BENGAL,COAL,CESC,PRIVATE,COKING,2020,0.000
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2020,29.165
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2020,0.000
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2020,0.234
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2020,0.500
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2020,0.606
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2020,1.006
WEST BENGAL,COAL,CESC,PRIVATE,NON-COKING,2020,1.958
WEST BENGAL,COAL,CESC,PRIVATE,NON-COKING,2021,2.079
WEST BENGAL,COAL,DPL,OTHER PUBLIC,NON-COKING,2021,0.067
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2021,1.000
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2021,4.133
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2021,0.815
WEST BENGAL,COAL,WBPDCL,OTHER PUBLIC,NON-COKING,2021,0.310
WEST BENGAL,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2021,0.099
WEST BENGAL,COAL,BCCL,CIL,NON-COKING,2021,0.004
WEST BENGAL,COAL,ECL,CIL,NON-COKING,2021,26.089
JHARKHAND,COAL,ECL,CIL,COKING,2006,0.090
JHARKHAND,COAL,ECL,CIL,NON-COKING,2006,13.614
JHARKHAND,COAL,BCCL,CIL,COKING,2006,10.819
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2006,12.263
JHARKHAND,COAL,CCL,CIL,COKING,2006,12.056
JHARKHAND,COAL,CCL,CIL,NON-COKING,2006,28.457
JHARKHAND,COAL,JSMDCL,OTHER PUBLIC,NON-COKING,2006,0.762
JHARKHAND,COAL,DVC,OTHER PUBLIC,COKING,2006,0.368
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,COKING,2006,0.435
JHARKHAND,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COKING,2006,0.001
JHARKHAND,COAL,TISCO/TSL,PRIVATE,COKING,2006,6.515
JHARKHAND,COAL,TISCO/TSL,PRIVATE,NON-COKING,2006,0.006
JHARKHAND,COAL,CML OR BECML,PRIVATE,COKING,2006,0.012
JHARKHAND,COAL,PANEM/PSEB,OTHER PUBLIC,NON-COKING,2006,0.025
JHARKHAND,COAL,ECL,CIL,COKING,2007,0.057
JHARKHAND,COAL,ECL,CIL,NON-COKING,2007,13.253
JHARKHAND,COAL,BCCL,CIL,COKING,2007,11.063
JHARKHAND,COAL,BCCL,CIL,NON-COKING,2007,12.977
