Referência,Quantidade de Famílias beneficiadas pelo Programa Auxílio Brasil,Estimativa de Famílias Pobres - Censo IBGE 2010,Percentual de cobertura das Famílias beneficiárias do Programa Auxílio Brasil
11/2021,14506301,13738415,"105,5893347231103400"
12/2021,14519216,13738415,"105,6833412005679000"
01/2022,17566127,13738415,"127,8613799335658400"
02/2022,18017489,13738415,"131,1467807603715600"
03/2022,18021825,13738415,"131,1783418975187500"
04/2022,18063021,13738415,"131,4782018158572100"
05/2022,18119192,13738415,"131,8870626633421700"
06/2022,18154897,13738415,"132,1469543611835900"
07/2022,18134548,13738415,"131,9988368381651000"
08/2022,20200862,13738415,"147,0392472494097800"
09/2022,20653849,13738415,"150,3364762237856400"
10/2022,21130969,13738415,"153,8093659275833500"
11/2022,21534293,13738415,"156,7451048756352200"
12/2022,21601182,,
01/2023,21905353,,
02/2023,21867482,,
