key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,,,
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_AuxilioBrasilProgram,populationType,Person,age,[4 5 Years],observationPeriod,P2M,,
Total de beneficiários com perfil educação (4 a 5 anos),value,{Number},beneficiariesProfile,Education,,,,,,,name,"""Total beneficiaries with education profile (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários com perfil de escolaridade (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários acompanhados pela educação  (4 a 5 anos),value,{Number},beneficiariesProfile,AccompaniedByEducation,,,,,,,name,"""Total number of beneficiaries accompanied by education (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Número total de beneficiários acompanhados de escolaridade (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Percentual de beneficiários acompanhados pela educação  (4 a 5 anos),value,{Number},beneficiariesProfile,AccompaniedByEducation,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries accompanied by education (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários acompanhados de escolaridade (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários acompanhados com frequência acima da exigida ( 4 a 5 anos - 60%),value,{Number},beneficiariesProfile,MonitoredMoreFrequentlyThanRequired,,,,,,,name,"""Total number of beneficiaries monitored more frequently than required (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Número total de beneficiários monitorados com frequência superior à exigida (4 a 5 anos) no âmbito do Programa Auxilio Brasil@pt"""
Total de beneficiários acompanhados com frequência abaixo da exigida ( 4 a 5 anos - 60%),value,{Number},beneficiariesProfile,MonitoredBelowFrequentlyThanRequired,,,,,,,name,"""Total number of beneficiaries monitored with a frequency below that required (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Número total de beneficiários acompanhados com frequência inferior à exigida (4 a 5 anos) no âmbito do Programa Auxilio Brasil@pt"""
Percentual de beneficiários acompanhados com frequência acima da exigida ( 4 a 5 anos - 60%),value,{Number},beneficiariesProfile,MonitoredMoreFrequentlyThanRequired,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries monitored more frequently than required (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários monitorados com frequência superior à exigida (4 a 5 anos) no âmbito do Programa Auxilio Brasil@pt"""
Total de beneficiários sem informação de frequência escolar (4 a 5 anos),value,{Number},beneficiariesProfile,MonitoredWithoutSchoolAttendance,,,,,,,name,"""Total beneficiaries without information on school attendance (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários sem informação de frequência escolar (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Percentual de beneficiários sem informação de frequência escolar (4 a 5 anos),value,{Number},beneficiariesProfile,MonitoredWithoutSchoolAttendance,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries without information on school attendance (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários sem informação sobre frequência escolar (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários localizados no acompanhamento pela educação mas sem informação de frequência (4 a 5 anos),value,{Number},beneficiariesProfile,EducationMonitoringWithoutFrequency,,,,,,,name,"""Total beneficiaries located in education monitoring but without frequency information (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários localizados em acompanhamento educacional mas sem informação de frequência (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Total de beneficiários não localizados no acompanhamento pela educação (4 a 5 anos),value,{Number},beneficiariesProfile,WithoutEducationMonitoring,,,,,,,name,"""Total beneficiaries not located in education monitoring (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Total de beneficiários não localizados em acompanhamento educacional (4 a 5 anos) do Programa Auxilio Brasil@pt"""
Percentual de beneficiários não localizados no acompanhamento pela educação (4 a 5 anos),value,{Number},beneficiariesProfile,WithoutEducationMonitoring,measurementDenominator,"-beneficiariesProfile, -age",unit,Percent,scalingFactor,100,name,"""Percentage of beneficiaries not located in education monitoring (4 to 5 years) under Auxilio Brasil Program""",alternateName,"""Percentual de beneficiários não localizados em acompanhamento educacional (4 a 5 anos) do Programa Auxilio Brasil@pt"""
