STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1970,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1980,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1985,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1989,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1990,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1991,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1992,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,1998,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2000,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2001,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2002,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_TREAT@DF_WATER_TREAT(1.0),Wastewater - connection rates to treatment,I,AUT,Austria,A,Annual,OTHERTR,Unspecified (other) treatment,PT_POP,Percentage of population,2003,,0,,A,Normal value,0,Units,1,One
