observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod,observationPeriod
country/USA,2021,287001,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_HBCU,,,,
country/USA,2021,219366,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_HBCU,,,,
country/USA,2021,184735,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_HBCU,,,,
country/USA,2021,34631,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_HBCU,,,,
country/USA,2021,67635,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_HBCU,,,,
country/USA,2021,67390,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_HBCU,,,,
country/USA,2021,245,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_HBCU,,,,
country/USA,2021,103172,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Male_HBCU,,,,
country/USA,2021,76961,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Male_HBCU,,,,
country/USA,2021,63718,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Male_HBCU,,,,
country/USA,2021,13243,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Male_HBCU,,,,
country/USA,2021,26211,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Male_HBCU,,,,
country/USA,2021,26136,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Male_HBCU,,,,
country/USA,2021,75,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Male_HBCU,,,,
country/USA,2021,75375,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Male_HBCU_Black,,,,
country/USA,2021,53637,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Male_HBCU_Black,,,,
country/USA,2021,48969,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Male_HBCU_Black,,,,
country/USA,2021,4668,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Male_HBCU_Black,,,,
country/USA,2021,21738,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Male_HBCU_Black,,,,
country/USA,2021,21681,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Male_HBCU_Black,,,,
country/USA,2021,57,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Male_HBCU_Black,,,,
country/USA,2021,183829,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Female_HBCU,,,,
country/USA,2021,142405,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Female_HBCU,,,,
country/USA,2021,121017,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Female_HBCU,,,,
country/USA,2021,21388,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Female_HBCU,,,,
country/USA,2021,41424,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Female_HBCU,,,,
country/USA,2021,41254,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Female_HBCU,,,,
country/USA,2021,170,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Female_HBCU,,,,
country/USA,2021,141263,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Female_HBCU_Black,,,,
country/USA,2021,105808,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Female_HBCU_Black,,,,
country/USA,2021,96228,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Female_HBCU_Black,,,,
country/USA,2021,9580,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Female_HBCU_Black,,,,
country/USA,2021,35455,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Female_HBCU_Black,,,,
country/USA,2021,35322,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Female_HBCU_Black,,,,
country/USA,2021,133,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Female_HBCU_Black,,,,
country/USA,2022,289426,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_HBCU,,,,
country/USA,2022,221450,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_HBCU,,,,
country/USA,2022,185770,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_HBCU,,,,
country/USA,2022,35680,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_HBCU,,,,
country/USA,2022,67976,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_HBCU,,,,
country/USA,2022,67655,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_HBCU,,,,
country/USA,2022,321,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_HBCU,,,,
country/USA,2022,104109,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Male_HBCU,,,,
country/USA,2022,78096,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Male_HBCU,,,,
country/USA,2022,64318,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Male_HBCU,,,,
country/USA,2022,13778,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Male_HBCU,,,,
country/USA,2022,26013,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Male_HBCU,,,,
country/USA,2022,25887,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Male_HBCU,,,,
country/USA,2022,126,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Male_HBCU,,,,
country/USA,2022,76518,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Male_HBCU_Black,,,,
country/USA,2022,54436,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Male_HBCU_Black,,,,
country/USA,2022,49718,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Male_HBCU_Black,,,,
country/USA,2022,4718,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Male_HBCU_Black,,,,
country/USA,2022,22082,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Male_HBCU_Black,,,,
country/USA,2022,21991,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Male_HBCU_Black,,,,
country/USA,2022,91,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Male_HBCU_Black,,,,
country/USA,2022,185317,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Female_HBCU,,,,
country/USA,2022,143354,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Female_HBCU,,,,
country/USA,2022,121452,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Female_HBCU,,,,
country/USA,2022,21902,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Female_HBCU,,,,
country/USA,2022,41963,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Female_HBCU,,,,
country/USA,2022,41768,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Female_HBCU,,,,
country/USA,2022,195,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Female_HBCU,,,,
country/USA,2022,142809,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool_Female_HBCU_Black,,,,
country/USA,2022,107060,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_Female_HBCU_Black,,,,
country/USA,2022,97103,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_FourYear_Female_HBCU_Black,,,,
country/USA,2022,9957,dcid:Count_Person_EnrolledInPublicCollegeOrGraduateSchool_TwoYear_Female_HBCU_Black,,,,
country/USA,2022,35749,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_Female_HBCU_Black,,,,
country/USA,2022,35601,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_FourYear_Female_HBCU_Black,,,,
country/USA,2022,148,dcid:Count_Person_EnrolledInPrivateCollegeOrGraduateSchool_TwoYear_Female_HBCU_Black,,,,
