key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
Provinsi,observationAbout,{Data},,,,,,,,,,,,
RS Pemerintah,populationType,HealthEstablishment,healthEstablishmentType,GovernmentHospital,unit,Percent,scalingFactor,100,alternateName,"""Rumah Sakit Pemerintah@id""",,,,
RS Swasta,populationType,HealthEstablishment,healthEstablishmentType,PrivateHospital,unit,Percent,scalingFactor,100,alternateName,"""Rumah Sakit swasta@id""",,,,
Praktek dokter/ Poliklinik,populationType,HealthEstablishment,healthEstablishmentType,DoctorsPractice__Polyclinic,unit,Percent,scalingFactor,100,alternateName,"""Poliklinik Praktek Dokter@id""",,,,
Puskesmas/ pustu,populationType,HealthEstablishment,healthEstablishmentType,CommunityHealthCenter,unit,Percent,scalingFactor,100,alternateName,"""Pusat Kesehatan Masyarakat@id""",,,,
Praktek nakes,populationType,HealthEstablishment,healthEstablishmentType,HealthWorkerPractice,unit,Percent,scalingFactor,100,alternateName,"""Praktik Tenaga Kesehatan@id""",,,,
Praktek batra,populationType,HealthEstablishment,healthEstablishmentType,BatraPractice,unit,Percent,scalingFactor,100,alternateName,"""Latihan Batra@id""",,,,
Dukun bersalin,populationType,HealthEstablishment,healthEstablishmentType,BirthAttendant,unit,Percent,scalingFactor,100,alternateName,"""Petugas Kelahiran@id""",,,,
Lainnya,populationType,HealthEstablishment,healthEstablishmentType,BPS_OtherHealthEstablishments,unit,Percent,scalingFactor,100,alternateName,"""BPS Badan Kesehatan Lainnya@id""",,,,
Praktek dokter/ bidan,populationType,HealthEstablishment,healthEstablishmentType,PracticingDoctor__Midwife,unit,Percent,scalingFactor,100,alternateName,"""Praktik Dokter atau Bidan@id""",,,,
Klinik/ praktek dokter bersama,populationType,HealthEstablishment,healthEstablishmentType,JointClinic__DoctorPractice,unit,Percent,scalingFactor,100,alternateName,"""Klinik Bersama atau Praktek Dokter@id""",,,,
"Poskesdes, Polindes, Posyandu, Balai Pengobatan",populationType,HealthEstablishment,healthEstablishmentType,VillageMaternityClinic__IntegratedService__MedicalCenter,unit,Percent,scalingFactor,100,alternateName,"""Klinik Bersalin Desa dan Pelayanan Terpadu dan Pusat Kesehatan@id""",,,,
Praktek pengobatan tradisional/ alternatif,populationType,HealthEstablishment,healthEstablishmentType,PracticeTraditional__AlternativeMedicine,unit,Percent,scalingFactor,100,alternateName,"""Mempraktikkan pengobatan tradisional atau alternatif@id""",,,,
UKBM,populationType,HealthEstablishment,healthEstablishmentType,CommunityHealthResource,unit,Percent,scalingFactor,100,alternateName,"""Sumber Daya Kesehatan Masyarakat@id""",,,,
PENDUDUK LAKI-LAKI,gender,Male,populationType,Person,,,,,,,,,,
PENDUDUK PEREMPUAN,gender,Female,populationType,Person,,,,,,,,,,
2009,value,{Number},observationDate,2009,,,,,,,,,,
2010,value,{Number},observationDate,2010,,,,,,,,,,
2011,value,{Number},observationDate,2011,,,,,,,,,,
2012,value,{Number},observationDate,2012,,,,,,,,,,
2013,value,{Number},observationDate,2013,,,,,,,,,,
2014,value,{Number},observationDate,2014,,,,,,,,,,
2015,value,{Number},observationDate,2015,,,,,,,,,,
2016,value,{Number},observationDate,2016,,,,,,,,,,
2017,value,{Number},observationDate,2017,,,,,,,,,,
2018,value,{Number},observationDate,2018,,,,,,,,,,
2019,value,{Number},observationDate,2019,,,,,,,,,,
2020,value,{Number},observationDate,2020,,,,,,,,,,
2021,value,{Number},observationDate,2021,,,,,,,,,,
2022,value,{Number},observationDate,2022,,,,,,,,,,
2023,value,{Number},observationDate,2023,,,,,,,,,,
