key,p1,v1,p2,v2,p3,v3,p4,v4,,
Aimag,observationAbout,{Data},,,,,,,,
,,,,,,,,,,
201601,observationDate,2016-01,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201602,observationDate,2016-02,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201603,observationDate,2016-03,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201604,observationDate,2016-04,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201605,observationDate,2016-05,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201606,observationDate,2016-06,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201607,observationDate,2016-07,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201608,observationDate,2016-08,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201609,observationDate,2016-09,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201610,observationDate,2016-10,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201611,observationDate,2016-11,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201612,observationDate,2016-12,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201701,observationDate,2017-01,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201702,observationDate,2017-02,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201703,observationDate,2017-03,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201704,observationDate,2017-04,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201705,observationDate,2017-05,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201706,observationDate,2017-06,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201707,observationDate,2017-07,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201708,observationDate,2017-08,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
201709,observationDate,2017-09,value,{Number},populationType,BirthEvent,measuredProperty,count,medicalStatus,LiveBirth
