key,p1,v1,p2,v2,p3,v3,p4,v4
Aimag,observationAbout,{Data},,,,,,
,,,,,,,,
201601,observationDate,2016-01,value,{Number},populationType,MortalityEvent,measuredProperty,count
201602,observationDate,2016-02,value,{Number},populationType,MortalityEvent,measuredProperty,count
201603,observationDate,2016-03,value,{Number},populationType,MortalityEvent,measuredProperty,count
201604,observationDate,2016-04,value,{Number},populationType,MortalityEvent,measuredProperty,count
201605,observationDate,2016-05,value,{Number},populationType,MortalityEvent,measuredProperty,count
201606,observationDate,2016-06,value,{Number},populationType,MortalityEvent,measuredProperty,count
201607,observationDate,2016-07,value,{Number},populationType,MortalityEvent,measuredProperty,count
201608,observationDate,2016-08,value,{Number},populationType,MortalityEvent,measuredProperty,count
201609,observationDate,2016-09,value,{Number},populationType,MortalityEvent,measuredProperty,count
201610,observationDate,2016-10,value,{Number},populationType,MortalityEvent,measuredProperty,count
201611,observationDate,2016-11,value,{Number},populationType,MortalityEvent,measuredProperty,count
201612,observationDate,2016-12,value,{Number},populationType,MortalityEvent,measuredProperty,count
201701,observationDate,2017-01,value,{Number},populationType,MortalityEvent,measuredProperty,count
201702,observationDate,2017-02,value,{Number},populationType,MortalityEvent,measuredProperty,count
201703,observationDate,2017-03,value,{Number},populationType,MortalityEvent,measuredProperty,count
201704,observationDate,2017-04,value,{Number},populationType,MortalityEvent,measuredProperty,count
201705,observationDate,2017-05,value,{Number},populationType,MortalityEvent,measuredProperty,count
201706,observationDate,2017-06,value,{Number},populationType,MortalityEvent,measuredProperty,count
201707,observationDate,2017-07,value,{Number},populationType,MortalityEvent,measuredProperty,count
201708,observationDate,2017-08,value,{Number},populationType,MortalityEvent,measuredProperty,count
201709,observationDate,2017-09,value,{Number},populationType,MortalityEvent,measuredProperty,count
201710,observationDate,2017-10,value,{Number},populationType,MortalityEvent,measuredProperty,count
201711,observationDate,2017-11,value,{Number},populationType,MortalityEvent,measuredProperty,count
201712,observationDate,2017-12,value,{Number},populationType,MortalityEvent,measuredProperty,count
201801,observationDate,2018-01,value,{Number},populationType,MortalityEvent,measuredProperty,count
201802,observationDate,2018-02,value,{Number},populationType,MortalityEvent,measuredProperty,count
201803,observationDate,2018-03,value,{Number},populationType,MortalityEvent,measuredProperty,count
201804,observationDate,2018-04,value,{Number},populationType,MortalityEvent,measuredProperty,count
