Year,Place,StatVar,Quantity,Unit,Column
2021,country/USA,dcid:Count_Person_16To64Years,211199021.0,,Estimate!!Total!!Population 16 to 64 years
2021,geoId/01,dcid:Count_Person_16To64Years,3161072.0,,Estimate!!Total!!Population 16 to 64 years
2021,geoId/02,dcid:Count_Person_16To64Years,481977.0,,Estimate!!Total!!Population 16 to 64 years
2021,country/USA,dcid:MarginOfError_Count_Person_16To64Years,15870.0,,Margin of Error!!Total!!Population 16 to 64 years
2021,geoId/01,dcid:MarginOfError_Count_Person_16To64Years,1873.0,,Margin of Error!!Total!!Population 16 to 64 years
2021,geoId/02,dcid:MarginOfError_Count_Person_16To64Years,561.0,,Margin of Error!!Total!!Population 16 to 64 years
2021,country/USA,dcid:Count_Person_WorkPerYear50To52Week,125594482.0,,Estimate!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 50 to 52 weeks
2021,geoId/01,dcid:Count_Person_WorkPerYear50To52Week,1758054.0,,Estimate!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 50 to 52 weeks
2021,geoId/02,dcid:Count_Person_WorkPerYear50To52Week,267774.0,,Estimate!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 50 to 52 weeks
2021,country/USA,dcid:MarginOfError_Count_Person_WorkPerYear50To52Week,82677.0,,Margin of Error!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 50 to 52 weeks
2021,geoId/01,dcid:MarginOfError_Count_Person_WorkPerYear50To52Week,8624.0,,Margin of Error!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 50 to 52 weeks
2021,geoId/02,dcid:MarginOfError_Count_Person_WorkPerYear50To52Week,2224.0,,Margin of Error!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 50 to 52 weeks
2021,country/USA,dcid:Count_Person_WorkPerYear48To49Week,2764538.0,,Estimate!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 48 to 49 weeks
2021,geoId/01,dcid:Count_Person_WorkPerYear48To49Week,34222.0,,Estimate!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 48 to 49 weeks
2021,geoId/02,dcid:Count_Person_WorkPerYear48To49Week,7094.0,,Estimate!!Total!!Population 16 to 64 years!!WEEKS WORKED!!Worked 48 to 49 weeks
