Year,Place,StatVar,Quantity,Column
2019,geoId/01,dcid:Count_Person_5OrMoreYears,4583063.0,Estimate!!Total!!Total population 5 years and over
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears,535.0,Margin of Error!!Total!!Total population 5 years and over
2019,geoId/01,dcid:Count_Person_5To17Years,803189.0,Estimate!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2019,geoId/01,dcid:MarginOfError_Count_Person_5To17Years,578.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!5 to 17 years
2019,geoId/01,dcid:Count_Person_18To64Years,2974993.0,Estimate!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2019,geoId/01,dcid:MarginOfError_Count_Person_18To64Years,814.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!18 to 64 years
2019,geoId/01,dcid:Count_Person_65OrMoreYears,804881.0,Estimate!!Total!!Total population 5 years and over!!AGE!!65 years and over
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears,682.0,Margin of Error!!Total!!Total population 5 years and over!!AGE!!65 years and over
2019,geoId/01,dcid:Count_Person_Native,4411782.0,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_Native,3167.0,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native
2019,geoId/01,dcid:Count_Person_5OrMoreYears_ForeignBorn,171281.0,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_ForeignBorn,3109.0,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born
2019,geoId/01,dcid:Count_Person_5OrMoreYears_USCitizenByNaturalization_ForeignBorn,67458.0,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_USCitizenByNaturalization_ForeignBorn,1812.0,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen
2019,geoId/01,dcid:Count_Person_5OrMoreYears_NotAUSCitizen_ForeignBorn,103823.0,Estimate!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_NotAUSCitizen_ForeignBorn,3062.0,Margin of Error!!Total!!Total population 5 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen
2019,geoId/01,dcid:Count_Person_5OrMoreYears_PovertyStatusDetermined,4466414.0,Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_PovertyStatusDetermined,1010.0,Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined
2019,geoId/01,dcid:Count_Person_5OrMoreYears_BelowPovertyLevelInThePast12Months,717844.0,Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_BelowPovertyLevelInThePast12Months,9624.0,Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level
2019,geoId/01,dcid:Count_Person_5OrMoreYears_AbovePovertyLevelInThePast12Months,3748570.0,Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level
2019,geoId/01,dcid:MarginOfError_Count_Person_5OrMoreYears_AbovePovertyLevelInThePast12Months,9639.0,Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level
2019,geoId/01,dcid:Count_Person_25OrMoreYears,3320877.0,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
2019,geoId/01,dcid:MarginOfError_Count_Person_25OrMoreYears,1371.0,Margin of Error!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
2019,geoId/01,dcid:Count_Person_EducationalAttainmentLessThanHighSchoolGraduate,458922.0,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate
