observationDate,value,observationAbout,variableMeasured,unit
2015,278731047000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalRevenueInvestmentReturn,USDollar
2015,100,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalRevenueInvestmentReturn,Percent
2015,57243466000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalRevenueInvestmentReturn,USDollar
2015,100,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalRevenueInvestmentReturn,Percent
2015,775381000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalRevenueInvestmentReturn,USDollar
2015,100,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalRevenueInvestmentReturn,Percent
2015,183582430000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalOperatingRevenues_Operating,USDollar
2015,65.9,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TotalOperatingRevenues_Operating,Percent
2015,16249330000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalOperatingRevenues_Operating,USDollar
2015,28.4,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TotalOperatingRevenues_Operating,Percent
2015,315364000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalOperatingRevenues_Operating,USDollar
2015,40.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TotalOperatingRevenues_Operating,Percent
2015,60663155000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TuitionAndFees_Operating,USDollar
2015,21.8,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_TuitionAndFees_Operating,Percent
2015,9422056000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TuitionAndFees_Operating,USDollar
2015,16.5,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_TuitionAndFees_Operating,Percent
2015,156048000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TuitionAndFees_Operating,USDollar
2015,20.1,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_TuitionAndFees_Operating,Percent
2015,41164017000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_GrantsAndContracts_Operating,USDollar
2015,14.8,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_GrantsAndContracts_Operating,Percent
2015,4173775000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_GrantsAndContracts_Operating,USDollar
2015,7.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_GrantsAndContracts_Operating,Percent
2015,106486000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_GrantsAndContracts_Operating,USDollar
2015,13.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_GrantsAndContracts_Operating,Percent
2015,24250455000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_FederalFundingExcludesFDSLLoans_Operating,USDollar
2015,8.7,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_FederalFundingExcludesFDSLLoans_Operating,Percent
2015,1736562000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_FederalFundingExcludesFDSLLoans_Operating,USDollar
2015,3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_FederalFundingExcludesFDSLLoans_Operating,Percent
2015,22164000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_FederalFundingExcludesFDSLLoans_Operating,USDollar
2015,2.9,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_FederalFundingExcludesFDSLLoans_Operating,Percent
2015,5336850000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_StateFunding_Operating,USDollar
2015,1.9,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_FourYear_StateFunding_Operating,Percent
2015,1875230000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_StateFunding_Operating,USDollar
2015,3.3,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_TwoYear_StateFunding_Operating,Percent
2015,55499000,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_StateFunding_Operating,USDollar
2015,7.2,country/USA,dcid:Revenue_ExpenditureActivity_PublicInstitution_LessThanTwoYear_StateFunding_Operating,Percent
