key,prop,val,p1,v1
StichtagDatJahr,observationDate,{Number},,
AnzBestWir,value,{Number},populationType,Person
QuarLang:Rathaus,observationAbout,wikidataId/Q692511,,
QuarLang:Hochschulen,observationAbout,wikidataId/Q39240,,
QuarLang:Lindenhof,observationAbout,wikidataId/Q10987378,,
QuarLang:City,observationAbout,wikidataId/Q1093831,,
QuarLang:Wollishofen,observationAbout,wikidataId/Q642353,,
QuarLang:Leimbach,observationAbout,wikidataId/Q691367,,
QuarLang:Enge,observationAbout,wikidataId/Q648218,,
QuarLang:Alt-Wiedikon,observationAbout,wikidataId/Q433012,,
QuarLang:Friesenberg,observationAbout,wikidataId/Q693357,,
QuarLang:Sihlfeld,observationAbout,wikidataId/Q370104,,
QuarLang:Werd,observationAbout,wikidataId/Q531899,,
QuarLang:Langstrasse,observationAbout,wikidataId/Q1805410,,
QuarLang:Hard,observationAbout,wikidataId/Q870084,,
QuarLang:Gewerbeschule,observationAbout,wikidataId/Q693413,,
QuarLang:Escher Wyss,observationAbout,wikidataId/Q687052,,
QuarLang:Unterstrass,observationAbout,wikidataId/Q656446,,
QuarLang:Oberstrass,observationAbout,wikidataId/Q693483,,
QuarLang:Fluntern,observationAbout,wikidataId/Q693269,,
QuarLang:Hottingen,observationAbout,wikidataId/Q693454,,
QuarLang:Hirslanden,observationAbout,wikidataId/Q476940,,
QuarLang:Witikon,observationAbout,wikidataId/Q392079,,
QuarLang:Seefeld,observationAbout,wikidataId/Q692773,,
QuarLang:Mühlebach,observationAbout,wikidataId/Q693397,,
QuarLang:Weinegg,observationAbout,wikidataId/Q693321,,
QuarLang:Albisrieden,observationAbout,wikidataId/Q80797,,
QuarLang:Altstetten,observationAbout,wikidataId/Q445711,,
QuarLang:Höngg,observationAbout,wikidataId/Q455496,,
QuarLang:Wipkingen,observationAbout,wikidataId/Q678030,,
QuarLang:Affoltern,observationAbout,wikidataId/Q382903,,
QuarLang:Oerlikon,observationAbout,wikidataId/Q167179,,
QuarLang:Seebach,observationAbout,wikidataId/Q276792,,
QuarLang:Saatlen,observationAbout,wikidataId/Q652455,,
QuarLang:Schwamendingen-Mitte,observationAbout,wikidataId/Q692728,,
QuarLang:Hirzenbach,observationAbout,wikidataId/Q693374,,
